add type,check_flag,check info,check time(ns),check time and rr(ns)
QueryType.A,True,,25375,85001
QueryType.A,True,,15353,26933
QueryType.A,True,,11262,18797
QueryType.A,True,,9835,16347
QueryType.A,True,,9308,15467
QueryType.A,True,,10442,15953
QueryType.A,True,,9446,14771
QueryType.A,True,,7737,12992
QueryType.A,True,,9648,14617
QueryType.A,True,,8773,14308
QueryType.A,True,,11687,16500
QueryType.A,True,,7882,13002
QueryType.A,True,,7382,12174
QueryType.A,True,,12862,17560
QueryType.A,True,,7427,12380
QueryType.A,True,,7923,12546
QueryType.A,True,,9862,14629
QueryType.A,True,,8413,13245
QueryType.A,True,,9788,14206
QueryType.A,True,,7817,12632
QueryType.A,True,,9801,14553
QueryType.A,True,,9457,14222
QueryType.A,True,,8505,13061
QueryType.A,True,,6989,11831
QueryType.A,True,,10361,14871
QueryType.A,True,,8079,12745
QueryType.A,True,,9894,15568
QueryType.A,True,,11083,15674
QueryType.A,True,,7156,12037
QueryType.A,True,,9841,14517
QueryType.A,True,,7392,12086
QueryType.A,True,,9276,13689
QueryType.A,True,,7086,11795
QueryType.A,True,,7770,12306
QueryType.A,True,,13812,18252
QueryType.A,True,,8224,12754
QueryType.A,True,,8919,13600
QueryType.A,True,,7786,12359
QueryType.A,True,,6939,11723
QueryType.A,True,,9499,13888
QueryType.A,True,,8527,12980
QueryType.A,True,,9000,13587
QueryType.A,True,,9166,13769
QueryType.A,True,,9439,14085
QueryType.A,True,,10487,15360
QueryType.A,True,,7312,11825
QueryType.A,True,,7474,11953
QueryType.A,True,,9226,13800
QueryType.A,True,,10031,14909
QueryType.A,True,,10098,14999
QueryType.A,True,,7953,12834
QueryType.A,True,,7884,12430
QueryType.A,True,,9854,15696
QueryType.A,True,,11510,18439
QueryType.A,True,,9029,13973
QueryType.A,True,,10543,15182
QueryType.A,True,,7716,12613
QueryType.A,True,,10036,14566
QueryType.A,True,,7928,12668
QueryType.A,True,,9849,14297
QueryType.A,True,,7681,12285
QueryType.A,True,,7178,11791
QueryType.A,True,,10753,15373
QueryType.A,True,,7441,11965
QueryType.A,True,,7169,11693
QueryType.A,True,,10104,14774
QueryType.A,True,,7268,11871
QueryType.A,True,,10001,14412
QueryType.A,True,,7968,12483
QueryType.A,True,,10008,14493
QueryType.A,True,,9228,13737
QueryType.A,True,,6949,11428
QueryType.A,True,,9296,13713
QueryType.A,True,,6890,11712
QueryType.A,True,,8106,12537
QueryType.A,True,,9534,13979
QueryType.A,True,,19412,233462
QueryType.A,True,,11132,18799
QueryType.A,True,,7546,12736
QueryType.A,True,,10137,16542
QueryType.A,True,,9388,14042
QueryType.A,True,,7172,12227
QueryType.A,True,,9832,14470
QueryType.A,True,,9827,14391
QueryType.A,True,,7752,12433
QueryType.A,True,,9958,14553
QueryType.A,True,,8102,12868
QueryType.A,True,,8994,13510
QueryType.A,True,,9567,14076
QueryType.A,True,,7280,11770
QueryType.A,True,,11870,16313
QueryType.A,True,,7520,12067
QueryType.A,True,,7665,12167
QueryType.A,True,,9114,13874
QueryType.A,True,,7790,12725
QueryType.A,True,,9724,14316
QueryType.A,True,,7854,12508
QueryType.A,True,,9675,14277
QueryType.A,True,,10147,14835
QueryType.A,True,,8137,12884
