add type,check_flag,check info,check time(ns),check time and rr(ns)
QueryType.A,True,,24424,76391
QueryType.A,True,,11409,21297
QueryType.CNAME,True,,75621,83652
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),29950,38268
QueryType.A,True,,12571,19826
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18702,24911
QueryType.A,True,,8690,15221
QueryType.A,True,,11841,17559
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19470,24789
QueryType.A,True,,10664,16548
QueryType.A,True,,9868,15334
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15590,20635
QueryType.CNAME,True,,17771,23251
QueryType.CNAME,True,,14420,19945
QueryType.CNAME,True,,16572,21761
QueryType.CNAME,True,,16711,21949
QueryType.A,True,,9902,15088
QueryType.A,True,,10381,15484
QueryType.A,True,,9187,13841
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17014,22069
QueryType.A,True,,8263,13706
QueryType.A,True,,9347,14179
QueryType.A,True,,10659,15629
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),20344,25389
QueryType.A,True,,9941,15314
QueryType.CNAME,True,,14515,19635
QueryType.A,True,,8784,14784
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17764,22859
QueryType.A,True,,8169,13142
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19398,24787
QueryType.CNAME,True,,16775,22139
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15761,21314
QueryType.CNAME,True,,16304,21675
QueryType.A,True,,8351,13508
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15008,19810
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),27011,32474
QueryType.A,True,,9796,15604
QueryType.A,True,,9509,14627
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18271,23419
QueryType.CNAME,True,,14096,19159
QueryType.A,True,,9832,15225
QueryType.A,True,,10613,15778
QueryType.CNAME,True,,16040,20809
QueryType.A,True,,10586,16156
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18836,24392
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18040,23544
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15680,21183
QueryType.A,True,,8185,13890
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19286,24400
QueryType.A,True,,8936,14451
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17156,22223
QueryType.CNAME,True,,16744,22097
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15353,20820
QueryType.A,True,,8398,16723
QueryType.A,True,,8715,13905
QueryType.A,True,,8917,19246
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),20267,25287
QueryType.CNAME,True,,14014,19470
QueryType.A,True,,8179,13221
QueryType.CNAME,True,,15484,20408
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15152,20350
QueryType.CNAME,True,,14982,20157
QueryType.A,True,,9697,14780
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18806,23590
QueryType.A,True,,9431,14680
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15320,20366
QueryType.A,True,,11043,16033
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15395,20240
QueryType.CNAME,True,,13456,18434
QueryType.A,True,,8163,13125
QueryType.CNAME,True,,217899,223055
QueryType.A,True,,15291,27538
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),27237,32796
QueryType.A,True,,8539,14685
QueryType.A,True,,11450,16385
QueryType.A,True,,9671,14545
QueryType.A,True,,8538,13199
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19786,24749
QueryType.A,True,,9897,15068
QueryType.CNAME,True,,16728,21492
QueryType.A,True,,9526,14623
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17130,23077
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15307,20423
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14774,20298
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19182,24502
QueryType.A,True,,9308,15024
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),34319,44809
QueryType.A,True,,10153,15549
QueryType.A,True,,9366,14863
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17285,22281
QueryType.A,True,,8498,13910
QueryType.CNAME,True,,16349,21430
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18319,23758
QueryType.A,True,,9097,14429
QueryType.A,True,,9320,14394
QueryType.A,True,,10382,18785
QueryType.CNAME,True,,14835,19819
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18344,23419
QueryType.A,True,,8594,13967
QueryType.A,True,,10981,15940
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17947,23148
QueryType.CNAME,True,,14686,20079
QueryType.A,True,,12246,17617
QueryType.A,True,,9225,14719
QueryType.A,True,,8447,13265
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19201,23978
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17477,23345
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17894,24527
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15014,20375
QueryType.CNAME,True,,19888,25224
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16468,21637
QueryType.CNAME,True,,15261,20525
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19902,25625
QueryType.A,True,,10203,15974
QueryType.A,True,,9008,14305
QueryType.A,True,,11101,16095
QueryType.A,True,,8899,13581
QueryType.A,True,,9497,14083
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19399,24316
QueryType.A,True,,8906,14080
QueryType.A,True,,13060,18564
QueryType.A,True,,9056,13963
QueryType.CNAME,True,,16902,21624
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15505,20707
QueryType.A,True,,10318,15558
QueryType.A,True,,10522,15991
QueryType.A,True,,9206,14224
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19963,24948
QueryType.A,True,,8792,14183
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15403,20239
QueryType.A,True,,12247,17643
QueryType.A,True,,8232,13466
QueryType.A,True,,8266,13172
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19414,24333
QueryType.CNAME,True,,15192,21307
QueryType.A,True,,12446,17591
QueryType.A,True,,7950,12856
