arch.tju.com.	14400	IN	SOA	ns1.arch.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
arch.tju.com.		    IN	NS ns1.arch.tju.com.
ns1.arch.tju.com.	    IN	A	10.166.21.12

arch.tju.com.		    IN	A	6.6.6.6

cvhlxyap.arch.tju.com.   IN    A    235.117.84.76
cxlrteki.arch.tju.com.   IN    A    154.205.150.0
dqtpahix.arch.tju.com.   IN    A    77.100.231.215
ywbgmfox.arch.tju.com.   IN    A    32.142.80.73
tjxashvk.arch.tju.com.   IN    A    108.194.109.0
ywpdhuvx.arch.tju.com.   IN    A    94.248.97.57
emiudyon.arch.tju.com.   IN    A    57.205.145.41
snopgcbu.arch.tju.com.   IN    A    119.163.197.169
oyxsalcp.arch.tju.com.   IN    A    221.252.167.26
awnyvpiq.arch.tju.com.   IN    A    86.57.179.99
xrsughcq.arch.tju.com.   IN    A    119.144.106.115
uxokitbr.arch.tju.com.   IN    A    10.17.248.50
rldwbtqp.arch.tju.com.   IN    A    207.186.172.158
kpsugdwo.arch.tju.com.   IN    A    24.18.213.211
qghxrlco.arch.tju.com.   IN    A    49.84.55.193
hbwkqjmo.arch.tju.com.   IN    A    8.242.175.151
hwesfyxj.arch.tju.com.   IN    A    69.239.71.21
qihgrskm.arch.tju.com.   IN    A    139.85.143.40
tdqwjbru.arch.tju.com.   IN    A    99.143.122.144
lijhxgwk.arch.tju.com.   IN    A    219.131.31.120
moxbjieq.arch.tju.com.   IN    A    150.99.31.211
srfjcemx.arch.tju.com.   IN    A    218.149.139.120
xolhkwdq.arch.tju.com.   IN    A    232.52.184.138
dnasjhxv.arch.tju.com.   IN    A    227.215.220.232
rmqjnlfo.arch.tju.com.   IN    A    133.159.75.250
ylwektud.arch.tju.com.   IN    A    53.194.38.130
hletxavp.arch.tju.com.   IN    A    127.198.249.99
ylxscugq.arch.tju.com.   IN    A    124.115.84.231
cbiypadh.arch.tju.com.   IN    A    207.227.56.103
ymoekdva.arch.tju.com.   IN    A    62.7.44.253
cigbowpr.arch.tju.com.   IN    A    213.188.19.131
nfywlqhd.arch.tju.com.   IN    A    200.147.100.178
gbuqhoei.arch.tju.com.   IN    A    53.203.15.84
vlidowja.arch.tju.com.   IN    A    58.165.195.76
fgnqmvac.arch.tju.com.   IN    A    133.224.140.135
cmbjnret.arch.tju.com.   IN    A    48.198.225.250
giaecvhk.arch.tju.com.   IN    A    85.32.11.54
rhcendky.arch.tju.com.   IN    A    244.186.243.179
adtfclpn.arch.tju.com.   IN    A    198.197.254.22
ugtxlamq.arch.tju.com.   IN    A    29.210.60.62
cojdhgfx.arch.tju.com.   IN    A    94.67.176.199
vugewtjk.arch.tju.com.   IN    A    45.8.242.95
brlmyqsg.arch.tju.com.   IN    A    160.169.214.21
tvcldpfb.arch.tju.com.   IN    A    114.139.118.2
fgodiwpc.arch.tju.com.   IN    A    95.109.251.244
gwfomtdv.arch.tju.com.   IN    A    183.7.19.145
rbjkxqfp.arch.tju.com.   IN    A    52.159.85.44
tsieyqxc.arch.tju.com.   IN    A    247.217.98.99
clhuiarj.arch.tju.com.   IN    A    255.52.21.155
hforavke.arch.tju.com.   IN    A    115.95.227.5
ygtrbswq.arch.tju.com.   IN    A    253.226.245.210
cobqfhdg.arch.tju.com.   IN    A    167.74.65.97
ywpjikuo.arch.tju.com.   IN    A    146.198.133.193
cnvjfhot.arch.tju.com.   IN    A    85.170.101.183
rtmqxgak.arch.tju.com.   IN    A    111.125.50.125
pfljmrwh.arch.tju.com.   IN    A    158.48.50.48
mlviokaq.arch.tju.com.   IN    A    49.5.137.151
gapedxfu.arch.tju.com.   IN    A    175.41.253.82
adrwelbs.arch.tju.com.   IN    A    156.9.156.119
fceyvxqj.arch.tju.com.   IN    A    34.98.63.207
oxwpkjau.arch.tju.com.   IN    A    152.226.24.114
lambvdgh.arch.tju.com.   IN    A    29.253.189.253
jmndaxby.arch.tju.com.   IN    A    239.99.105.80
nmxedvsh.arch.tju.com.   IN    A    126.72.100.243
sdbxcokl.arch.tju.com.   IN    A    61.131.225.144
ivywtoqh.arch.tju.com.   IN    A    48.66.166.191
riyehoux.arch.tju.com.   IN    A    128.148.132.158
tjcwrbmv.arch.tju.com.   IN    A    94.188.77.147
bwpncoul.arch.tju.com.   IN    A    197.64.199.219
olgjdrif.arch.tju.com.   IN    A    131.117.112.39
inqhwujr.arch.tju.com.   IN    A    134.232.228.83
eifdbpkq.arch.tju.com.   IN    A    1.100.165.203
lrtipqbd.arch.tju.com.   IN    A    55.47.50.9
ejomxicn.arch.tju.com.   IN    A    17.148.18.119
xvtehwsc.arch.tju.com.   IN    A    122.227.137.218
gwmivoxh.arch.tju.com.   IN    A    39.238.8.147
foidkauq.arch.tju.com.   IN    A    145.147.225.27
ouwsdnve.arch.tju.com.   IN    A    135.250.156.151
dgqaxmew.arch.tju.com.   IN    A    190.103.110.83
qdujfmbv.arch.tju.com.   IN    A    41.96.39.70
fradkyso.arch.tju.com.   IN    A    252.130.154.189
okubplhc.arch.tju.com.   IN    A    46.176.190.116
stoawchv.arch.tju.com.   IN    A    148.85.247.150
rbgfcsmw.arch.tju.com.   IN    A    252.210.43.181
trwcqgpx.arch.tju.com.   IN    A    62.171.180.34
aphexiyk.arch.tju.com.   IN    A    87.188.109.47
pbcgvtsq.arch.tju.com.   IN    A    190.248.112.216
jrdihvfp.arch.tju.com.   IN    A    11.30.4.166
vwhfjeoa.arch.tju.com.   IN    A    223.61.95.185
nxewsjbm.arch.tju.com.   IN    A    174.68.52.177
umjfncet.arch.tju.com.   IN    A    93.123.14.12
ngsorvfj.arch.tju.com.   IN    A    85.165.173.208
mbfpthwd.arch.tju.com.   IN    A    15.191.167.102
riexdkom.arch.tju.com.   IN    A    218.161.46.251
aiqmctxs.arch.tju.com.   IN    A    117.239.73.240
nbxsduyw.arch.tju.com.   IN    A    9.90.235.205
hufeckdy.arch.tju.com.   IN    A    84.113.125.58
brlyjxgw.arch.tju.com.   IN    A    32.129.49.42
xtoldijg.arch.tju.com.   IN    A    114.248.215.153
cpxyhnei.arch.tju.com.   IN    A    49.171.1.93
bimftxue.arch.tju.com.   IN    A    215.66.244.138
lyqtnpuc.arch.tju.com.   IN    A    95.239.206.229
