math.pku.com.	14400	IN	SOA	ns1.math.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
math.pku.com.		    IN	NS ns1.math.pku.com.
ns1.math.pku.com.	    IN	A	10.166.21.12

math.pku.com.		    IN	A	6.6.6.6

flvocbxt.math.pku.com.   IN    A    8.238.133.34
iadlxnvu.math.pku.com.   IN    A    233.56.96.111
tegjxmqb.math.pku.com.   IN    A    114.187.148.255
peoangxw.math.pku.com.   IN    A    192.108.113.114
msrkpxid.math.pku.com.   IN    A    121.103.8.218
criespxg.math.pku.com.   IN    A    235.44.212.210
dphglckr.math.pku.com.   IN    A    75.23.141.167
rmfqniyx.math.pku.com.   IN    A    55.47.62.156
avumtgyl.math.pku.com.   IN    A    241.151.30.141
uehrtikl.math.pku.com.   IN    A    46.83.44.221
jmhoatqw.math.pku.com.   IN    A    72.136.110.158
jitgvfsa.math.pku.com.   IN    A    47.249.47.194
aljbeqit.math.pku.com.   IN    A    151.39.122.255
kayvqwxo.math.pku.com.   IN    A    40.29.60.60
diswluke.math.pku.com.   IN    A    188.195.42.79
iujgpxmb.math.pku.com.   IN    A    39.47.194.228
mhgdnoac.math.pku.com.   IN    A    28.38.79.135
slapdtje.math.pku.com.   IN    A    81.38.242.212
jafnbspv.math.pku.com.   IN    A    131.237.114.125
mnlivuag.math.pku.com.   IN    A    201.109.118.91
jaftgpcv.math.pku.com.   IN    A    158.165.191.139
jbtnkhwu.math.pku.com.   IN    A    142.32.222.58
gucrbpwd.math.pku.com.   IN    A    212.174.204.228
dlupiotj.math.pku.com.   IN    A    132.204.238.230
okxmlvhe.math.pku.com.   IN    A    74.58.182.229
flwbeqpg.math.pku.com.   IN    A    173.141.103.111
nbmowfel.math.pku.com.   IN    A    111.211.113.59
nuqfgixd.math.pku.com.   IN    A    133.209.42.48
hixnlavk.math.pku.com.   IN    A    60.163.7.116
wjfpdohe.math.pku.com.   IN    A    197.78.127.72
gfhbjvqu.math.pku.com.   IN    A    188.225.62.54
hqksmbdl.math.pku.com.   IN    A    255.176.57.67
rkycmesj.math.pku.com.   IN    A    28.65.225.45
mfcgvjen.math.pku.com.   IN    A    227.202.93.84
prcknslx.math.pku.com.   IN    A    150.120.140.25
aqfnirox.math.pku.com.   IN    A    168.190.119.80
dglpfjwc.math.pku.com.   IN    A    144.17.55.5
xyebjgsr.math.pku.com.   IN    A    85.94.24.236
usbhogay.math.pku.com.   IN    A    14.209.127.46
shrqfxgb.math.pku.com.   IN    A    77.36.120.42
huirmgqe.math.pku.com.   IN    A    33.200.191.251
hyvmdlwg.math.pku.com.   IN    A    121.107.130.188
baytqxjo.math.pku.com.   IN    A    41.80.96.226
fehgdulw.math.pku.com.   IN    A    218.217.209.192
wpfbeljh.math.pku.com.   IN    A    72.50.190.197
qkmrvhfl.math.pku.com.   IN    A    233.188.176.46
claoxsrd.math.pku.com.   IN    A    182.141.64.136
kndesxiw.math.pku.com.   IN    A    141.50.123.92
ykjndxoc.math.pku.com.   IN    A    240.155.99.8
fxirkvhu.math.pku.com.   IN    A    125.177.226.200
fdnixulq.math.pku.com.   IN    A    101.161.253.145
pjgnfeqt.math.pku.com.   IN    A    72.59.146.116
nrbfotpd.math.pku.com.   IN    A    213.180.220.138
hiaquogs.math.pku.com.   IN    A    88.48.71.146
mdnxfiol.math.pku.com.   IN    A    114.2.248.42
ralfjvqm.math.pku.com.   IN    A    180.101.144.52
ekrlsxfh.math.pku.com.   IN    A    202.179.82.108
edvchxpn.math.pku.com.   IN    A    159.154.142.30
dlypvkrm.math.pku.com.   IN    A    244.156.235.9
kjvrgpqw.math.pku.com.   IN    A    246.100.68.176
vxtdwrlg.math.pku.com.   IN    A    181.110.6.126
cwajtihb.math.pku.com.   IN    A    105.54.39.192
xfytgjva.math.pku.com.   IN    A    172.177.242.78
xbmjcpho.math.pku.com.   IN    A    192.158.12.61
luhtbios.math.pku.com.   IN    A    232.187.43.59
rxplmuov.math.pku.com.   IN    A    115.131.221.66
kcyqhdrb.math.pku.com.   IN    A    161.210.66.26
gvyhtacs.math.pku.com.   IN    A    39.117.122.199
vqgkxyae.math.pku.com.   IN    A    3.119.17.124
slbigaxk.math.pku.com.   IN    A    193.132.34.36
tflnsrko.math.pku.com.   IN    A    71.113.36.131
lurjabph.math.pku.com.   IN    A    194.54.108.133
mrnbqkdt.math.pku.com.   IN    A    121.90.239.106
uevokwdq.math.pku.com.   IN    A    8.22.37.106
fxonpyts.math.pku.com.   IN    A    66.241.55.184
ugqejvsb.math.pku.com.   IN    A    234.96.100.6
ejhtmiax.math.pku.com.   IN    A    15.75.34.141
crgdeofk.math.pku.com.   IN    A    140.198.228.175
oayelriv.math.pku.com.   IN    A    132.172.135.173
cgalbqid.math.pku.com.   IN    A    251.141.250.173
jrftanko.math.pku.com.   IN    A    119.51.140.139
bumxvlea.math.pku.com.   IN    A    228.90.110.40
nfiegcvy.math.pku.com.   IN    A    181.226.252.37
kmcoqfhw.math.pku.com.   IN    A    249.114.106.234
ufikrvsw.math.pku.com.   IN    A    22.88.77.201
acmuxidb.math.pku.com.   IN    A    10.55.53.208
aplcqgtn.math.pku.com.   IN    A    22.162.192.136
qnkvgwba.math.pku.com.   IN    A    75.50.96.186
porxuqly.math.pku.com.   IN    A    102.249.192.240
feqdkioh.math.pku.com.   IN    A    164.63.8.77
qyibmruk.math.pku.com.   IN    A    126.99.171.49
aiqstyox.math.pku.com.   IN    A    1.28.28.107
igflsvup.math.pku.com.   IN    A    160.46.48.160
mcrdvpao.math.pku.com.   IN    A    194.220.149.81
cgdkfbvl.math.pku.com.   IN    A    213.5.44.71
ocnkltpf.math.pku.com.   IN    A    23.238.228.132
rxqyglnp.math.pku.com.   IN    A    93.118.247.50
twnhbvxf.math.pku.com.   IN    A    231.69.1.55
gqxmnuja.math.pku.com.   IN    A    2.144.35.78
daqblyuk.math.pku.com.   IN    A    2.203.239.229
lhkdujnc.math.pku.com.   IN    A    41.25.167.244
cdfurvwg.math.pku.com.   IN    A    156.250.177.163
bsmqrgnf.math.pku.com.   IN    A    108.20.239.169
emlwcsvj.math.pku.com.   IN    A    175.105.115.134
tafhwdou.math.pku.com.   IN    A    85.103.42.60
ynijvsda.math.pku.com.   IN    A    67.230.146.71
jqaitheg.math.pku.com.   IN    A    11.197.195.155
mpxuwkjh.math.pku.com.   IN    A    92.99.15.186
gowmadkt.math.pku.com.   IN    A    29.19.20.63
mjdbxuny.math.pku.com.   IN    A    214.137.229.47
ojvueaty.math.pku.com.   IN    A    171.37.229.243
lbvxsgkn.math.pku.com.   IN    A    210.207.20.86
sjqlirmx.math.pku.com.   IN    A    92.0.169.115
bdyjgxcm.math.pku.com.   IN    A    187.69.112.109
omvusrjc.math.pku.com.   IN    A    167.110.182.72
eygfuwix.math.pku.com.   IN    A    9.73.0.87
sibgctxu.math.pku.com.   IN    A    29.157.22.105
sibkaqgm.math.pku.com.   IN    A    82.176.176.133
cbgdkmoj.math.pku.com.   IN    A    68.184.41.143
hcwkpore.math.pku.com.   IN    A    222.42.24.230
