www.cqu.com. 	14400	IN	SOA	ns1.www.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
www.cqu.com.		    IN	NS ns1.www.cqu.com.
ns1.www.cqu.com.	    IN	A	10.166.21.12

www.cqu.com.		    IN	A	6.6.6.6

htpomvsd.www.cqu.com.    IN    A    137.160.141.205
omegprvi.www.cqu.com.    IN    A    115.159.163.228
pmnxrkcd.www.cqu.com.    IN    A    2.166.194.48
xkmfjhyn.www.cqu.com.    IN    A    36.58.212.246
hulbvryx.www.cqu.com.    IN    A    148.157.86.185
kchlodej.www.cqu.com.    IN    A    30.238.210.154
nglkhsmu.www.cqu.com.    IN    A    182.175.5.150
ogficxht.www.cqu.com.    IN    A    91.54.185.114
knfxyjgq.www.cqu.com.    IN    A    225.174.4.219
tedxompf.www.cqu.com.    IN    A    103.243.216.211
klscnbtw.www.cqu.com.    IN    A    127.87.94.85
mycuebgv.www.cqu.com.    IN    A    152.91.239.150
otheyirq.www.cqu.com.    IN    A    87.86.113.242
aytpskug.www.cqu.com.    IN    A    211.118.231.177
lvcdkehb.www.cqu.com.    IN    A    191.89.11.78
dfhrqbie.www.cqu.com.    IN    A    2.67.14.121
vbljgqmh.www.cqu.com.    IN    A    46.116.77.145
vulfiwkg.www.cqu.com.    IN    A    63.242.239.66
romktxny.www.cqu.com.    IN    A    98.79.148.47
dhcnwlam.www.cqu.com.    IN    A    247.123.191.22
brlxkwas.www.cqu.com.    IN    A    44.182.198.156
arnlqdfp.www.cqu.com.    IN    A    167.2.215.143
hqykeubw.www.cqu.com.    IN    A    166.136.160.157
iafcyvru.www.cqu.com.    IN    A    66.150.57.77
cjtavygs.www.cqu.com.    IN    A    144.113.216.27
lmhdgupj.www.cqu.com.    IN    A    150.208.91.65
lfueotkj.www.cqu.com.    IN    A    10.240.211.255
jwhokgam.www.cqu.com.    IN    A    237.57.56.255
ceuhglrd.www.cqu.com.    IN    A    18.199.215.98
mehvrdxi.www.cqu.com.    IN    A    57.106.208.22
iqodcsyt.www.cqu.com.    IN    A    252.147.119.193
mnstlyae.www.cqu.com.    IN    A    96.145.99.182
uhvnxkol.www.cqu.com.    IN    A    197.182.47.72
hmycswlr.www.cqu.com.    IN    A    56.98.67.233
bjiyuwxd.www.cqu.com.    IN    A    127.90.75.167
chpdnmvy.www.cqu.com.    IN    A    61.250.86.232
qwanhpeo.www.cqu.com.    IN    A    141.226.202.89
plhcyudj.www.cqu.com.    IN    A    211.62.19.179
uhcygnqt.www.cqu.com.    IN    A    248.171.85.6
nfiqrsde.www.cqu.com.    IN    A    174.210.8.234
avhelnqk.www.cqu.com.    IN    A    58.70.41.114
tvfcxogk.www.cqu.com.    IN    A    167.189.148.115
