www.shu.com. 	14400	IN	SOA	ns1.www.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
www.shu.com.		    IN	NS ns1.www.shu.com.
ns1.www.shu.com.	    IN	A	10.166.21.12

www.shu.com.		    IN	A	6.6.6.6

urytdxgl.www.shu.com.    IN    A    128.131.170.19
bgmafhcs.www.shu.com.    IN    A    249.24.119.205
npejogwa.www.shu.com.    IN    A    75.98.181.231
gdiplxec.www.shu.com.    IN    A    198.224.140.227
kxltejca.www.shu.com.    IN    A    3.238.121.3
hrkciamq.www.shu.com.    IN    A    179.230.41.82
kydqmbtj.www.shu.com.    IN    A    157.228.250.87
afdcjnbr.www.shu.com.    IN    A    73.60.3.250
haufbenj.www.shu.com.    IN    A    202.26.233.40
aljisxkf.www.shu.com.    IN    A    166.17.142.192
dpqfaxwb.www.shu.com.    IN    A    228.210.81.205
welamqtb.www.shu.com.    IN    A    198.211.9.75
rubaxldn.www.shu.com.    IN    A    148.245.55.10
fwuaoqte.www.shu.com.    IN    A    233.5.67.82
rtjoebgm.www.shu.com.    IN    A    214.121.93.6
fjnpqlyu.www.shu.com.    IN    A    33.118.105.199
vfektbgc.www.shu.com.    IN    A    152.28.37.188
yeplcaio.www.shu.com.    IN    A    109.97.87.168
qcrlkwne.www.shu.com.    IN    A    115.206.191.201
ctnfagvr.www.shu.com.    IN    A    106.93.252.149
funxqvyo.www.shu.com.    IN    A    70.127.178.98
fcpjumwe.www.shu.com.    IN    A    150.186.170.68
kdvtrlnb.www.shu.com.    IN    A    96.21.154.176
jfuklnbx.www.shu.com.    IN    A    141.198.14.131
fpevdkja.www.shu.com.    IN    A    243.66.92.67
cvsorjay.www.shu.com.    IN    A    180.31.122.164
xucegfvw.www.shu.com.    IN    A    99.67.200.239
kcvhdwbj.www.shu.com.    IN    A    244.31.169.95
uilgrhey.www.shu.com.    IN    A    76.154.31.97
nirqhdgo.www.shu.com.    IN    A    119.65.141.1
xhynvgjq.www.shu.com.    IN    A    111.121.153.222
bymaskiu.www.shu.com.    IN    A    218.222.0.186
iwcjmesl.www.shu.com.    IN    A    58.125.134.32
epvqndoa.www.shu.com.    IN    A    100.109.218.30
sofymwdl.www.shu.com.    IN    A    126.91.190.187
atsnlomk.www.shu.com.    IN    A    186.239.185.18
jahgemtv.www.shu.com.    IN    A    225.122.105.234
ylqmrfei.www.shu.com.    IN    A    27.72.113.43
vemkuhol.www.shu.com.    IN    A    0.130.201.55
khocnerd.www.shu.com.    IN    A    65.147.37.39
rcqkiwvn.www.shu.com.    IN    A    46.190.70.186
ygsmwvih.www.shu.com.    IN    A    242.162.220.153
ycfruvnd.www.shu.com.    IN    A    66.69.98.66
dvhocsal.www.shu.com.    IN    A    78.94.235.153
efitjlsn.www.shu.com.    IN    A    195.139.85.252
jqyhldfi.www.shu.com.    IN    A    137.237.217.244
wrlasmhg.www.shu.com.    IN    A    167.202.196.113
iunpgbar.www.shu.com.    IN    A    225.99.145.55
ewmfyqgi.www.shu.com.    IN    A    23.201.76.193
mfdpywbu.www.shu.com.    IN    A    101.54.192.94
nluhrdca.www.shu.com.    IN    A    170.161.184.95
agdbjlvr.www.shu.com.    IN    A    220.114.186.229
jhiqwclx.www.shu.com.    IN    A    177.214.146.98
jplfyqka.www.shu.com.    IN    A    192.173.108.166
ormesqnh.www.shu.com.    IN    A    165.169.62.58
dyixuqks.www.shu.com.    IN    A    133.115.85.113
qfbjmran.www.shu.com.    IN    A    176.29.40.37
qjbvxnmc.www.shu.com.    IN    A    33.136.231.247
lswhateo.www.shu.com.    IN    A    17.218.194.90
ynoslqiu.www.shu.com.    IN    A    84.246.64.125
rwypbfat.www.shu.com.    IN    A    12.147.18.133
lpbdryas.www.shu.com.    IN    A    144.115.43.42
teikwupj.www.shu.com.    IN    A    146.200.150.251
vkwmancq.www.shu.com.    IN    A    50.159.39.200
lmiehryt.www.shu.com.    IN    A    178.235.78.35
eungocmk.www.shu.com.    IN    A    103.153.187.167
fydkcbjt.www.shu.com.    IN    A    5.145.106.74
gtshaxef.www.shu.com.    IN    A    65.238.104.186
igakotld.www.shu.com.    IN    A    214.212.220.154
kxedlinf.www.shu.com.    IN    A    132.19.135.69
iljdqnyo.www.shu.com.    IN    A    82.233.22.37
vsmaqxfb.www.shu.com.    IN    A    36.126.35.189
wjgsbhtx.www.shu.com.    IN    A    90.53.52.27
nclmqobr.www.shu.com.    IN    A    10.193.244.253
iqgsxpjw.www.shu.com.    IN    A    45.75.114.67
hbsitfkd.www.shu.com.    IN    A    174.142.31.106
rjpgewki.www.shu.com.    IN    A    30.82.216.135
maxynulr.www.shu.com.    IN    A    81.103.3.139
cnbxadjv.www.shu.com.    IN    A    43.142.15.207
pxmkvdsw.www.shu.com.    IN    A    107.141.68.238
gkoiwdup.www.shu.com.    IN    A    166.123.144.160
dljnatfq.www.shu.com.    IN    A    135.101.167.188
vsgaxqpd.www.shu.com.    IN    A    250.134.171.200
hcygnklo.www.shu.com.    IN    A    245.83.245.9
ujfmlhts.www.shu.com.    IN    A    148.204.150.29
hepiqcdu.www.shu.com.    IN    A    156.83.149.70
bgnlsufv.www.shu.com.    IN    A    139.178.186.119
ubwcstxy.www.shu.com.    IN    A    179.255.34.57
ogjvaify.www.shu.com.    IN    A    234.33.79.226
xnafvqwm.www.shu.com.    IN    A    213.89.14.247
hinsajuc.www.shu.com.    IN    A    45.245.231.66
pmnfbrwq.www.shu.com.    IN    A    95.13.30.100
jwahmioc.www.shu.com.    IN    A    99.42.190.34
