ai.shu.com.	14400	IN	SOA	ns1.ai.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
ai.shu.com.		    IN	NS ns1.ai.shu.com.
ns1.ai.shu.com.	    IN	A	10.166.21.13

ai.shu.com.		    IN	A	6.6.6.6

cxtjowua.ai.shu.com.     IN    A    250.94.117.236
yuqbkfhr.ai.shu.com.     IN    A    204.23.86.165
wifktylb.ai.shu.com.     IN    A    206.225.231.146
xdtqnbmv.ai.shu.com.     IN    A    244.132.167.237
gfmlsrbd.ai.shu.com.     IN    A    145.114.102.207
wcqydxrf.ai.shu.com.     IN    A    152.60.151.23
abvcfiwl.ai.shu.com.     IN    A    85.9.78.60
wvghamef.ai.shu.com.     IN    A    121.54.168.147
yjlewfhg.ai.shu.com.     IN    A    115.183.208.88
qdbmwrhp.ai.shu.com.     IN    A    238.50.28.229
pogqajfe.ai.shu.com.     IN    A    163.53.20.63
hjxysmrg.ai.shu.com.     IN    A    139.0.180.161
tldnsfie.ai.shu.com.     IN    A    24.243.16.139
linuhdpf.ai.shu.com.     IN    A    61.255.152.50
fgythlwj.ai.shu.com.     IN    A    117.188.124.48
hltfexwc.ai.shu.com.     IN    A    150.0.9.83
avysdqbr.ai.shu.com.     IN    A    145.120.55.218
ljokhdxi.ai.shu.com.     IN    A    40.226.248.21
tvfrglnx.ai.shu.com.     IN    A    120.37.130.101
bprvqyem.ai.shu.com.     IN    A    200.229.123.212
yotgkjuh.ai.shu.com.     IN    A    167.15.206.184
kamqphge.ai.shu.com.     IN    A    142.251.122.222
jgvlsanq.ai.shu.com.     IN    A    92.151.100.105
yvldwupt.ai.shu.com.     IN    A    242.155.134.247
clkiwurx.ai.shu.com.     IN    A    202.35.72.190
waseprjm.ai.shu.com.     IN    A    235.78.127.70
gqsdbprv.ai.shu.com.     IN    A    115.184.207.117
gifuqwvn.ai.shu.com.     IN    A    41.6.106.248
psrvhwdk.ai.shu.com.     IN    A    212.7.102.220
gswonyui.ai.shu.com.     IN    A    151.140.193.241
kxhupjgw.ai.shu.com.     IN    A    66.212.175.234
gfloaejc.ai.shu.com.     IN    A    201.127.14.104
wyxugsao.ai.shu.com.     IN    A    35.151.204.155
dpaqftox.ai.shu.com.     IN    A    146.232.12.196
nhsprmwd.ai.shu.com.     IN    A    102.27.170.49
