hist.pku.com.	14400	IN	SOA	ns1.hist.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
hist.pku.com.		    IN	NS ns1.hist.pku.com.
ns1.hist.pku.com.	    IN	A	10.166.21.13

hist.pku.com.		    IN	A	6.6.6.6

wmgkotfu.hist.pku.com.   IN    A    212.95.4.253
flbymdgs.hist.pku.com.   IN    A    29.177.84.142
cgydvlrf.hist.pku.com.   IN    A    181.99.96.108
dxjnrmak.hist.pku.com.   IN    A    228.156.208.44
fjheaynk.hist.pku.com.   IN    A    66.186.213.30
kqucpish.hist.pku.com.   IN    A    160.201.172.182
xjteskno.hist.pku.com.   IN    A    159.99.49.187
fqwkypvr.hist.pku.com.   IN    A    42.123.68.11
rouvkayg.hist.pku.com.   IN    A    242.207.202.72
yhcbfvde.hist.pku.com.   IN    A    239.66.167.135
xdwkhmij.hist.pku.com.   IN    A    69.176.108.207
mkvuiofb.hist.pku.com.   IN    A    45.40.102.30
ejcfiqau.hist.pku.com.   IN    A    242.15.248.210
bmrehylx.hist.pku.com.   IN    A    27.16.58.252
fiamqkur.hist.pku.com.   IN    A    2.137.134.176
wvtomape.hist.pku.com.   IN    A    220.118.90.85
qtpaeoxw.hist.pku.com.   IN    A    201.177.64.62
gvatexnu.hist.pku.com.   IN    A    22.24.33.93
auodtelj.hist.pku.com.   IN    A    228.192.149.105
nhvkcmur.hist.pku.com.   IN    A    60.94.251.244
dsyotacp.hist.pku.com.   IN    A    182.235.32.61
wiktjlec.hist.pku.com.   IN    A    110.238.88.202
mrobkwsx.hist.pku.com.   IN    A    172.89.119.156
cspnlrvj.hist.pku.com.   IN    A    178.81.114.149
canwpgqd.hist.pku.com.   IN    A    102.97.59.31
lrsfvaik.hist.pku.com.   IN    A    167.237.88.169
fldavmen.hist.pku.com.   IN    A    181.45.68.196
kqluypbn.hist.pku.com.   IN    A    199.115.67.107
jibygvfw.hist.pku.com.   IN    A    191.249.27.158
nsrjkvbu.hist.pku.com.   IN    A    204.5.132.72
pdtqxhus.hist.pku.com.   IN    A    230.75.248.253
prtbnsjm.hist.pku.com.   IN    A    228.170.13.123
pwkrfdxo.hist.pku.com.   IN    A    210.24.250.82
stvanfhp.hist.pku.com.   IN    A    60.194.70.108
uniqsvey.hist.pku.com.   IN    A    166.244.176.30
oqkijpne.hist.pku.com.   IN    A    79.60.214.217
opelihrd.hist.pku.com.   IN    A    33.206.135.237
wrhcgjnf.hist.pku.com.   IN    A    225.153.246.144
liyndbxm.hist.pku.com.   IN    A    80.90.77.54
frclohiv.hist.pku.com.   IN    A    224.53.43.75
sajrwmeu.hist.pku.com.   IN    A    38.82.97.149
hgavworm.hist.pku.com.   IN    A    93.154.78.108
bqwfnvix.hist.pku.com.   IN    A    48.205.247.185
jybcefiv.hist.pku.com.   IN    A    1.27.232.48
hgsxfden.hist.pku.com.   IN    A    113.193.227.174
xgkeqhwm.hist.pku.com.   IN    A    110.210.126.139
mldkxyfq.hist.pku.com.   IN    A    16.221.53.23
jkfetyws.hist.pku.com.   IN    A    144.195.199.161
onqibsuw.hist.pku.com.   IN    A    246.20.31.33
hpdjvbte.hist.pku.com.   IN    A    115.198.61.0
rnhqgjcp.hist.pku.com.   IN    A    252.175.2.8
sfonwudm.hist.pku.com.   IN    A    240.246.114.50
vmykwqjc.hist.pku.com.   IN    A    181.115.159.133
lunatfqc.hist.pku.com.   IN    A    186.99.214.245
buwfxsry.hist.pku.com.   IN    A    189.16.201.62
ctvbwimk.hist.pku.com.   IN    A    78.145.90.51
ewbpiqlr.hist.pku.com.   IN    A    253.175.24.68
bqwghudy.hist.pku.com.   IN    A    117.81.223.108
gbaihqmo.hist.pku.com.   IN    A    195.7.148.226
mbsxhuwp.hist.pku.com.   IN    A    48.110.219.20
osykxfrb.hist.pku.com.   IN    A    106.140.53.65
lujnarfe.hist.pku.com.   IN    A    67.230.50.113
prugbsiq.hist.pku.com.   IN    A    69.97.201.113
bqwjclta.hist.pku.com.   IN    A    154.59.206.13
lrcbpqfu.hist.pku.com.   IN    A    187.95.50.109
kuatvhco.hist.pku.com.   IN    A    28.128.169.46
pguyksrm.hist.pku.com.   IN    A    63.116.220.19
hmdpynkx.hist.pku.com.   IN    A    252.250.189.13
xrftapcj.hist.pku.com.   IN    A    201.222.193.180
krbvixwa.hist.pku.com.   IN    A    42.206.29.140
pgwkmidx.hist.pku.com.   IN    A    235.41.205.219
jncghtwk.hist.pku.com.   IN    A    176.202.51.135
srfylkuh.hist.pku.com.   IN    A    102.157.152.49
ionafuyb.hist.pku.com.   IN    A    41.122.123.109
grdlfqie.hist.pku.com.   IN    A    65.146.125.227
rvbpnxgc.hist.pku.com.   IN    A    191.54.41.67
lqycexgs.hist.pku.com.   IN    A    82.122.22.134
hsowtubl.hist.pku.com.   IN    A    53.221.72.161
sgtiprkx.hist.pku.com.   IN    A    243.15.165.99
nbdavwhj.hist.pku.com.   IN    A    149.47.26.196
yvlgoxqs.hist.pku.com.   IN    A    201.57.43.157
brsfgplj.hist.pku.com.   IN    A    139.128.46.142
bqsnkavi.hist.pku.com.   IN    A    130.73.237.22
nqbrhwlo.hist.pku.com.   IN    A    67.27.123.4
nutsdcwg.hist.pku.com.   IN    A    28.169.35.81
ofmkuivy.hist.pku.com.   IN    A    162.146.123.185
oyjhwpiq.hist.pku.com.   IN    A    193.26.176.60
gdxnjbfv.hist.pku.com.   IN    A    168.53.122.142
xibcgdsp.hist.pku.com.   IN    A    122.96.230.197
xpbklrme.hist.pku.com.   IN    A    54.22.202.61
nguwqotb.hist.pku.com.   IN    A    10.146.50.149
scqanxdf.hist.pku.com.   IN    A    190.244.26.65
vbkmrnet.hist.pku.com.   IN    A    236.31.21.155
tanedoim.hist.pku.com.   IN    A    40.156.181.115
buwprtdh.hist.pku.com.   IN    A    42.143.76.41
vaekpglb.hist.pku.com.   IN    A    249.135.14.125
otgfpqlv.hist.pku.com.   IN    A    35.97.64.122
ywotmqfj.hist.pku.com.   IN    A    140.209.112.252
apvdhlte.hist.pku.com.   IN    A    57.214.68.169
pmnkaslq.hist.pku.com.   IN    A    142.225.70.120
sipnojlc.hist.pku.com.   IN    A    200.112.135.206
upivqyxm.hist.pku.com.   IN    A    224.243.66.36
vfpxjihd.hist.pku.com.   IN    A    72.217.88.71
nxkfhioc.hist.pku.com.   IN    A    236.102.15.208
cqixybef.hist.pku.com.   IN    A    105.106.148.183
trauldqo.hist.pku.com.   IN    A    60.36.108.170
ljiexkru.hist.pku.com.   IN    A    58.16.14.248
saneqjvt.hist.pku.com.   IN    A    161.202.167.62
ptmlgndy.hist.pku.com.   IN    A    90.137.39.15
rtdmilwh.hist.pku.com.   IN    A    180.103.225.227
wbvlxkyh.hist.pku.com.   IN    A    244.209.141.138
ncilemfd.hist.pku.com.   IN    A    155.133.84.145
ohqklbrp.hist.pku.com.   IN    A    25.91.26.213
ahjrkgpb.hist.pku.com.   IN    A    66.216.72.128
mbnksrvq.hist.pku.com.   IN    A    164.95.98.142
kwlfpcxo.hist.pku.com.   IN    A    72.226.193.236
ypidnaeh.hist.pku.com.   IN    A    4.55.132.171
pdqrnauc.hist.pku.com.   IN    A    81.33.164.147
hvjyuxqo.hist.pku.com.   IN    A    7.209.254.134
ihcxpqve.hist.pku.com.   IN    A    168.158.7.11
xspotlgq.hist.pku.com.   IN    A    78.164.248.115
oykpadxm.hist.pku.com.   IN    A    166.206.83.224
yxrcjvol.hist.pku.com.   IN    A    246.168.133.99
gjonpcey.hist.pku.com.   IN    A    253.38.20.206
snodjypw.hist.pku.com.   IN    A    5.216.6.86
dkbchtmg.hist.pku.com.   IN    A    138.108.21.43
qlpnufki.hist.pku.com.   IN    A    124.73.44.255
lbeorhwi.hist.pku.com.   IN    A    74.24.131.131
mspdkycl.hist.pku.com.   IN    A    42.72.211.168
ploiujke.hist.pku.com.   IN    A    87.20.107.194
bnkhitfc.hist.pku.com.   IN    A    182.239.173.5
epmohrvn.hist.pku.com.   IN    A    116.220.88.35
cstyxrde.hist.pku.com.   IN    A    166.110.242.26
yqijuwpk.hist.pku.com.   IN    A    153.53.132.121
yvqcojur.hist.pku.com.   IN    A    176.109.45.125
nxftwahe.hist.pku.com.   IN    A    177.68.167.168
uwoyvtpb.hist.pku.com.   IN    A    221.10.18.252
bwpkxrnf.hist.pku.com.   IN    A    208.108.102.201
aswjicot.hist.pku.com.   IN    A    156.202.35.66
dbvfjtum.hist.pku.com.   IN    A    124.160.202.234
daeqxluf.hist.pku.com.   IN    A    92.215.40.115
kfqartmh.hist.pku.com.   IN    A    108.66.82.195
eobywtqk.hist.pku.com.   IN    A    90.18.93.202
mrhacnob.hist.pku.com.   IN    A    147.185.183.180
xtdeahpu.hist.pku.com.   IN    A    193.21.204.54
uscmwitf.hist.pku.com.   IN    A    243.78.184.216
desjprub.hist.pku.com.   IN    A    67.70.213.61
wpmsktnj.hist.pku.com.   IN    A    153.161.255.169
awthmlkj.hist.pku.com.   IN    A    17.243.224.102
okgeumpa.hist.pku.com.   IN    A    52.65.238.226
abgvyfid.hist.pku.com.   IN    A    215.51.34.48
lpshxyua.hist.pku.com.   IN    A    233.8.3.134
auslervq.hist.pku.com.   IN    A    119.56.249.85
ifmdcpbe.hist.pku.com.   IN    A    130.131.223.62
aftegpln.hist.pku.com.   IN    A    233.126.104.225
nyfoqcwp.hist.pku.com.   IN    A    223.28.172.253
badfxupw.hist.pku.com.   IN    A    196.210.114.254
xjycsrlf.hist.pku.com.   IN    A    40.140.84.64
muoyxsle.hist.pku.com.   IN    A    78.234.55.110
nvghskpq.hist.pku.com.   IN    A    250.209.76.78
riumfvnx.hist.pku.com.   IN    A    10.178.72.202
utfqnjop.hist.pku.com.   IN    A    119.213.230.220
lkvmyqbh.hist.pku.com.   IN    A    217.204.184.27
eupnqtyb.hist.pku.com.   IN    A    122.34.66.161
wdyfbmhg.hist.pku.com.   IN    A    47.131.159.186
putgjsrn.hist.pku.com.   IN    A    203.159.26.248
khtmwvyo.hist.pku.com.   IN    A    105.75.196.93
byduxcfq.hist.pku.com.   IN    A    186.54.15.64
csowqgtk.hist.pku.com.   IN    A    182.137.74.125
ykjqnhtr.hist.pku.com.   IN    A    138.220.175.231
xnqrgtbl.hist.pku.com.   IN    A    12.101.252.157
pvtybrui.hist.pku.com.   IN    A    168.254.203.68
tjlxnhpb.hist.pku.com.   IN    A    14.79.10.92
tjfdvgpk.hist.pku.com.   IN    A    137.17.235.137
nbjdvhgq.hist.pku.com.   IN    A    6.89.217.187
sqhvfecg.hist.pku.com.   IN    A    61.64.188.159
hmjgxfsi.hist.pku.com.   IN    A    33.168.35.113
bkjoefcd.hist.pku.com.   IN    A    106.15.255.180
lvrcsmfe.hist.pku.com.   IN    A    19.182.84.248
omxutwhy.hist.pku.com.   IN    A    124.44.192.218
hvqmflka.hist.pku.com.   IN    A    194.53.241.26
dfjqokep.hist.pku.com.   IN    A    72.203.148.158
jfqihgtl.hist.pku.com.   IN    A    16.120.233.71
mupykonl.hist.pku.com.   IN    A    246.237.83.18
kqgjbadr.hist.pku.com.   IN    A    117.114.128.15
nacjugxf.hist.pku.com.   IN    A    59.153.125.177
rcwsdypv.hist.pku.com.   IN    A    45.106.241.200
tybcnrek.hist.pku.com.   IN    A    135.131.15.235
aosqxftw.hist.pku.com.   IN    A    194.221.100.91
ipkcfgmo.hist.pku.com.   IN    A    117.223.80.170
icexjwmo.hist.pku.com.   IN    A    206.8.76.56
lbksprym.hist.pku.com.   IN    A    205.107.66.94
mnfqyxtu.hist.pku.com.   IN    A    109.205.44.125
dsbvmjkc.hist.pku.com.   IN    A    250.195.128.101
kxydbmtu.hist.pku.com.   IN    A    4.117.168.109
ntsylmqj.hist.pku.com.   IN    A    43.215.75.123
kawuqnci.hist.pku.com.   IN    A    168.1.234.120
iovsrnjf.hist.pku.com.   IN    A    209.174.222.76
akinsluq.hist.pku.com.   IN    A    147.228.234.60
cjoxbvmg.hist.pku.com.   IN    A    121.203.121.65
niejhsrg.hist.pku.com.   IN    A    233.227.61.248
hyjoxfsk.hist.pku.com.   IN    A    195.139.5.169
lsubhkay.hist.pku.com.   IN    A    172.191.23.107
yeuihrqb.hist.pku.com.   IN    A    211.29.224.60
qywbihgc.hist.pku.com.   IN    A    62.228.60.191
wpekiroq.hist.pku.com.   IN    A    252.11.0.23
bvfrlnjo.hist.pku.com.   IN    A    211.112.188.53
mqnjdfhy.hist.pku.com.   IN    A    125.16.76.28
lntqjfxa.hist.pku.com.   IN    A    165.178.165.187
wbksqcli.hist.pku.com.   IN    A    113.242.56.139
uvwjrgba.hist.pku.com.   IN    A    50.169.110.6
lvorhimu.hist.pku.com.   IN    A    238.92.191.54
ojmhwbkc.hist.pku.com.   IN    A    60.83.244.47
wgyapoir.hist.pku.com.   IN    A    177.96.253.231
mkcshbdv.hist.pku.com.   IN    A    193.155.215.156
khxfcovy.hist.pku.com.   IN    A    94.36.54.169
atklvcge.hist.pku.com.   IN    A    203.52.80.198
kxmfjbqg.hist.pku.com.   IN    A    204.37.14.252
bjndfwsp.hist.pku.com.   IN    A    87.10.120.110
actfqxyu.hist.pku.com.   IN    A    136.180.73.240
lrmvnoaq.hist.pku.com.   IN    A    73.134.109.170
ukawqrej.hist.pku.com.   IN    A    62.245.72.237
yjqhvpba.hist.pku.com.   IN    A    183.30.150.83
yxsichot.hist.pku.com.   IN    A    252.5.87.53
yofakpdm.hist.pku.com.   IN    A    119.183.159.23
uterwofj.hist.pku.com.   IN    A    2.34.34.228
rdbsiehq.hist.pku.com.   IN    A    251.227.224.98
veopsgtr.hist.pku.com.   IN    A    143.232.252.150
idlyearq.hist.pku.com.   IN    A    141.217.129.201
mjlordxe.hist.pku.com.   IN    A    92.216.34.15
cnvfosmy.hist.pku.com.   IN    A    163.154.184.85
wnboidmv.hist.pku.com.   IN    A    165.14.162.45
fjpmkgsa.hist.pku.com.   IN    A    155.93.174.95
bhxlytdv.hist.pku.com.   IN    A    128.39.54.64
ufxqwjpg.hist.pku.com.   IN    A    190.237.109.17
gqswhumi.hist.pku.com.   IN    A    111.98.55.226
bjhmkoce.hist.pku.com.   IN    A    38.120.220.139
ofjmhlyn.hist.pku.com.   IN    A    195.160.193.240
tvipewba.hist.pku.com.   IN    A    215.185.190.53
fbywdqja.hist.pku.com.   IN    A    250.16.91.210
pvbwfmqa.hist.pku.com.   IN    A    120.85.142.160
mgxvqkyt.hist.pku.com.   IN    A    31.19.25.225
mfwbdvei.hist.pku.com.   IN    A    168.28.75.104
dbmuogjw.hist.pku.com.   IN    A    240.178.236.178
loaifumc.hist.pku.com.   IN    A    132.237.95.210
yhbexrva.hist.pku.com.   IN    A    230.88.43.76
vqyjkoge.hist.pku.com.   IN    A    190.211.7.83
tywdcfpn.hist.pku.com.   IN    A    193.197.236.216
syojwigk.hist.pku.com.   IN    A    201.121.32.238
qfonsbud.hist.pku.com.   IN    A    254.37.24.60
ajfebxiv.hist.pku.com.   IN    A    131.151.163.49
wblesnog.hist.pku.com.   IN    A    255.181.214.40
brcelqug.hist.pku.com.   IN    A    141.4.34.233
sqrmcdyo.hist.pku.com.   IN    A    11.34.242.64
oeraxmqb.hist.pku.com.   IN    A    160.249.131.126
odtbqfyk.hist.pku.com.   IN    A    221.185.111.203
ebuowavj.hist.pku.com.   IN    A    181.119.179.68
iympfntd.hist.pku.com.   IN    A    173.121.79.55
nqayvpos.hist.pku.com.   IN    A    74.98.15.150
sgquamyc.hist.pku.com.   IN    A    183.12.179.29
wjesvmyp.hist.pku.com.   IN    A    199.23.160.151
uwtkpsec.hist.pku.com.   IN    A    7.102.93.35
qhclyfbi.hist.pku.com.   IN    A    247.14.251.49
uidxftbk.hist.pku.com.   IN    A    171.106.198.37
eyloauib.hist.pku.com.   IN    A    30.131.64.201
rhudsgva.hist.pku.com.   IN    A    202.56.217.57
xtmqvfbh.hist.pku.com.   IN    A    99.62.155.178
qwsfkehv.hist.pku.com.   IN    A    253.24.176.42
lpnsuhgc.hist.pku.com.   IN    A    192.27.208.34
sqwikcfx.hist.pku.com.   IN    A    250.39.15.80
yefnovwg.hist.pku.com.   IN    A    148.161.117.101
tnulxgep.hist.pku.com.   IN    A    235.28.193.131
apsrfnmv.hist.pku.com.   IN    A    48.237.231.173
tkbhmxqi.hist.pku.com.   IN    A    173.60.111.186
yspfdito.hist.pku.com.   IN    A    65.3.28.33
jqkfmtsb.hist.pku.com.   IN    A    138.117.232.63
fwkiosvb.hist.pku.com.   IN    A    110.136.177.194
hbaewqos.hist.pku.com.   IN    A    126.73.36.63
lgwsyacn.hist.pku.com.   IN    A    147.96.50.1
vyhgdimt.hist.pku.com.   IN    A    96.183.179.22
tuwfvrqm.hist.pku.com.   IN    A    124.78.106.45
rlmcgbio.hist.pku.com.   IN    A    184.26.178.243
jygasurk.hist.pku.com.   IN    A    102.216.167.133
ytfrbkqa.hist.pku.com.   IN    A    79.79.85.212
ynwrhlag.hist.pku.com.   IN    A    187.18.113.151
vbqstpkc.hist.pku.com.   IN    A    56.188.251.159
xpitkhdj.hist.pku.com.   IN    A    75.250.95.36
ioxqjbmp.hist.pku.com.   IN    A    65.220.85.122
yplfvbdg.hist.pku.com.   IN    A    130.66.13.16
dqjkanvf.hist.pku.com.   IN    A    134.183.162.149
qvlurhjn.hist.pku.com.   IN    A    97.175.19.75
adslyroe.hist.pku.com.   IN    A    51.120.99.231
xlwgmtjp.hist.pku.com.   IN    A    205.248.207.254
vmbpwqio.hist.pku.com.   IN    A    250.71.87.31
wontcsvk.hist.pku.com.   IN    A    128.81.84.189
