; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR whu.com. @ns2.whu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
whu.com.			      14400 IN NS	ns1.whu.com.
ns1.whu.com.			      14400 IN A	10.166.21.13

www.whu.com.		      14400 IN NS	ns1.www.whu.com.
ns1.www.whu.com.		      14400 IN A		10.166.21.14

pharm.whu.com.		      14400 IN NS	ns1.pharm.whu.com.
ns1.pharm.whu.com.		      14400 IN A		10.166.21.15

hyxt.whu.com.		      14400 IN NS	ns1.hyxt.whu.com.
ns1.hyxt.whu.com.		      14400 IN A		10.166.21.12

whu.com.			      14400 IN MX	10 hyxttp.whu.edu.
whu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
ufpgdmeb.whu.com.        IN    A    33.247.75.0
dfusomwc.whu.com.        IN    A    57.59.31.58
pcsjindo.whu.com.        IN    A    189.102.228.28
plvyecid.whu.com.        IN    A    117.148.28.253
ywjihkqa.whu.com.        IN    A    48.250.23.201
lbcnqaos.whu.com.        IN    A    200.242.232.222
mjgscbra.whu.com.        IN    A    28.207.47.83
iesvlojh.whu.com.        IN    A    196.167.94.167
hqbiavko.whu.com.        IN    A    88.31.251.240
menrhtqu.whu.com.        IN    A    65.113.46.179
fhomdcuy.whu.com.        IN    A    214.236.118.55
nprdbfch.whu.com.        IN    A    43.62.88.38
xslmvqop.whu.com.        IN    A    236.124.117.240
jvbgqmrs.whu.com.        IN    A    254.56.144.133
kuifedxg.whu.com.        IN    A    209.89.53.95
ckmbdhlt.whu.com.        IN    A    89.98.57.254
iscrntgj.whu.com.        IN    A    83.207.20.91
mukltnrh.whu.com.        IN    A    200.137.85.142
dfwpxybu.whu.com.        IN    A    108.59.92.190
kjroeqwg.whu.com.        IN    A    124.87.90.87
qocaxpry.whu.com.        IN    A    86.173.87.185
onacdthb.whu.com.        IN    A    40.118.158.64
ejxdgytv.whu.com.        IN    A    130.25.11.19
snrcykif.whu.com.        IN    A    182.40.99.148
ylgtjxhf.whu.com.        IN    A    110.90.168.138
taiceghs.whu.com.        IN    A    120.92.234.196
elkbnhis.whu.com.        IN    A    244.224.212.33
fyhelbis.whu.com.        IN    A    13.60.213.110
vxylgpew.whu.com.        IN    A    190.212.199.203
sdrfijpc.whu.com.        IN    A    220.138.72.231
qjmygvtb.whu.com.        IN    A    115.194.49.206
wrkfqcpe.whu.com.        IN    A    240.115.246.74
ulvxnbqa.whu.com.        IN    A    131.221.169.191
fkxmhupb.whu.com.        IN    A    88.22.24.110
ekysrvml.whu.com.        IN    A    122.231.82.250
achdeyiu.whu.com.        IN    A    110.183.252.46
forwbymk.whu.com.        IN    A    83.178.4.6
ysnlaorg.whu.com.        IN    A    198.205.72.234
qyiskmhe.whu.com.        IN    A    221.214.189.41
ctsknvje.whu.com.        IN    A    64.34.251.43
voyqtpnx.whu.com.        IN    A    75.109.59.68
qkduajcf.whu.com.        IN    A    155.63.197.62
jwdvloes.whu.com.        IN    A    73.46.140.137
ykgjlnci.whu.com.        IN    A    148.6.185.173
pvsyodqb.whu.com.        IN    A    85.97.30.36
ctsepfhl.whu.com.        IN    A    39.244.212.138
whktvpmg.whu.com.        IN    A    91.52.58.169
rqhujtfo.whu.com.        IN    A    112.167.81.64
mtxgdlsr.whu.com.        IN    A    110.125.174.111
nqxuhykc.whu.com.        IN    A    0.22.103.67
amnurfiw.whu.com.        IN    A    200.226.177.106
cxntgkhr.whu.com.        IN    A    123.31.172.48
kmrjncex.whu.com.        IN    A    247.227.180.89
duqftslm.whu.com.        IN    A    85.56.160.254
bvjrxneq.whu.com.        IN    A    1.179.81.73
vkrqgoch.whu.com.        IN    A    152.144.254.12
lavycnof.whu.com.        IN    A    50.34.221.207
loimfcsp.whu.com.        IN    A    135.171.69.230
gdwkqcli.whu.com.        IN    A    216.69.14.91
xulbwdnf.whu.com.        IN    A    53.254.120.174
wfnulhdb.whu.com.        IN    A    254.136.112.176
tumwejbq.whu.com.        IN    A    85.2.48.206
ebpdhvmy.whu.com.        IN    A    125.201.142.250
blvtmgfy.whu.com.        IN    A    98.102.62.11
tschblou.whu.com.        IN    A    209.100.33.47
npeuvfkc.whu.com.        IN    A    73.18.211.4
ixboprgt.whu.com.        IN    A    250.13.62.213
rcijvebn.whu.com.        IN    A    60.106.254.221
gjvdphbr.whu.com.        IN    A    85.47.5.241
jhvibect.whu.com.        IN    A    13.139.207.55
yvtnkbji.whu.com.        IN    A    56.59.173.91
putqkyna.whu.com.        IN    A    54.57.21.223
gfcahrwi.whu.com.        IN    A    249.167.151.182
syhawmxu.whu.com.        IN    A    138.80.32.43
spjhialw.whu.com.        IN    A    197.123.246.37
cthsybej.whu.com.        IN    A    161.245.153.51
oelbpmrx.whu.com.        IN    A    30.73.108.160
gthkrnol.whu.com.        IN    A    255.122.21.69
nswqhukp.whu.com.        IN    A    115.241.175.24
unvdjfex.whu.com.        IN    A    33.126.149.116
ykcpoqdf.whu.com.        IN    A    228.38.103.71
iavtrsqp.whu.com.        IN    A    141.62.82.228
dbicwsyl.whu.com.        IN    A    88.118.211.9
gvnlecbj.whu.com.        IN    A    156.2.113.49
nhwfiqck.whu.com.        IN    A    12.91.194.48
vpbocniy.whu.com.        IN    A    14.165.93.80
psdwkqor.whu.com.        IN    A    207.195.157.52
mrwaqost.whu.com.        IN    A    129.124.157.245
optmdcxs.whu.com.        IN    A    89.27.111.121
enijgqbv.whu.com.        IN    A    72.141.147.179
jwomdxnf.whu.com.        IN    A    141.107.127.246
xrafvnmu.whu.com.        IN    A    159.118.110.20
vqgyuhke.whu.com.        IN    A    41.170.48.214
mwoyjvqg.whu.com.        IN    A    58.141.81.16
rhqjlfci.whu.com.        IN    A    156.234.231.68
hjgdlucs.whu.com.        IN    A    110.254.123.133
lkqsecht.whu.com.        IN    A    139.238.64.132
rswcgnhu.whu.com.        IN    A    79.209.180.212
gkidthle.whu.com.        IN    A    153.234.108.178
astmqnyp.whu.com.        IN    A    43.156.220.190
oaeqnmfj.whu.com.        IN    A    123.131.45.104
cdvngpyk.whu.com.        IN    A    29.78.157.131
yevdaubj.whu.com.        IN    A    186.239.199.210
wydrhgvx.whu.com.        IN    A    91.125.252.215
jcaurnoq.whu.com.        IN    A    65.132.16.253
pqotydvc.whu.com.        IN    A    24.203.155.76
tglnbsyi.whu.com.        IN    A    255.123.77.167
rnkgovjm.whu.com.        IN    A    104.29.245.212
ranoitku.whu.com.        IN    A    42.226.145.15
vhwyqing.whu.com.        IN    A    152.138.147.186
fjhmnpik.whu.com.        IN    A    53.215.51.119
ipmwekqg.whu.com.        IN    A    27.104.236.28
ilrndjgp.whu.com.        IN    A    122.211.123.207
hfmujikx.whu.com.        IN    A    41.172.8.70
retpgihf.whu.com.        IN    A    54.121.151.193
nfbuoiql.whu.com.        IN    A    196.69.17.138
ychkaxpm.whu.com.        IN    A    90.253.38.130
lrseyhkg.whu.com.        IN    A    41.2.213.234
mqxaongw.whu.com.        IN    A    59.92.249.244
ucjqgplk.whu.com.        IN    A    9.255.21.226
rsfwakbp.whu.com.        IN    A    56.209.49.206
ugpkhavf.whu.com.        IN    A    198.8.84.126
