cse.cqu.com.	14400	IN	SOA	ns1.cse.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cse.cqu.com.		    IN	NS ns1.cse.cqu.com.
ns1.cse.cqu.com.	    IN	A	10.166.21.14

cse.cqu.com.		    IN	A	6.6.6.6

uilscjth.cse.cqu.com.    IN    A    160.183.147.218
tafyjgvw.cse.cqu.com.    IN    A    114.194.184.11
tkyjwvah.cse.cqu.com.    IN    A    236.250.136.42
miblkyap.cse.cqu.com.    IN    A    242.175.157.4
aywdvejo.cse.cqu.com.    IN    A    6.12.96.202
olchetjx.cse.cqu.com.    IN    A    184.233.252.189
vdbxteki.cse.cqu.com.    IN    A    220.174.140.232
fpduekhc.cse.cqu.com.    IN    A    48.82.77.50
lgapdwvm.cse.cqu.com.    IN    A    118.157.58.104
cawkgxfh.cse.cqu.com.    IN    A    117.147.33.224
gtvbpdln.cse.cqu.com.    IN    A    159.185.246.8
djfbclxi.cse.cqu.com.    IN    A    199.168.198.97
fvcpamsq.cse.cqu.com.    IN    A    130.169.239.18
gutkjenv.cse.cqu.com.    IN    A    1.199.121.5
bdiarfqc.cse.cqu.com.    IN    A    39.190.160.3
jlfhcxvq.cse.cqu.com.    IN    A    10.93.18.92
svqpreiy.cse.cqu.com.    IN    A    233.4.64.121
wbrqyeph.cse.cqu.com.    IN    A    142.228.31.179
dvmuctgf.cse.cqu.com.    IN    A    47.85.20.129
mustljpd.cse.cqu.com.    IN    A    209.30.214.4
xokicmyr.cse.cqu.com.    IN    A    132.92.155.137
fhtwbvpr.cse.cqu.com.    IN    A    187.211.238.147
ictrmnas.cse.cqu.com.    IN    A    198.245.80.100
aqosbphg.cse.cqu.com.    IN    A    187.212.72.240
yhrbapst.cse.cqu.com.    IN    A    245.212.247.50
yswbqcti.cse.cqu.com.    IN    A    38.251.68.133
qlyghmoe.cse.cqu.com.    IN    A    177.120.172.185
wnvdqyfb.cse.cqu.com.    IN    A    49.176.161.174
uvqyginm.cse.cqu.com.    IN    A    91.166.33.72
kivplegx.cse.cqu.com.    IN    A    221.37.79.33
qxtbsedp.cse.cqu.com.    IN    A    223.32.151.138
eodkigvn.cse.cqu.com.    IN    A    70.25.67.75
ybpdmalr.cse.cqu.com.    IN    A    105.138.225.206
rdgwhjyv.cse.cqu.com.    IN    A    239.212.64.143
rbavuoqj.cse.cqu.com.    IN    A    2.84.117.102
gjqdwblk.cse.cqu.com.    IN    A    235.72.70.80
rosxhcgw.cse.cqu.com.    IN    A    251.68.152.40
nwmlpkfg.cse.cqu.com.    IN    A    210.72.72.231
dpuimqst.cse.cqu.com.    IN    A    194.175.215.82
wyafhqmp.cse.cqu.com.    IN    A    193.177.142.221
dtxljhre.cse.cqu.com.    IN    A    0.36.244.24
hkguranb.cse.cqu.com.    IN    A    50.166.203.248
jasevpto.cse.cqu.com.    IN    A    224.86.210.73
gyqsptma.cse.cqu.com.    IN    A    182.45.155.188
cmuxnjfg.cse.cqu.com.    IN    A    52.82.19.65
hojkvytx.cse.cqu.com.    IN    A    34.196.153.245
ophavtnm.cse.cqu.com.    IN    A    201.107.107.141
qrujgkxi.cse.cqu.com.    IN    A    73.179.52.157
uirnplxt.cse.cqu.com.    IN    A    13.148.129.77
gukcowdh.cse.cqu.com.    IN    A    161.103.142.17
jqcagifu.cse.cqu.com.    IN    A    107.95.185.68
tmkjfxuy.cse.cqu.com.    IN    A    34.119.102.241
taghlevx.cse.cqu.com.    IN    A    114.22.2.46
