; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR nju.com. @ns2.nju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
nju.com.			      14400 IN NS	ns1.nju.com.
ns1.nju.com.			      14400 IN A	10.166.21.14

www.nju.com.		      14400 IN NS	ns1.www.nju.com.
ns1.www.nju.com.		      14400 IN A		10.166.21.15

software.nju.com.		      14400 IN NS	ns1.software.nju.com.
ns1.software.nju.com.		      14400 IN A		10.166.21.12

law.nju.com.		      14400 IN NS	ns1.law.nju.com.
ns1.law.nju.com.		      14400 IN A		10.166.21.13

nju.com.			      14400 IN MX	10 lawtp.nju.edu.
nju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
jsdlftyk.nju.com.        IN    A    239.58.98.201
scmueyih.nju.com.        IN    A    179.148.139.111
pkxfidaj.nju.com.        IN    A    192.230.42.177
dfruybpj.nju.com.        IN    A    185.186.133.1
wabyjgud.nju.com.        IN    A    76.205.191.46
gsbnvfqy.nju.com.        IN    A    161.153.15.255
afgmwqtb.nju.com.        IN    A    24.129.156.220
onsmbjgr.nju.com.        IN    A    16.89.18.37
mtixwkyo.nju.com.        IN    A    37.61.214.219
hyudqcwb.nju.com.        IN    A    53.250.230.22
csnvdrqt.nju.com.        IN    A    76.232.3.24
ntauwkph.nju.com.        IN    A    10.95.194.115
ynedubfi.nju.com.        IN    A    215.82.65.178
agnjetoc.nju.com.        IN    A    129.182.164.197
lyvuxpdw.nju.com.        IN    A    78.82.67.217
sokluwta.nju.com.        IN    A    211.22.70.134
kphogtbr.nju.com.        IN    A    121.137.109.199
gbxautoq.nju.com.        IN    A    234.76.152.210
qmhcgbal.nju.com.        IN    A    186.226.141.176
hadsowye.nju.com.        IN    A    36.141.200.49
krvtcxoe.nju.com.        IN    A    175.254.187.198
mwdragnf.nju.com.        IN    A    87.3.48.4
gbirwkqc.nju.com.        IN    A    254.129.144.110
gfdmoseh.nju.com.        IN    A    209.87.205.15
sjoxvfiq.nju.com.        IN    A    106.105.0.90
icjldpqw.nju.com.        IN    A    229.14.199.189
dxisgwuf.nju.com.        IN    A    98.169.148.33
hqdjlrba.nju.com.        IN    A    41.231.134.200
vpgqdksi.nju.com.        IN    A    61.209.160.71
dgrqjkcb.nju.com.        IN    A    19.212.173.152
ignrldmo.nju.com.        IN    A    163.82.77.255
tcviqgkn.nju.com.        IN    A    54.159.45.182
ahtlewos.nju.com.        IN    A    195.178.228.56
cgrwbsjv.nju.com.        IN    A    15.237.233.75
ekghaxim.nju.com.        IN    A    154.242.221.111
kwmdhqlr.nju.com.        IN    A    155.109.140.61
hwkvlmcy.nju.com.        IN    A    31.69.202.64
fspdljmx.nju.com.        IN    A    188.46.206.214
pwdyheac.nju.com.        IN    A    235.244.158.187
tblenwof.nju.com.        IN    A    6.166.75.165
dmajbekr.nju.com.        IN    A    130.53.20.204
glakhcrq.nju.com.        IN    A    143.211.140.101
jwescaqp.nju.com.        IN    A    89.40.252.143
ljrkwehu.nju.com.        IN    A    122.108.136.184
itnokqpf.nju.com.        IN    A    141.139.133.184
pknuqdjx.nju.com.        IN    A    66.196.68.61
whxoqkin.nju.com.        IN    A    173.147.246.24
rackjsqf.nju.com.        IN    A    78.228.30.104
htbsouex.nju.com.        IN    A    28.109.242.145
rvasihxy.nju.com.        IN    A    250.58.71.53
qyjxfwum.nju.com.        IN    A    231.238.246.110
mwtdyokn.nju.com.        IN    A    152.154.107.144
pehfbvlj.nju.com.        IN    A    222.84.240.222
nbxrldpj.nju.com.        IN    A    40.177.98.187
hwydmgos.nju.com.        IN    A    187.87.113.130
oecnptaq.nju.com.        IN    A    162.93.237.115
xldgruty.nju.com.        IN    A    18.157.131.123
vgbispno.nju.com.        IN    A    52.127.14.74
xyiowhvj.nju.com.        IN    A    138.63.22.136
nuwpjfbd.nju.com.        IN    A    229.21.73.160
bjexfcig.nju.com.        IN    A    210.251.189.214
guekjlth.nju.com.        IN    A    157.67.8.88
ghljnbar.nju.com.        IN    A    254.208.252.116
noxrsiwq.nju.com.        IN    A    17.100.159.205
yvspjxtl.nju.com.        IN    A    60.117.29.178
lrdtsefp.nju.com.        IN    A    93.151.104.218
nyfijvwg.nju.com.        IN    A    129.212.43.147
yilsehqd.nju.com.        IN    A    100.22.94.93
vphftgic.nju.com.        IN    A    17.229.36.207
sqepjgir.nju.com.        IN    A    191.136.204.103
olmyehkb.nju.com.        IN    A    171.34.164.180
qrnxjigo.nju.com.        IN    A    227.215.73.33
twylihco.nju.com.        IN    A    54.134.230.221
igcsxnyf.nju.com.        IN    A    90.59.165.54
lykihfwd.nju.com.        IN    A    171.129.9.219
wcfnosui.nju.com.        IN    A    204.178.22.123
qmhikvno.nju.com.        IN    A    103.175.179.13
rcswpkuf.nju.com.        IN    A    66.64.158.225
hrxabdsv.nju.com.        IN    A    253.39.209.179
nqfagpso.nju.com.        IN    A    15.63.250.16
dbhkvsey.nju.com.        IN    A    165.111.21.182
yxghipvm.nju.com.        IN    A    58.169.115.189
aetghmlp.nju.com.        IN    A    65.62.31.5
fgwlpvdr.nju.com.        IN    A    81.179.54.150
iwbrmntp.nju.com.        IN    A    226.65.173.191
ykhilrqx.nju.com.        IN    A    169.54.54.121
adpehwbt.nju.com.        IN    A    153.253.139.204
jraqutsi.nju.com.        IN    A    102.185.207.181
akiebxgv.nju.com.        IN    A    220.162.65.106
jhbtuvpn.nju.com.        IN    A    137.79.32.200
urdnkjgb.nju.com.        IN    A    56.145.111.188
cshufima.nju.com.        IN    A    37.123.223.33
xeogylbt.nju.com.        IN    A    72.204.162.244
sqtrmbdh.nju.com.        IN    A    139.117.128.222
erfvmgkn.nju.com.        IN    A    229.143.148.227
xbgvjiou.nju.com.        IN    A    93.120.211.198
jsyecqnx.nju.com.        IN    A    191.247.194.232
aekfryxj.nju.com.        IN    A    90.77.94.110
ervousyc.nju.com.        IN    A    161.125.111.22
ijmuvyfa.nju.com.        IN    A    121.90.129.5
dupkxyrj.nju.com.        IN    A    167.196.19.94
bvorkypq.nju.com.        IN    A    254.133.161.130
bisaqtor.nju.com.        IN    A    15.124.92.109
fxaricpy.nju.com.        IN    A    190.214.119.200
keuynbcd.nju.com.        IN    A    112.252.68.54
