www.tju.com. 	14400	IN	SOA	ns1.www.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
www.tju.com.		    IN	NS ns1.www.tju.com.
ns1.www.tju.com.	    IN	A	10.166.21.14

www.tju.com.		    IN	A	6.6.6.6

ejxlkpha.www.tju.com.    IN    A    117.123.12.42
kcywvmrg.www.tju.com.    IN    A    68.71.190.168
mnkaqyjr.www.tju.com.    IN    A    212.170.16.144
hmiyndtj.www.tju.com.    IN    A    97.92.128.19
lipvfomj.www.tju.com.    IN    A    99.22.65.212
umrcpkif.www.tju.com.    IN    A    226.234.184.96
kvrqfuie.www.tju.com.    IN    A    38.126.15.222
ilbtcagm.www.tju.com.    IN    A    96.129.121.139
ydkqxrmt.www.tju.com.    IN    A    161.114.224.122
prnwuoyx.www.tju.com.    IN    A    66.224.123.21
qgyhjmvd.www.tju.com.    IN    A    254.204.150.239
fgdqvjas.www.tju.com.    IN    A    28.156.2.81
gxvphsou.www.tju.com.    IN    A    27.202.32.35
pugctraw.www.tju.com.    IN    A    44.199.84.191
fhvagyio.www.tju.com.    IN    A    126.248.76.104
ifxnyegr.www.tju.com.    IN    A    207.172.229.28
hacmplgo.www.tju.com.    IN    A    201.43.245.226
igeuaklh.www.tju.com.    IN    A    182.245.111.165
kfprohjy.www.tju.com.    IN    A    27.91.98.76
dwagxlej.www.tju.com.    IN    A    234.205.16.55
umbfksnt.www.tju.com.    IN    A    41.199.173.219
kglmfhsy.www.tju.com.    IN    A    34.91.193.47
grfvqkep.www.tju.com.    IN    A    35.168.116.69
ipkuwceq.www.tju.com.    IN    A    109.69.219.198
nqhjuipv.www.tju.com.    IN    A    212.166.32.155
uajnhxkl.www.tju.com.    IN    A    178.209.211.69
ugirdtap.www.tju.com.    IN    A    219.189.146.255
ylxruakc.www.tju.com.    IN    A    253.180.23.77
vaxjyogl.www.tju.com.    IN    A    83.59.230.96
baxdcthe.www.tju.com.    IN    A    86.27.51.45
chwaredx.www.tju.com.    IN    A    226.25.212.50
yuotmpcb.www.tju.com.    IN    A    22.100.246.177
jxskqahc.www.tju.com.    IN    A    154.108.114.235
hqmscatn.www.tju.com.    IN    A    197.242.144.162
npdhsixy.www.tju.com.    IN    A    229.240.218.227
kdgyhuor.www.tju.com.    IN    A    61.164.104.124
dtwyxaoc.www.tju.com.    IN    A    112.206.91.241
ctphojug.www.tju.com.    IN    A    114.94.120.54
cplriyqw.www.tju.com.    IN    A    171.186.26.12
iykpvrxl.www.tju.com.    IN    A    193.128.59.173
yhvuldij.www.tju.com.    IN    A    28.235.219.12
kqfsyimb.www.tju.com.    IN    A    164.205.87.2
jkebwois.www.tju.com.    IN    A    72.105.13.138
xmovculp.www.tju.com.    IN    A    159.93.248.58
srhbqumj.www.tju.com.    IN    A    85.53.212.110
gabywxeo.www.tju.com.    IN    A    127.236.216.58
hrbmglaf.www.tju.com.    IN    A    30.28.16.3
xsolrdhj.www.tju.com.    IN    A    208.179.46.34
dnvuxgsy.www.tju.com.    IN    A    60.53.76.211
nimkgjud.www.tju.com.    IN    A    10.218.25.188
gxuatrco.www.tju.com.    IN    A    95.44.63.27
ahstvglc.www.tju.com.    IN    A    114.227.158.255
orvmcnxs.www.tju.com.    IN    A    51.248.210.2
arenpxvh.www.tju.com.    IN    A    90.205.125.33
sxboyhei.www.tju.com.    IN    A    61.179.64.92
xjobvqsa.www.tju.com.    IN    A    121.166.33.69
gichwsan.www.tju.com.    IN    A    163.103.49.77
bkvwjfod.www.tju.com.    IN    A    219.108.84.201
nyhvrwsd.www.tju.com.    IN    A    87.221.41.87
tfniomyd.www.tju.com.    IN    A    154.184.192.205
kegpanuo.www.tju.com.    IN    A    190.29.130.111
lanudqjf.www.tju.com.    IN    A    165.121.114.50
jrigetpv.www.tju.com.    IN    A    216.182.174.236
fjtwcgyd.www.tju.com.    IN    A    209.14.29.63
osblqrak.www.tju.com.    IN    A    49.137.51.39
pgcvfnqx.www.tju.com.    IN    A    172.224.210.146
suyveglh.www.tju.com.    IN    A    104.203.207.123
ubjykhnm.www.tju.com.    IN    A    108.189.114.59
ovdwnsub.www.tju.com.    IN    A    21.115.116.69
obslwime.www.tju.com.    IN    A    207.130.230.105
mguwjsfb.www.tju.com.    IN    A    164.87.181.163
enpkcrhy.www.tju.com.    IN    A    227.184.110.184
xpmtnvis.www.tju.com.    IN    A    175.162.114.128
mdrlhwpf.www.tju.com.    IN    A    230.195.1.195
nxqjscot.www.tju.com.    IN    A    26.182.68.30
wekalyft.www.tju.com.    IN    A    225.143.60.153
wmrsihve.www.tju.com.    IN    A    244.246.180.107
xvgihrny.www.tju.com.    IN    A    13.153.80.41
erkncgam.www.tju.com.    IN    A    12.78.23.253
vbpdjgyn.www.tju.com.    IN    A    161.140.52.161
hjxqfiru.www.tju.com.    IN    A    162.70.251.130
yntigrho.www.tju.com.    IN    A    175.23.131.213
wqjbuvgh.www.tju.com.    IN    A    138.129.188.231
wcumxoea.www.tju.com.    IN    A    129.170.80.32
mcaynbvx.www.tju.com.    IN    A    245.208.165.199
semipgyx.www.tju.com.    IN    A    111.138.243.26
ehaqbkcx.www.tju.com.    IN    A    235.230.60.75
sokwfcpt.www.tju.com.    IN    A    129.130.65.219
mrajfvlx.www.tju.com.    IN    A    113.236.191.43
khsrijfa.www.tju.com.    IN    A    50.174.252.100
lfokiupb.www.tju.com.    IN    A    94.142.103.41
ybiqwfrx.www.tju.com.    IN    A    118.58.188.199
najwgkvh.www.tju.com.    IN    A    193.69.81.249
ojghnidv.www.tju.com.    IN    A    122.14.63.132
ognyijfk.www.tju.com.    IN    A    28.205.87.234
wrsycafx.www.tju.com.    IN    A    205.139.57.193
iqejbswn.www.tju.com.    IN    A    10.167.42.86
uiprhwqk.www.tju.com.    IN    A    38.130.45.46
vhymoltd.www.tju.com.    IN    A    215.29.182.52
fyqdgsal.www.tju.com.    IN    A    206.92.175.191
acndupxv.www.tju.com.    IN    A    209.21.189.77
eqfkdbmg.www.tju.com.    IN    A    233.144.243.178
uthrgsvq.www.tju.com.    IN    A    51.95.250.99
ftkesnjd.www.tju.com.    IN    A    85.224.173.238
lfhgswbr.www.tju.com.    IN    A    3.113.127.11
lmcfsiyx.www.tju.com.    IN    A    42.126.189.36
gpdotcqn.www.tju.com.    IN    A    185.103.233.196
fwbxvyuq.www.tju.com.    IN    A    248.125.29.190
wapdrqun.www.tju.com.    IN    A    27.188.198.146
bfsywvtu.www.tju.com.    IN    A    243.187.67.179
nqgsycbf.www.tju.com.    IN    A    80.161.137.250
qcwtpafv.www.tju.com.    IN    A    172.94.77.220
yqasbklp.www.tju.com.    IN    A    183.25.198.194
bgnmsfoe.www.tju.com.    IN    A    118.199.198.199
busivwmn.www.tju.com.    IN    A    220.153.114.99
gsyrmfhp.www.tju.com.    IN    A    7.248.166.75
kxtqywai.www.tju.com.    IN    A    212.182.239.90
aubnxvjw.www.tju.com.    IN    A    208.41.185.159
weyosngk.www.tju.com.    IN    A    255.209.173.138
ubgaosie.www.tju.com.    IN    A    251.8.213.93
ovydqwsb.www.tju.com.    IN    A    99.183.204.208
yxumwplc.www.tju.com.    IN    A    97.21.198.206
nlfxedwi.www.tju.com.    IN    A    63.78.253.120
mwhalutn.www.tju.com.    IN    A    72.222.78.23
lgjpiauf.www.tju.com.    IN    A    217.20.44.39
hqcywrfa.www.tju.com.    IN    A    35.119.30.58
gboswkqt.www.tju.com.    IN    A    158.179.43.245
rmtecwqa.www.tju.com.    IN    A    37.158.237.110
aycjushe.www.tju.com.    IN    A    69.73.242.212
aleqicub.www.tju.com.    IN    A    255.9.99.7
lcmkuqwe.www.tju.com.    IN    A    129.100.225.249
sjafnxul.www.tju.com.    IN    A    111.149.157.34
yfdbcpim.www.tju.com.    IN    A    171.137.156.233
nqgbrucf.www.tju.com.    IN    A    153.248.199.22
rqngbjau.www.tju.com.    IN    A    211.17.243.2
sienoyhk.www.tju.com.    IN    A    183.112.246.212
lhnrfyjx.www.tju.com.    IN    A    193.50.83.139
syuhwqca.www.tju.com.    IN    A    4.26.214.8
vgfmxlrt.www.tju.com.    IN    A    193.173.50.116
ocwindsl.www.tju.com.    IN    A    220.63.221.247
yndseulf.www.tju.com.    IN    A    108.214.4.89
fpyqkjng.www.tju.com.    IN    A    101.194.241.90
gnchvtbk.www.tju.com.    IN    A    50.111.62.228
fkuconrx.www.tju.com.    IN    A    50.95.116.201
bwkvsalj.www.tju.com.    IN    A    128.71.216.169
lsaioydh.www.tju.com.    IN    A    42.76.103.83
ilexusqr.www.tju.com.    IN    A    17.73.81.19
ftdcovpx.www.tju.com.    IN    A    250.173.86.12
cyoalkmr.www.tju.com.    IN    A    36.9.139.183
pdijevxy.www.tju.com.    IN    A    35.96.6.45
jewyiras.www.tju.com.    IN    A    3.180.20.247
jcuxnbow.www.tju.com.    IN    A    104.31.114.240
cagskoux.www.tju.com.    IN    A    171.84.150.29
ubxcenpy.www.tju.com.    IN    A    186.92.152.192
kcaqslju.www.tju.com.    IN    A    187.194.120.132
rspentwo.www.tju.com.    IN    A    115.248.124.238
hmjkoafu.www.tju.com.    IN    A    27.225.7.176
loynjbrt.www.tju.com.    IN    A    89.37.172.106
mcjgnokw.www.tju.com.    IN    A    185.245.207.11
lfeovnyu.www.tju.com.    IN    A    166.135.114.167
wlfgonyt.www.tju.com.    IN    A    154.210.200.25
kqnwfdcy.www.tju.com.    IN    A    171.242.4.193
xmtrhjbk.www.tju.com.    IN    A    36.75.166.198
ibeyxohu.www.tju.com.    IN    A    109.234.58.96
vxatqury.www.tju.com.    IN    A    243.113.114.187
dcfhevbt.www.tju.com.    IN    A    108.241.219.52
knpgqmwr.www.tju.com.    IN    A    226.203.184.67
rcviaobp.www.tju.com.    IN    A    214.231.65.42
