pharm.whu.com.	14400	IN	SOA	ns1.pharm.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
pharm.whu.com.		    IN	NS ns1.pharm.whu.com.
ns1.pharm.whu.com.	    IN	A	10.166.21.15

pharm.whu.com.		    IN	A	6.6.6.6

spfucdvq.pharm.whu.com.  IN    A    15.88.136.240
ejfubhnd.pharm.whu.com.  IN    A    80.118.81.173
awgqrjbx.pharm.whu.com.  IN    A    251.7.41.234
lxwormeb.pharm.whu.com.  IN    A    134.83.53.23
svgomlbf.pharm.whu.com.  IN    A    192.13.69.38
gkmtjelc.pharm.whu.com.  IN    A    227.61.16.216
cwybeuli.pharm.whu.com.  IN    A    108.72.112.227
vdtarpmu.pharm.whu.com.  IN    A    50.152.31.179
wyjrpqde.pharm.whu.com.  IN    A    242.100.180.210
pksujnvh.pharm.whu.com.  IN    A    132.156.232.229
pdewslji.pharm.whu.com.  IN    A    12.20.193.136
loagjupt.pharm.whu.com.  IN    A    219.203.206.123
klbfjpxv.pharm.whu.com.  IN    A    154.114.202.175
slmecwkr.pharm.whu.com.  IN    A    158.78.107.249
exjwryfb.pharm.whu.com.  IN    A    59.116.40.161
rdceqsaj.pharm.whu.com.  IN    A    68.46.237.70
ypvwichs.pharm.whu.com.  IN    A    71.30.137.170
ysjxfmhe.pharm.whu.com.  IN    A    28.83.47.225
pnidklfo.pharm.whu.com.  IN    A    82.170.169.51
hckigper.pharm.whu.com.  IN    A    187.236.65.139
edqkmnsg.pharm.whu.com.  IN    A    165.144.146.217
vfaxoshl.pharm.whu.com.  IN    A    214.71.189.214
uimelsaq.pharm.whu.com.  IN    A    232.219.116.121
bfgyaxre.pharm.whu.com.  IN    A    232.186.73.49
yhuvoakt.pharm.whu.com.  IN    A    78.218.133.150
hfekgjyl.pharm.whu.com.  IN    A    93.45.61.220
fnkjmvbs.pharm.whu.com.  IN    A    88.248.95.157
wlpbykot.pharm.whu.com.  IN    A    97.201.79.201
nibcrmjf.pharm.whu.com.  IN    A    22.165.94.158
ouxhedmn.pharm.whu.com.  IN    A    32.126.230.210
wovdyakt.pharm.whu.com.  IN    A    8.227.11.42
srnchdpl.pharm.whu.com.  IN    A    95.125.24.152
rbqxwpts.pharm.whu.com.  IN    A    87.48.176.214
qwsdfjlm.pharm.whu.com.  IN    A    252.112.133.31
bxgwtlum.pharm.whu.com.  IN    A    6.29.171.67
wgyxfrpo.pharm.whu.com.  IN    A    251.15.220.133
kwfbpcgh.pharm.whu.com.  IN    A    32.220.68.22
ifdnbqsk.pharm.whu.com.  IN    A    138.189.150.218
mjlukawf.pharm.whu.com.  IN    A    114.216.207.25
aemciqnb.pharm.whu.com.  IN    A    196.145.124.200
xicgkhbt.pharm.whu.com.  IN    A    79.221.96.212
mrtqwbnv.pharm.whu.com.  IN    A    24.139.76.43
wmsonjkf.pharm.whu.com.  IN    A    244.231.36.53
anwjviyc.pharm.whu.com.  IN    A    109.155.189.238
ltfcguoa.pharm.whu.com.  IN    A    109.204.13.52
snuplgih.pharm.whu.com.  IN    A    204.44.118.40
ytvsgphn.pharm.whu.com.  IN    A    171.100.203.42
dcigvrwy.pharm.whu.com.  IN    A    14.45.214.253
pqglaeoj.pharm.whu.com.  IN    A    203.180.2.229
qypdmkia.pharm.whu.com.  IN    A    103.197.13.53
swmepbix.pharm.whu.com.  IN    A    0.89.128.5
apqbtuyw.pharm.whu.com.  IN    A    123.172.13.187
mdyncafv.pharm.whu.com.  IN    A    168.58.182.179
hbycmotr.pharm.whu.com.  IN    A    125.122.146.63
eigpojtx.pharm.whu.com.  IN    A    36.32.115.83
uwgpbhrn.pharm.whu.com.  IN    A    244.112.152.70
hdtifqly.pharm.whu.com.  IN    A    1.130.128.94
itaqdryl.pharm.whu.com.  IN    A    182.25.152.196
edskfvac.pharm.whu.com.  IN    A    172.153.127.125
ysmdklae.pharm.whu.com.  IN    A    200.150.34.113
hcsvildf.pharm.whu.com.  IN    A    85.33.210.74
xhdnvilf.pharm.whu.com.  IN    A    252.121.35.230
kilgbjmp.pharm.whu.com.  IN    A    112.40.61.182
jkiwoyhs.pharm.whu.com.  IN    A    62.157.117.64
vylgmasj.pharm.whu.com.  IN    A    68.22.146.42
hmxaqelw.pharm.whu.com.  IN    A    61.227.152.245
sqyavcxo.pharm.whu.com.  IN    A    111.32.21.141
oqdtwgjc.pharm.whu.com.  IN    A    155.15.249.140
nqdbwjfm.pharm.whu.com.  IN    A    250.119.177.53
qvoutmwc.pharm.whu.com.  IN    A    238.187.196.152
gewuslad.pharm.whu.com.  IN    A    1.227.25.141
fuedgbhn.pharm.whu.com.  IN    A    114.221.49.162
lchsvqap.pharm.whu.com.  IN    A    127.183.71.189
sgjmycdr.pharm.whu.com.  IN    A    200.149.163.134
usbtgnvo.pharm.whu.com.  IN    A    229.78.63.94
tnlvjhrp.pharm.whu.com.  IN    A    77.195.248.88
youpqtwj.pharm.whu.com.  IN    A    187.177.105.250
lfihgkym.pharm.whu.com.  IN    A    98.145.169.236
jripqxna.pharm.whu.com.  IN    A    130.109.143.80
reoknpmf.pharm.whu.com.  IN    A    85.203.197.238
exyqwtbs.pharm.whu.com.  IN    A    6.205.11.186
kyfructn.pharm.whu.com.  IN    A    12.35.237.73
hpsmctir.pharm.whu.com.  IN    A    21.155.203.187
byuwihfc.pharm.whu.com.  IN    A    132.130.199.15
natjxeog.pharm.whu.com.  IN    A    33.18.164.82
ruxikdyw.pharm.whu.com.  IN    A    241.34.186.152
dpmknral.pharm.whu.com.  IN    A    33.80.150.88
pyfhcetj.pharm.whu.com.  IN    A    197.7.215.213
ylkhavfg.pharm.whu.com.  IN    A    214.151.214.253
spvfghct.pharm.whu.com.  IN    A    23.188.233.1
gwtbhysa.pharm.whu.com.  IN    A    40.70.47.20
ktevsrgi.pharm.whu.com.  IN    A    31.40.217.150
dbhklspv.pharm.whu.com.  IN    A    81.182.133.219
qtisjehp.pharm.whu.com.  IN    A    8.160.115.68
imewnbxd.pharm.whu.com.  IN    A    59.207.9.238
vcfagxwq.pharm.whu.com.  IN    A    197.39.8.123
ypsinhut.pharm.whu.com.  IN    A    163.104.99.85
uqxdfave.pharm.whu.com.  IN    A    142.208.41.206
vkwrdhei.pharm.whu.com.  IN    A    37.182.161.202
nqjgmlce.pharm.whu.com.  IN    A    62.0.118.141
stjixdyr.pharm.whu.com.  IN    A    144.78.166.160
eslfqxpg.pharm.whu.com.  IN    A    15.20.114.69
quetwfja.pharm.whu.com.  IN    A    141.152.233.148
bmdurfgo.pharm.whu.com.  IN    A    120.252.44.211
wmeupfxl.pharm.whu.com.  IN    A    67.87.231.158
cjwrsutp.pharm.whu.com.  IN    A    14.114.125.21
hvkaiedj.pharm.whu.com.  IN    A    132.161.12.247
tbaufjph.pharm.whu.com.  IN    A    7.209.109.255
erunispb.pharm.whu.com.  IN    A    98.98.228.141
ienrjpgl.pharm.whu.com.  IN    A    154.192.43.235
svjbmkfe.pharm.whu.com.  IN    A    184.189.175.99
mlrsbuco.pharm.whu.com.  IN    A    229.60.254.141
drkpbaej.pharm.whu.com.  IN    A    150.136.221.55
ysvaxojk.pharm.whu.com.  IN    A    26.1.118.203
lnvbchei.pharm.whu.com.  IN    A    249.153.50.99
tlbcykpw.pharm.whu.com.  IN    A    210.47.60.110
uebvgrdj.pharm.whu.com.  IN    A    107.100.141.126
xwskqugb.pharm.whu.com.  IN    A    251.230.133.144
nlypbogh.pharm.whu.com.  IN    A    48.187.61.20
pvbudesf.pharm.whu.com.  IN    A    214.65.222.147
uoacngvd.pharm.whu.com.  IN    A    139.169.170.214
ogqjrcub.pharm.whu.com.  IN    A    33.3.46.137
txvafbmk.pharm.whu.com.  IN    A    25.183.87.255
yfintqlx.pharm.whu.com.  IN    A    21.196.157.114
sqcjxpbn.pharm.whu.com.  IN    A    172.132.138.98
glswoaeu.pharm.whu.com.  IN    A    141.245.241.61
jamwxpke.pharm.whu.com.  IN    A    182.130.10.248
iesyqpwl.pharm.whu.com.  IN    A    39.77.176.245
xopwrqts.pharm.whu.com.  IN    A    240.14.236.196
awdpxseo.pharm.whu.com.  IN    A    218.26.24.205
grebdjqp.pharm.whu.com.  IN    A    234.153.188.13
ahitrnek.pharm.whu.com.  IN    A    219.80.69.76
npvrcltx.pharm.whu.com.  IN    A    200.242.206.147
dwvrlpcs.pharm.whu.com.  IN    A    176.0.210.148
bokuiejv.pharm.whu.com.  IN    A    201.68.70.36
jtmkvdsa.pharm.whu.com.  IN    A    96.17.198.20
qxkrbudv.pharm.whu.com.  IN    A    89.148.28.40
xsklwecn.pharm.whu.com.  IN    A    6.208.67.94
ugxcdoav.pharm.whu.com.  IN    A    155.252.2.21
xdjtwavl.pharm.whu.com.  IN    A    241.235.169.87
pqhydtkb.pharm.whu.com.  IN    A    166.85.246.108
gxumeswa.pharm.whu.com.  IN    A    139.148.219.23
elbkrump.pharm.whu.com.  IN    A    14.147.117.56
hwoprjeq.pharm.whu.com.  IN    A    209.244.233.110
ntypdkvm.pharm.whu.com.  IN    A    112.134.146.164
fxseuvkh.pharm.whu.com.  IN    A    13.166.51.240
hfmiowpl.pharm.whu.com.  IN    A    164.67.79.109
kgqwairm.pharm.whu.com.  IN    A    167.78.71.117
paduqhvb.pharm.whu.com.  IN    A    58.90.179.128
nwbxcvfk.pharm.whu.com.  IN    A    17.3.27.198
jatepqgs.pharm.whu.com.  IN    A    22.13.20.148
xetfloyc.pharm.whu.com.  IN    A    112.59.154.19
sovfitrw.pharm.whu.com.  IN    A    11.75.178.170
qlsrfyew.pharm.whu.com.  IN    A    51.133.86.204
wyedbqan.pharm.whu.com.  IN    A    236.33.16.196
qsefugha.pharm.whu.com.  IN    A    238.103.34.127
uorlvayk.pharm.whu.com.  IN    A    126.74.73.229
uikcwmps.pharm.whu.com.  IN    A    16.132.46.168
ahvecsdx.pharm.whu.com.  IN    A    85.0.181.202
xopebyfd.pharm.whu.com.  IN    A    52.86.90.193
jitonbfa.pharm.whu.com.  IN    A    44.142.79.7
mworjhsl.pharm.whu.com.  IN    A    15.78.170.227
vloxcjid.pharm.whu.com.  IN    A    35.5.172.137
dpwhjvgk.pharm.whu.com.  IN    A    115.102.132.186
oygsdilk.pharm.whu.com.  IN    A    120.230.164.7
sidwyvlf.pharm.whu.com.  IN    A    58.0.137.218
rxfnqcek.pharm.whu.com.  IN    A    113.49.175.98
ngysrkex.pharm.whu.com.  IN    A    33.2.18.45
rspqtlhm.pharm.whu.com.  IN    A    26.235.115.98
osnqjhli.pharm.whu.com.  IN    A    168.237.68.23
ljvkgcsd.pharm.whu.com.  IN    A    47.56.181.207
oswxfrcb.pharm.whu.com.  IN    A    205.119.38.14
jelowmka.pharm.whu.com.  IN    A    129.126.253.108
yiotwxqs.pharm.whu.com.  IN    A    170.53.206.21
gawuyift.pharm.whu.com.  IN    A    8.251.137.63
eysxlqma.pharm.whu.com.  IN    A    67.36.203.249
nqofijmh.pharm.whu.com.  IN    A    135.114.225.129
ofusrale.pharm.whu.com.  IN    A    4.95.208.155
lipsukvd.pharm.whu.com.  IN    A    242.234.1.78
goqlbywn.pharm.whu.com.  IN    A    186.149.140.11
hoxcmrid.pharm.whu.com.  IN    A    41.209.174.131
jkcrtqoa.pharm.whu.com.  IN    A    43.4.57.216
ovdnyqmi.pharm.whu.com.  IN    A    210.96.219.251
oulkdamt.pharm.whu.com.  IN    A    217.125.213.73
qegvwaio.pharm.whu.com.  IN    A    178.46.172.117
huxsbpme.pharm.whu.com.  IN    A    66.45.162.160
tipwkaxn.pharm.whu.com.  IN    A    155.218.171.238
facoqltn.pharm.whu.com.  IN    A    37.180.13.205
lqkvofxd.pharm.whu.com.  IN    A    5.0.143.2
anbkviwq.pharm.whu.com.  IN    A    103.196.216.61
eascdgyi.pharm.whu.com.  IN    A    251.93.142.64
dcpgxeqa.pharm.whu.com.  IN    A    107.107.185.142
bpxiyrlo.pharm.whu.com.  IN    A    210.208.152.185
hlvicnuk.pharm.whu.com.  IN    A    209.18.112.153
hspwljad.pharm.whu.com.  IN    A    94.27.211.43
dujafcqe.pharm.whu.com.  IN    A    217.34.10.244
deixluay.pharm.whu.com.  IN    A    157.87.153.74
jefmriod.pharm.whu.com.  IN    A    236.76.73.156
lhxvfoub.pharm.whu.com.  IN    A    237.124.51.216
wgtuslfy.pharm.whu.com.  IN    A    59.24.53.113
sewivutk.pharm.whu.com.  IN    A    29.157.246.41
aqpivrew.pharm.whu.com.  IN    A    49.236.42.18
vrgwqxoh.pharm.whu.com.  IN    A    19.168.125.215
idrybovc.pharm.whu.com.  IN    A    169.135.94.23
lkxvfnwd.pharm.whu.com.  IN    A    202.192.247.175
gsnpvube.pharm.whu.com.  IN    A    52.189.189.39
kfxnypac.pharm.whu.com.  IN    A    190.155.70.249
yrniehaj.pharm.whu.com.  IN    A    37.145.29.10
nuefmcqp.pharm.whu.com.  IN    A    177.34.146.120
agpimhyb.pharm.whu.com.  IN    A    8.136.125.205
fmiwnhvy.pharm.whu.com.  IN    A    96.202.243.53
xysrgtin.pharm.whu.com.  IN    A    248.197.6.208
rhgfyebd.pharm.whu.com.  IN    A    4.140.131.69
mvagdluj.pharm.whu.com.  IN    A    211.114.149.67
ftpavnhi.pharm.whu.com.  IN    A    195.108.118.43
gkcjnrvu.pharm.whu.com.  IN    A    200.114.2.59
eomabxjd.pharm.whu.com.  IN    A    28.233.151.140
wlvimsgy.pharm.whu.com.  IN    A    94.106.99.252
rhcmbvgy.pharm.whu.com.  IN    A    81.225.36.51
slqgenur.pharm.whu.com.  IN    A    71.222.225.105
njhauilm.pharm.whu.com.  IN    A    251.161.121.103
riwsetkd.pharm.whu.com.  IN    A    85.158.165.229
utfxabcm.pharm.whu.com.  IN    A    17.226.190.25
ilesaguh.pharm.whu.com.  IN    A    8.1.36.240
vucysowq.pharm.whu.com.  IN    A    175.211.227.85
cxdbasht.pharm.whu.com.  IN    A    222.12.68.252
woitqcar.pharm.whu.com.  IN    A    185.31.196.245
majtrgbn.pharm.whu.com.  IN    A    70.145.88.116
wfcmpxks.pharm.whu.com.  IN    A    89.162.36.84
ghskvjic.pharm.whu.com.  IN    A    245.175.14.209
jwchgilk.pharm.whu.com.  IN    A    132.55.129.139
uerijabh.pharm.whu.com.  IN    A    166.166.91.212
tncdwqfy.pharm.whu.com.  IN    A    166.133.67.127
civroksx.pharm.whu.com.  IN    A    146.41.190.170
frubjvdt.pharm.whu.com.  IN    A    83.38.58.189
eudqovlj.pharm.whu.com.  IN    A    46.33.233.154
suyimtgo.pharm.whu.com.  IN    A    61.180.91.120
ksebnuxt.pharm.whu.com.  IN    A    194.72.119.109
xpowhqlt.pharm.whu.com.  IN    A    34.137.85.109
mxlkranp.pharm.whu.com.  IN    A    136.102.115.198
jyegcawq.pharm.whu.com.  IN    A    255.33.156.217
ogvtxajp.pharm.whu.com.  IN    A    115.67.120.118
vlreasuo.pharm.whu.com.  IN    A    101.67.202.49
qisprmel.pharm.whu.com.  IN    A    173.114.21.104
drlxunhy.pharm.whu.com.  IN    A    47.29.72.75
ashlvycg.pharm.whu.com.  IN    A    117.210.167.100
qvlmkwbe.pharm.whu.com.  IN    A    158.241.55.213
jmpoucen.pharm.whu.com.  IN    A    52.106.14.7
bsankyfu.pharm.whu.com.  IN    A    117.41.91.80
gwdbxytj.pharm.whu.com.  IN    A    190.62.165.13
vlkycoap.pharm.whu.com.  IN    A    42.141.54.245
oclgbiwm.pharm.whu.com.  IN    A    233.231.109.146
aecmnrju.pharm.whu.com.  IN    A    64.47.186.197
meogcwtq.pharm.whu.com.  IN    A    26.126.184.178
lmredqoy.pharm.whu.com.  IN    A    207.76.22.209
wbosljpr.pharm.whu.com.  IN    A    164.166.145.119
pxadbyow.pharm.whu.com.  IN    A    96.47.162.24
ayvjemsf.pharm.whu.com.  IN    A    126.82.170.242
vetafiwm.pharm.whu.com.  IN    A    1.214.222.237
chaqbnks.pharm.whu.com.  IN    A    142.218.93.88
yemknilx.pharm.whu.com.  IN    A    26.153.150.248
lctwnamq.pharm.whu.com.  IN    A    20.56.224.211
fuykohbm.pharm.whu.com.  IN    A    119.179.36.5
yrkfbowc.pharm.whu.com.  IN    A    34.150.22.227
lyrnvtgb.pharm.whu.com.  IN    A    209.219.22.97
dgeobrmx.pharm.whu.com.  IN    A    36.236.173.16
owiphvqu.pharm.whu.com.  IN    A    73.196.31.247
oasucqgr.pharm.whu.com.  IN    A    13.193.137.228
jmaqihkb.pharm.whu.com.  IN    A    204.140.29.51
hpealtbo.pharm.whu.com.  IN    A    152.122.250.75
uqvapeic.pharm.whu.com.  IN    A    113.104.217.94
qyxbltme.pharm.whu.com.  IN    A    222.76.112.239
roywjcim.pharm.whu.com.  IN    A    135.120.83.0
aylhbdtv.pharm.whu.com.  IN    A    43.150.129.74
taupjkvy.pharm.whu.com.  IN    A    232.16.171.95
omrpkyas.pharm.whu.com.  IN    A    167.30.154.113
wamcvdtp.pharm.whu.com.  IN    A    81.46.142.175
fdvbglwt.pharm.whu.com.  IN    A    132.173.198.255
yguopacl.pharm.whu.com.  IN    A    239.152.192.150
qtosghbu.pharm.whu.com.  IN    A    195.255.255.107
uxcrsgmh.pharm.whu.com.  IN    A    111.236.101.98
pismghla.pharm.whu.com.  IN    A    223.209.179.150
rsfjbkeq.pharm.whu.com.  IN    A    8.234.234.245
akljowcn.pharm.whu.com.  IN    A    127.139.3.182
jaugwice.pharm.whu.com.  IN    A    152.165.52.194
ylukpqsn.pharm.whu.com.  IN    A    217.87.250.74
rmsqebhk.pharm.whu.com.  IN    A    9.54.221.244
vgdprhsj.pharm.whu.com.  IN    A    222.208.195.147
ptvegrwl.pharm.whu.com.  IN    A    226.130.137.208
kmqrhlip.pharm.whu.com.  IN    A    46.164.105.53
whalsqpy.pharm.whu.com.  IN    A    207.231.199.187
lawdymse.pharm.whu.com.  IN    A    253.68.76.88
bvkphmxj.pharm.whu.com.  IN    A    114.123.219.11
inkrxjda.pharm.whu.com.  IN    A    100.242.0.68
racemgtx.pharm.whu.com.  IN    A    254.243.223.212
sakybmfl.pharm.whu.com.  IN    A    25.112.149.138
xlukghwt.pharm.whu.com.  IN    A    154.115.9.37
yeowjdnr.pharm.whu.com.  IN    A    75.210.33.129
rnmaqgux.pharm.whu.com.  IN    A    225.0.21.175
eqkaofyc.pharm.whu.com.  IN    A    160.159.33.90
kevhdijr.pharm.whu.com.  IN    A    233.128.236.34
jgechvsd.pharm.whu.com.  IN    A    147.72.162.7
ksdnpayg.pharm.whu.com.  IN    A    251.20.191.198
kixcvuap.pharm.whu.com.  IN    A    255.167.91.156
cexkwqma.pharm.whu.com.  IN    A    73.115.117.59
knbcyfes.pharm.whu.com.  IN    A    182.6.6.142
kfyblwux.pharm.whu.com.  IN    A    48.180.143.33
gkclsrny.pharm.whu.com.  IN    A    69.180.66.51
fyjblxap.pharm.whu.com.  IN    A    228.108.79.104
