sm.xmu.com.	14400	IN	SOA	ns1.sm.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
sm.xmu.com.		    IN	NS ns1.sm.xmu.com.
ns1.sm.xmu.com.	    IN	A	10.166.21.15

sm.xmu.com.		    IN	A	6.6.6.6

kptobyxg.sm.xmu.com.     IN    A    122.98.102.80
upsokxdg.sm.xmu.com.     IN    A    9.206.157.59
mnxgrwco.sm.xmu.com.     IN    A    177.186.32.76
lxsupcwg.sm.xmu.com.     IN    A    216.87.11.210
pveicrdk.sm.xmu.com.     IN    A    40.107.94.238
vwsolkfd.sm.xmu.com.     IN    A    186.78.230.29
lokrdbtn.sm.xmu.com.     IN    A    114.177.224.19
nsfckqyx.sm.xmu.com.     IN    A    187.138.184.52
bemirlkc.sm.xmu.com.     IN    A    146.250.250.202
rmxcvlyk.sm.xmu.com.     IN    A    248.100.35.245
shakpujg.sm.xmu.com.     IN    A    36.212.187.14
yqunigla.sm.xmu.com.     IN    A    223.131.133.185
vougqcpm.sm.xmu.com.     IN    A    24.75.84.186
nslochxu.sm.xmu.com.     IN    A    208.196.100.142
wnrmjghk.sm.xmu.com.     IN    A    216.17.0.178
kwuqsjof.sm.xmu.com.     IN    A    221.5.186.141
mruhafdt.sm.xmu.com.     IN    A    117.207.99.107
fwvgickq.sm.xmu.com.     IN    A    75.124.245.208
fitjexys.sm.xmu.com.     IN    A    0.157.122.177
omspdvet.sm.xmu.com.     IN    A    132.192.71.70
rtkvahdw.sm.xmu.com.     IN    A    209.217.150.246
aulgxecs.sm.xmu.com.     IN    A    248.156.196.103
efqnvkgw.sm.xmu.com.     IN    A    155.22.214.71
mlexyiua.sm.xmu.com.     IN    A    240.234.218.123
mpwslvbc.sm.xmu.com.     IN    A    108.82.60.35
ygjstrak.sm.xmu.com.     IN    A    162.243.18.222
ekyxjmli.sm.xmu.com.     IN    A    143.72.85.137
khqvpcyu.sm.xmu.com.     IN    A    99.109.74.245
dfrpqxlb.sm.xmu.com.     IN    A    162.243.75.78
wnhokpeb.sm.xmu.com.     IN    A    146.236.197.28
xyjqoaug.sm.xmu.com.     IN    A    130.199.22.46
djeqflhn.sm.xmu.com.     IN    A    161.187.66.88
iyswvlug.sm.xmu.com.     IN    A    130.163.71.7
shmitabo.sm.xmu.com.     IN    A    22.99.153.39
tqplaocn.sm.xmu.com.     IN    A    230.178.98.97
wqlpmagr.sm.xmu.com.     IN    A    85.54.50.8
qlorjhgc.sm.xmu.com.     IN    A    74.32.1.13
rpvgkhua.sm.xmu.com.     IN    A    144.201.248.140
vkgbiqxf.sm.xmu.com.     IN    A    94.195.166.175
yerigcsm.sm.xmu.com.     IN    A    150.165.192.123
krswntov.sm.xmu.com.     IN    A    3.90.103.233
elcadfmb.sm.xmu.com.     IN    A    192.16.227.182
dnwlghvx.sm.xmu.com.     IN    A    110.75.175.28
relwjadc.sm.xmu.com.     IN    A    55.38.29.194
sderkxgl.sm.xmu.com.     IN    A    92.166.200.108
fuyiasdl.sm.xmu.com.     IN    A    78.224.169.140
lrcfktsd.sm.xmu.com.     IN    A    240.185.179.69
owurdjxf.sm.xmu.com.     IN    A    236.225.21.124
hnrsqeic.sm.xmu.com.     IN    A    123.162.89.140
bjxiwdna.sm.xmu.com.     IN    A    88.244.149.73
aoiypcxs.sm.xmu.com.     IN    A    9.96.0.159
dbuptalc.sm.xmu.com.     IN    A    140.184.158.122
vwblgoty.sm.xmu.com.     IN    A    136.127.99.13
nmrbecdk.sm.xmu.com.     IN    A    123.154.43.10
msoefbqd.sm.xmu.com.     IN    A    65.168.243.76
glmedbov.sm.xmu.com.     IN    A    113.185.105.227
ndosaypl.sm.xmu.com.     IN    A    231.231.162.25
dtogmuqn.sm.xmu.com.     IN    A    157.13.203.247
avjtfydl.sm.xmu.com.     IN    A    194.229.95.5
bsmtdoke.sm.xmu.com.     IN    A    143.145.216.81
stahbwmo.sm.xmu.com.     IN    A    129.209.147.38
rsmcxwyg.sm.xmu.com.     IN    A    246.80.142.28
qdwlnmix.sm.xmu.com.     IN    A    115.192.21.123
hxvsuorl.sm.xmu.com.     IN    A    158.73.182.36
arwjqhtu.sm.xmu.com.     IN    A    39.27.7.176
uoijyflc.sm.xmu.com.     IN    A    55.94.248.83
rkfpbmge.sm.xmu.com.     IN    A    159.155.174.3
gecndktl.sm.xmu.com.     IN    A    100.64.72.197
wfvmjsah.sm.xmu.com.     IN    A    145.14.222.118
tybrghpa.sm.xmu.com.     IN    A    63.186.217.214
hdyxirjt.sm.xmu.com.     IN    A    192.240.204.18
vxcjekns.sm.xmu.com.     IN    A    157.135.179.245
hypeawdm.sm.xmu.com.     IN    A    26.254.13.230
irsogwyx.sm.xmu.com.     IN    A    161.126.145.130
fvsejakr.sm.xmu.com.     IN    A    225.30.238.180
bxefsmqg.sm.xmu.com.     IN    A    31.137.90.107
igrxtosm.sm.xmu.com.     IN    A    79.69.11.101
hedyasxj.sm.xmu.com.     IN    A    59.54.139.48
mheusnwa.sm.xmu.com.     IN    A    28.12.135.235
evolwfsb.sm.xmu.com.     IN    A    87.63.231.170
iyqpslno.sm.xmu.com.     IN    A    59.229.108.144
omrvxcup.sm.xmu.com.     IN    A    135.18.215.249
bspviglm.sm.xmu.com.     IN    A    102.50.233.32
ydpboskx.sm.xmu.com.     IN    A    144.180.245.180
gtpdacmy.sm.xmu.com.     IN    A    3.12.57.188
kvgsjhdf.sm.xmu.com.     IN    A    131.255.226.102
pxnjbgod.sm.xmu.com.     IN    A    0.24.86.140
cubtafks.sm.xmu.com.     IN    A    45.26.224.173
rlgomsek.sm.xmu.com.     IN    A    113.96.1.109
cyewrptq.sm.xmu.com.     IN    A    35.221.176.161
dwoycfsp.sm.xmu.com.     IN    A    3.62.94.129
mackhbrw.sm.xmu.com.     IN    A    126.187.91.228
maxwysck.sm.xmu.com.     IN    A    30.46.134.243
oskrxdug.sm.xmu.com.     IN    A    169.18.119.123
mgcaienj.sm.xmu.com.     IN    A    172.209.231.18
cwgqmria.sm.xmu.com.     IN    A    68.54.45.35
mkfvxogj.sm.xmu.com.     IN    A    194.34.86.228
ginptsfd.sm.xmu.com.     IN    A    94.107.238.27
uwrsdlcb.sm.xmu.com.     IN    A    255.168.113.66
olbeskun.sm.xmu.com.     IN    A    141.10.117.78
uvkiyagp.sm.xmu.com.     IN    A    17.109.234.115
vwisaqnm.sm.xmu.com.     IN    A    239.208.175.6
uekcjfgr.sm.xmu.com.     IN    A    6.243.205.213
njbiydxp.sm.xmu.com.     IN    A    88.48.239.152
jtrupfmd.sm.xmu.com.     IN    A    76.74.227.135
bioyewmv.sm.xmu.com.     IN    A    44.0.83.49
pamnlcdk.sm.xmu.com.     IN    A    3.229.176.34
xevtkshc.sm.xmu.com.     IN    A    11.160.239.210
ivtgaxfs.sm.xmu.com.     IN    A    65.40.51.67
rwjkvxde.sm.xmu.com.     IN    A    173.129.13.32
bypvfaxd.sm.xmu.com.     IN    A    143.219.104.109
rkpmeqxs.sm.xmu.com.     IN    A    212.45.252.182
dqfhynik.sm.xmu.com.     IN    A    143.208.236.0
wpdqagxo.sm.xmu.com.     IN    A    171.148.43.112
fygjnoke.sm.xmu.com.     IN    A    18.201.74.172
ybmqkerc.sm.xmu.com.     IN    A    6.236.25.135
qynplcjw.sm.xmu.com.     IN    A    249.233.138.207
bkrfhusn.sm.xmu.com.     IN    A    148.222.151.161
uvowtbsc.sm.xmu.com.     IN    A    233.236.79.32
hkegtpju.sm.xmu.com.     IN    A    208.65.181.157
jrfetvqb.sm.xmu.com.     IN    A    233.188.14.160
gudwlbvs.sm.xmu.com.     IN    A    212.53.136.61
vjfdpskc.sm.xmu.com.     IN    A    154.170.88.41
xhjguqdt.sm.xmu.com.     IN    A    58.81.209.163
uahmrbit.sm.xmu.com.     IN    A    45.123.199.252
khxsqtom.sm.xmu.com.     IN    A    253.5.95.15
ovbyxtgj.sm.xmu.com.     IN    A    85.252.73.75
pgsnfauo.sm.xmu.com.     IN    A    6.187.237.138
ptyhsxfw.sm.xmu.com.     IN    A    138.17.12.63
hflignry.sm.xmu.com.     IN    A    32.191.18.173
chpkaivu.sm.xmu.com.     IN    A    32.12.77.251
ajfkpwyd.sm.xmu.com.     IN    A    40.75.133.186
dvifaykr.sm.xmu.com.     IN    A    174.1.193.25
yketwsma.sm.xmu.com.     IN    A    153.61.251.71
uafsytmb.sm.xmu.com.     IN    A    67.115.116.120
nwxvhlmr.sm.xmu.com.     IN    A    227.17.255.11
lcgmvqxu.sm.xmu.com.     IN    A    118.5.24.183
tcjhkwls.sm.xmu.com.     IN    A    48.227.90.117
fdmvyagt.sm.xmu.com.     IN    A    184.171.145.248
clpkvuao.sm.xmu.com.     IN    A    88.105.121.157
vwpcjien.sm.xmu.com.     IN    A    253.111.118.168
tjxfequr.sm.xmu.com.     IN    A    46.237.202.110
jbqtehvk.sm.xmu.com.     IN    A    148.59.178.149
dnxwascy.sm.xmu.com.     IN    A    3.249.70.195
ktgsxivm.sm.xmu.com.     IN    A    61.3.220.127
idlmvkph.sm.xmu.com.     IN    A    87.97.135.21
qpdbixnt.sm.xmu.com.     IN    A    159.28.76.152
ljapvorm.sm.xmu.com.     IN    A    177.189.228.54
eoydfamu.sm.xmu.com.     IN    A    213.161.76.95
dtngsmby.sm.xmu.com.     IN    A    30.190.204.142
crbvkgun.sm.xmu.com.     IN    A    224.85.154.161
jkrsmqhf.sm.xmu.com.     IN    A    65.103.162.95
jmnspxfc.sm.xmu.com.     IN    A    127.0.26.213
bvmufkoa.sm.xmu.com.     IN    A    110.116.45.64
hnqvalcg.sm.xmu.com.     IN    A    25.116.106.117
wogltxnh.sm.xmu.com.     IN    A    209.220.124.83
wjydfhse.sm.xmu.com.     IN    A    46.62.121.155
ikprecnv.sm.xmu.com.     IN    A    52.168.150.37
ihcdmvpu.sm.xmu.com.     IN    A    192.31.227.128
tkglcdfn.sm.xmu.com.     IN    A    158.95.49.48
jlngrmsy.sm.xmu.com.     IN    A    129.148.238.86
oqfwvbju.sm.xmu.com.     IN    A    113.55.98.164
xluaogtw.sm.xmu.com.     IN    A    70.152.171.8
nukoqgiw.sm.xmu.com.     IN    A    140.91.126.102
bfjmntws.sm.xmu.com.     IN    A    51.13.66.202
xauqyifb.sm.xmu.com.     IN    A    10.219.119.47
wtnombid.sm.xmu.com.     IN    A    34.182.72.64
wgqirbph.sm.xmu.com.     IN    A    88.80.172.36
ijnkyawg.sm.xmu.com.     IN    A    223.223.237.53
okdvauih.sm.xmu.com.     IN    A    36.123.100.88
ijwvbfas.sm.xmu.com.     IN    A    2.64.80.99
xwsfkyrn.sm.xmu.com.     IN    A    159.238.234.218
wlxbnytu.sm.xmu.com.     IN    A    230.25.166.231
ivjtbonc.sm.xmu.com.     IN    A    33.87.71.13
ogpjvrkc.sm.xmu.com.     IN    A    170.204.234.139
ojcurmkn.sm.xmu.com.     IN    A    139.60.134.221
kxdestqp.sm.xmu.com.     IN    A    55.55.114.160
stnwkmib.sm.xmu.com.     IN    A    42.254.22.75
hypflecw.sm.xmu.com.     IN    A    208.78.194.172
duojsfmi.sm.xmu.com.     IN    A    233.216.198.172
cpduoeyt.sm.xmu.com.     IN    A    206.226.145.88
vgtwoaqi.sm.xmu.com.     IN    A    21.14.29.135
pehcwxil.sm.xmu.com.     IN    A    126.209.173.181
bskravty.sm.xmu.com.     IN    A    127.206.32.213
dcjibyqh.sm.xmu.com.     IN    A    13.155.136.252
exdmyrbo.sm.xmu.com.     IN    A    230.158.132.143
mcpwivrt.sm.xmu.com.     IN    A    246.49.246.171
iewtoxka.sm.xmu.com.     IN    A    218.97.203.63
dafwjsve.sm.xmu.com.     IN    A    37.0.234.14
kcgeuhpq.sm.xmu.com.     IN    A    43.20.77.68
tkwdircf.sm.xmu.com.     IN    A    85.52.157.183
rmuwiacn.sm.xmu.com.     IN    A    175.119.226.160
dqblasye.sm.xmu.com.     IN    A    159.60.200.146
qhbngwjf.sm.xmu.com.     IN    A    39.7.221.137
yjehvpxa.sm.xmu.com.     IN    A    117.8.162.7
hvqpdgob.sm.xmu.com.     IN    A    145.12.239.144
egadmski.sm.xmu.com.     IN    A    206.240.48.184
fjukchsg.sm.xmu.com.     IN    A    18.108.204.100
otmijbsx.sm.xmu.com.     IN    A    244.221.40.98
diglkmfh.sm.xmu.com.     IN    A    186.228.181.131
xmtvkygc.sm.xmu.com.     IN    A    168.110.179.161
kesoafun.sm.xmu.com.     IN    A    172.200.238.111
rphbayit.sm.xmu.com.     IN    A    208.123.65.112
cpohalfs.sm.xmu.com.     IN    A    121.71.9.139
tbdkpvsr.sm.xmu.com.     IN    A    217.49.188.125
nhoaecxy.sm.xmu.com.     IN    A    218.88.178.105
