; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR cqu.com. @ns2.cqu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cqu.com.			      14400 IN NS	ns1.cqu.com.
ns1.cqu.com.			      14400 IN A	10.166.21.15

www.cqu.com.		      14400 IN NS	ns1.www.cqu.com.
ns1.www.cqu.com.		      14400 IN A		10.166.21.12

sci.cqu.com.		      14400 IN NS	ns1.sci.cqu.com.
ns1.sci.cqu.com.		      14400 IN A		10.166.21.13

cse.cqu.com.		      14400 IN NS	ns1.cse.cqu.com.
ns1.cse.cqu.com.		      14400 IN A		10.166.21.14

cqu.com.			      14400 IN MX	10 csetp.cqu.edu.
cqu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
kurotlqf.cqu.com.        IN    A    127.218.160.253
paxiksbv.cqu.com.        IN    A    51.251.136.68
vionapbj.cqu.com.        IN    A    84.48.144.63
hyludicm.cqu.com.        IN    A    90.27.128.63
sefqximd.cqu.com.        IN    A    135.101.125.97
tujvqdca.cqu.com.        IN    A    84.138.188.89
fewcovdn.cqu.com.        IN    A    226.201.70.13
pqlkuwgr.cqu.com.        IN    A    227.242.120.115
tfpaxybg.cqu.com.        IN    A    27.102.118.70
ecdkiqav.cqu.com.        IN    A    90.112.1.140
kucxanbr.cqu.com.        IN    A    34.33.176.30
qjvfwksl.cqu.com.        IN    A    76.147.170.235
hmqjepav.cqu.com.        IN    A    83.18.136.69
intrejmk.cqu.com.        IN    A    40.25.212.88
eryufmaw.cqu.com.        IN    A    240.161.207.19
jdsingao.cqu.com.        IN    A    187.227.42.14
jvtdmeoi.cqu.com.        IN    A    183.215.54.174
hkitcjbu.cqu.com.        IN    A    156.219.244.104
bgpcrmus.cqu.com.        IN    A    231.52.60.125
idwqhvlb.cqu.com.        IN    A    166.183.132.101
vofqxpim.cqu.com.        IN    A    47.234.218.97
ucberfld.cqu.com.        IN    A    36.117.162.248
vlahfopq.cqu.com.        IN    A    27.75.173.101
jbhidrce.cqu.com.        IN    A    12.238.197.202
lukfxayg.cqu.com.        IN    A    247.56.200.120
xfeuwdlm.cqu.com.        IN    A    35.127.169.33
kiygsamv.cqu.com.        IN    A    18.31.165.174
kbnltpjh.cqu.com.        IN    A    168.183.13.45
qfmaxpls.cqu.com.        IN    A    236.245.172.190
