hyxt.whu.com.	14400	IN	SOA	ns1.hyxt.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
hyxt.whu.com.		    IN	NS ns1.hyxt.whu.com.
ns1.hyxt.whu.com.	    IN	A	10.166.21.12

hyxt.whu.com.		    IN	A	6.6.6.6

envyxhkq.hyxt.whu.com.   IN    A    243.132.231.65
gxuwefmr.hyxt.whu.com.   IN    A    106.87.123.217
sfrknywv.hyxt.whu.com.   IN    A    155.167.185.252
xusfblpi.hyxt.whu.com.   IN    A    106.190.53.110
uhskdoei.hyxt.whu.com.   IN    A    162.220.169.233
bleudfvm.hyxt.whu.com.   IN    A    127.14.68.134
inuhfjyq.hyxt.whu.com.   IN    A    171.174.210.219
irdegvlj.hyxt.whu.com.   IN    A    8.254.97.134
rmwbtoks.hyxt.whu.com.   IN    A    156.105.182.199
mducltip.hyxt.whu.com.   IN    A    98.200.207.155
dxshlrcb.hyxt.whu.com.   IN    A    214.88.166.113
vyfgcwem.hyxt.whu.com.   IN    A    143.1.195.91
pgivkbjo.hyxt.whu.com.   IN    A    206.226.35.96
srxevqud.hyxt.whu.com.   IN    A    100.31.121.192
fkmsaxnc.hyxt.whu.com.   IN    A    167.213.153.27
opyreiqm.hyxt.whu.com.   IN    A    29.22.198.88
rypkqalo.hyxt.whu.com.   IN    A    205.213.48.141
hknpmywv.hyxt.whu.com.   IN    A    190.189.224.154
oatqifkn.hyxt.whu.com.   IN    A    115.82.124.176
haktfuer.hyxt.whu.com.   IN    A    89.55.97.143
fhueamvt.hyxt.whu.com.   IN    A    242.157.131.197
qrtcopjh.hyxt.whu.com.   IN    A    35.153.34.229
hraclofe.hyxt.whu.com.   IN    A    121.75.112.194
tqaxseyk.hyxt.whu.com.   IN    A    19.89.2.228
quxfcjrd.hyxt.whu.com.   IN    A    74.15.87.38
wynpicxb.hyxt.whu.com.   IN    A    124.44.220.245
yhroqjgc.hyxt.whu.com.   IN    A    176.44.187.28
orydxmit.hyxt.whu.com.   IN    A    128.121.243.251
ufqvbgmx.hyxt.whu.com.   IN    A    8.113.254.129
tvipqjwc.hyxt.whu.com.   IN    A    91.153.168.178
hprdiyfj.hyxt.whu.com.   IN    A    209.152.50.111
oxwbcphj.hyxt.whu.com.   IN    A    109.17.156.23
heqjlmfr.hyxt.whu.com.   IN    A    36.58.83.7
nmxsvdpl.hyxt.whu.com.   IN    A    195.71.248.155
frcvlsuy.hyxt.whu.com.   IN    A    57.148.92.143
fmpjikws.hyxt.whu.com.   IN    A    73.225.74.208
tgmelyjf.hyxt.whu.com.   IN    A    31.218.236.215
mdhgytar.hyxt.whu.com.   IN    A    84.116.180.210
kdcgsble.hyxt.whu.com.   IN    A    214.120.106.177
msdwxhjl.hyxt.whu.com.   IN    A    219.126.58.183
ybdctpla.hyxt.whu.com.   IN    A    223.189.253.5
axsupeyc.hyxt.whu.com.   IN    A    58.90.239.80
jewafpdh.hyxt.whu.com.   IN    A    104.47.167.74
vofpjciy.hyxt.whu.com.   IN    A    135.77.145.88
trxwpobe.hyxt.whu.com.   IN    A    208.90.38.130
ahkptxjf.hyxt.whu.com.   IN    A    148.152.191.173
xgfuaqcr.hyxt.whu.com.   IN    A    38.197.38.58
qtxvbkac.hyxt.whu.com.   IN    A    50.112.200.196
waxbhrmk.hyxt.whu.com.   IN    A    36.140.32.137
oiyfhksp.hyxt.whu.com.   IN    A    19.191.214.4
qowuxfdp.hyxt.whu.com.   IN    A    224.75.96.247
swpmcodv.hyxt.whu.com.   IN    A    62.220.42.8
xisveqkj.hyxt.whu.com.   IN    A    211.191.102.34
oxlfjebh.hyxt.whu.com.   IN    A    135.65.147.40
fgdtxqrj.hyxt.whu.com.   IN    A    119.231.162.219
uiklsbpt.hyxt.whu.com.   IN    A    215.121.139.248
xwgkamec.hyxt.whu.com.   IN    A    25.52.152.201
vgcthjei.hyxt.whu.com.   IN    A    232.156.29.243
wjobmcpr.hyxt.whu.com.   IN    A    214.230.128.227
gmealxdf.hyxt.whu.com.   IN    A    198.26.161.51
tdqhjyal.hyxt.whu.com.   IN    A    74.153.63.122
jomlfrch.hyxt.whu.com.   IN    A    156.203.145.144
bqdrevku.hyxt.whu.com.   IN    A    68.127.202.120
gslwutdh.hyxt.whu.com.   IN    A    109.253.187.149
dfjsapiv.hyxt.whu.com.   IN    A    113.214.43.223
jsykaiqp.hyxt.whu.com.   IN    A    147.63.231.15
mjkiytgs.hyxt.whu.com.   IN    A    127.88.56.101
gfmpeask.hyxt.whu.com.   IN    A    157.23.78.49
sqjifhtn.hyxt.whu.com.   IN    A    209.238.76.65
gpinxmlw.hyxt.whu.com.   IN    A    141.43.77.200
kurbthva.hyxt.whu.com.   IN    A    132.89.248.222
wbgimkul.hyxt.whu.com.   IN    A    42.223.99.227
fnprwlak.hyxt.whu.com.   IN    A    123.221.55.166
mkopehrc.hyxt.whu.com.   IN    A    37.25.149.157
bsnrixqu.hyxt.whu.com.   IN    A    37.23.246.157
thvpkybr.hyxt.whu.com.   IN    A    116.249.181.1
pelfdqtb.hyxt.whu.com.   IN    A    2.196.35.153
yxsmtioq.hyxt.whu.com.   IN    A    62.123.198.76
oyinuxkg.hyxt.whu.com.   IN    A    7.87.186.166
xvbwcgde.hyxt.whu.com.   IN    A    255.85.245.45
pejqabhm.hyxt.whu.com.   IN    A    113.187.8.203
gmfeaixo.hyxt.whu.com.   IN    A    194.134.117.82
qlvwoecn.hyxt.whu.com.   IN    A    153.59.60.111
rnogylfc.hyxt.whu.com.   IN    A    62.108.240.69
qdnrlahb.hyxt.whu.com.   IN    A    124.120.252.193
upagdmrt.hyxt.whu.com.   IN    A    65.202.178.138
reowscga.hyxt.whu.com.   IN    A    119.36.139.196
tqcbmeay.hyxt.whu.com.   IN    A    216.243.86.67
iahtoywq.hyxt.whu.com.   IN    A    212.97.20.102
idyxtbjo.hyxt.whu.com.   IN    A    178.128.97.29
fmcupyia.hyxt.whu.com.   IN    A    215.186.13.135
aiothyje.hyxt.whu.com.   IN    A    106.49.193.237
wmsvjnfp.hyxt.whu.com.   IN    A    96.86.200.89
fspruiwd.hyxt.whu.com.   IN    A    252.53.84.143
gwstocyi.hyxt.whu.com.   IN    A    209.160.153.150
pgvifyrs.hyxt.whu.com.   IN    A    207.53.159.102
olyhbrgn.hyxt.whu.com.   IN    A    48.175.204.35
pfnxviqr.hyxt.whu.com.   IN    A    63.148.171.198
xbdqkval.hyxt.whu.com.   IN    A    131.235.67.4
vsqiyojh.hyxt.whu.com.   IN    A    46.31.90.227
upqayknd.hyxt.whu.com.   IN    A    106.3.204.225
nxujsdmh.hyxt.whu.com.   IN    A    123.145.145.143
tsfoewmd.hyxt.whu.com.   IN    A    144.147.252.247
lnksdxyw.hyxt.whu.com.   IN    A    138.25.20.61
fcmekxda.hyxt.whu.com.   IN    A    0.213.52.121
bnrtousk.hyxt.whu.com.   IN    A    74.58.178.183
lxhyqfpj.hyxt.whu.com.   IN    A    168.104.22.77
obxrnuvw.hyxt.whu.com.   IN    A    252.95.148.248
ufoqdmiy.hyxt.whu.com.   IN    A    82.192.142.63
lnpbkyrt.hyxt.whu.com.   IN    A    3.65.230.164
hbaditql.hyxt.whu.com.   IN    A    147.94.17.46
vetfpkua.hyxt.whu.com.   IN    A    125.57.103.104
rmbkovjd.hyxt.whu.com.   IN    A    215.56.55.107
jovsdyxi.hyxt.whu.com.   IN    A    204.180.88.86
wyncsdhi.hyxt.whu.com.   IN    A    139.225.165.244
hacevjnf.hyxt.whu.com.   IN    A    219.46.170.117
sojhcvug.hyxt.whu.com.   IN    A    31.58.160.29
vargyolp.hyxt.whu.com.   IN    A    177.40.2.224
bgxpodtw.hyxt.whu.com.   IN    A    191.171.81.136
qjdvbxhk.hyxt.whu.com.   IN    A    177.99.189.221
enwdrslp.hyxt.whu.com.   IN    A    183.193.91.195
sqplnfjo.hyxt.whu.com.   IN    A    33.169.134.27
mahupjws.hyxt.whu.com.   IN    A    180.135.238.116
gjplavht.hyxt.whu.com.   IN    A    246.84.237.24
saypvlnj.hyxt.whu.com.   IN    A    109.140.183.23
tknxpsef.hyxt.whu.com.   IN    A    91.207.31.133
yndkjrhf.hyxt.whu.com.   IN    A    150.82.146.148
icrbjlwh.hyxt.whu.com.   IN    A    45.9.218.140
yjmoikaq.hyxt.whu.com.   IN    A    128.35.151.93
cmegbpkd.hyxt.whu.com.   IN    A    180.221.232.152
mbecnqdh.hyxt.whu.com.   IN    A    159.129.201.75
xayoqljd.hyxt.whu.com.   IN    A    28.78.12.212
efrbqwdm.hyxt.whu.com.   IN    A    89.36.43.74
gvtncehl.hyxt.whu.com.   IN    A    82.200.192.210
snjkobae.hyxt.whu.com.   IN    A    121.185.126.105
xpgrysmh.hyxt.whu.com.   IN    A    40.77.83.175
ldpvbxtc.hyxt.whu.com.   IN    A    170.66.105.180
fgdewauh.hyxt.whu.com.   IN    A    175.161.33.152
adpmjnkw.hyxt.whu.com.   IN    A    141.162.184.161
fqjculpv.hyxt.whu.com.   IN    A    34.7.221.54
xpmeqlco.hyxt.whu.com.   IN    A    51.247.246.81
nqvsldeu.hyxt.whu.com.   IN    A    250.76.70.153
ujpytxqg.hyxt.whu.com.   IN    A    64.211.159.151
esxwikcj.hyxt.whu.com.   IN    A    167.193.130.76
vejbqhdo.hyxt.whu.com.   IN    A    83.53.17.120
jsumbxre.hyxt.whu.com.   IN    A    228.100.142.188
hisbtwvr.hyxt.whu.com.   IN    A    67.236.85.6
nqsfeomx.hyxt.whu.com.   IN    A    112.50.204.117
nvhqxupd.hyxt.whu.com.   IN    A    197.54.156.36
nelskaxv.hyxt.whu.com.   IN    A    211.80.90.214
odxcsgnr.hyxt.whu.com.   IN    A    86.64.110.238
phabvmcj.hyxt.whu.com.   IN    A    84.154.29.44
oskailxw.hyxt.whu.com.   IN    A    1.68.36.97
urphdvey.hyxt.whu.com.   IN    A    175.210.93.121
lnfyphsd.hyxt.whu.com.   IN    A    34.212.111.21
urcxyidq.hyxt.whu.com.   IN    A    34.60.20.70
ecbpuoqr.hyxt.whu.com.   IN    A    131.21.65.238
axqpuhmc.hyxt.whu.com.   IN    A    216.31.41.117
aqxfmjie.hyxt.whu.com.   IN    A    34.154.220.108
erohvpkb.hyxt.whu.com.   IN    A    230.162.49.46
srxipqdu.hyxt.whu.com.   IN    A    8.72.41.96
ornfgjsk.hyxt.whu.com.   IN    A    222.115.188.115
vejaoqtx.hyxt.whu.com.   IN    A    254.143.106.30
idxtsjok.hyxt.whu.com.   IN    A    238.157.191.231
djthpknv.hyxt.whu.com.   IN    A    137.8.220.249
kmerdjhf.hyxt.whu.com.   IN    A    215.18.171.132
jknircug.hyxt.whu.com.   IN    A    44.94.121.111
etqrupmh.hyxt.whu.com.   IN    A    54.104.228.112
cyrbomah.hyxt.whu.com.   IN    A    117.79.165.97
vxidjcnh.hyxt.whu.com.   IN    A    99.211.72.191
cxmkiutg.hyxt.whu.com.   IN    A    96.240.64.115
cpajvedt.hyxt.whu.com.   IN    A    77.143.130.108
dexspywg.hyxt.whu.com.   IN    A    161.193.16.91
ywbqjlci.hyxt.whu.com.   IN    A    85.220.164.142
nxuqcpkt.hyxt.whu.com.   IN    A    31.139.28.153
crxnespm.hyxt.whu.com.   IN    A    54.47.147.120
kxqbgosd.hyxt.whu.com.   IN    A    165.64.67.10
qmsdncbf.hyxt.whu.com.   IN    A    198.149.210.200
nylruajh.hyxt.whu.com.   IN    A    84.31.109.227
gdfbewia.hyxt.whu.com.   IN    A    122.116.170.73
opnbivmg.hyxt.whu.com.   IN    A    218.207.141.90
aburkmco.hyxt.whu.com.   IN    A    55.158.242.53
oishawvm.hyxt.whu.com.   IN    A    10.233.160.213
fdhwokuy.hyxt.whu.com.   IN    A    38.66.105.139
dvwuaqir.hyxt.whu.com.   IN    A    16.48.43.136
cpysirxk.hyxt.whu.com.   IN    A    235.114.188.28
vqcejtpf.hyxt.whu.com.   IN    A    165.54.226.48
wjxhcobv.hyxt.whu.com.   IN    A    200.25.126.16
ckfnqtpx.hyxt.whu.com.   IN    A    55.114.196.161
gdlbejyf.hyxt.whu.com.   IN    A    176.172.96.52
qrchebut.hyxt.whu.com.   IN    A    159.6.201.125
inmsflxh.hyxt.whu.com.   IN    A    121.174.150.116
entphkly.hyxt.whu.com.   IN    A    10.122.176.149
qfkileva.hyxt.whu.com.   IN    A    55.194.136.96
sxwygiop.hyxt.whu.com.   IN    A    59.173.68.84
reldsink.hyxt.whu.com.   IN    A    15.254.126.128
kthfopeg.hyxt.whu.com.   IN    A    253.170.242.117
dtraqxcp.hyxt.whu.com.   IN    A    140.153.194.10
ofnjglha.hyxt.whu.com.   IN    A    223.106.235.31
herawkbq.hyxt.whu.com.   IN    A    97.44.18.94
ktacorpj.hyxt.whu.com.   IN    A    188.59.135.11
uxbiqrvt.hyxt.whu.com.   IN    A    19.166.14.228
wuaedrtm.hyxt.whu.com.   IN    A    213.58.65.123
cliahfty.hyxt.whu.com.   IN    A    18.133.246.1
fcyvdwtx.hyxt.whu.com.   IN    A    0.140.217.169
wofchbqa.hyxt.whu.com.   IN    A    194.245.252.167
wqolfbkx.hyxt.whu.com.   IN    A    42.63.126.101
pshvgdmj.hyxt.whu.com.   IN    A    225.213.241.184
qxwlkadh.hyxt.whu.com.   IN    A    179.160.245.241
