law.nju.com.	14400	IN	SOA	ns1.law.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
law.nju.com.		    IN	NS ns1.law.nju.com.
ns1.law.nju.com.	    IN	A	10.166.21.13

law.nju.com.		    IN	A	6.6.6.6

gyqihlbc.law.nju.com.    IN    A    213.72.34.26
ojanwhxg.law.nju.com.    IN    A    186.125.99.40
jtvebgxi.law.nju.com.    IN    A    121.250.152.89
scwyxbrh.law.nju.com.    IN    A    25.247.83.189
dluqgjpb.law.nju.com.    IN    A    122.26.62.224
qrxstwun.law.nju.com.    IN    A    111.186.131.187
mnxdkvay.law.nju.com.    IN    A    189.233.209.95
mvagynko.law.nju.com.    IN    A    73.211.109.88
obgshltd.law.nju.com.    IN    A    225.145.220.111
brglseiq.law.nju.com.    IN    A    8.137.87.154
xuerbiaw.law.nju.com.    IN    A    112.235.64.32
fxvtyjin.law.nju.com.    IN    A    87.16.62.98
mrynokgd.law.nju.com.    IN    A    159.83.63.117
kyagewqu.law.nju.com.    IN    A    36.91.58.202
snelhbxj.law.nju.com.    IN    A    52.112.212.92
ouyiepws.law.nju.com.    IN    A    43.6.113.65
oximprcd.law.nju.com.    IN    A    228.246.47.103
apfqxlmv.law.nju.com.    IN    A    234.170.48.226
rhawdupk.law.nju.com.    IN    A    167.36.4.169
gsnbrcyp.law.nju.com.    IN    A    86.200.149.190
nlxosehg.law.nju.com.    IN    A    40.159.171.32
qdscxvji.law.nju.com.    IN    A    86.22.251.121
knthoydm.law.nju.com.    IN    A    10.192.99.187
tedvbcfy.law.nju.com.    IN    A    232.223.66.174
jbsuhoqf.law.nju.com.    IN    A    54.205.231.191
mdinwajq.law.nju.com.    IN    A    236.197.23.158
fwnvtihc.law.nju.com.    IN    A    4.159.250.19
hruleqbv.law.nju.com.    IN    A    247.38.12.197
joulapyg.law.nju.com.    IN    A    246.153.166.209
ygklewim.law.nju.com.    IN    A    189.24.99.120
ailonkse.law.nju.com.    IN    A    51.115.130.26
snriwmul.law.nju.com.    IN    A    220.241.71.26
jyamqpxv.law.nju.com.    IN    A    24.41.243.128
qdgwmfej.law.nju.com.    IN    A    176.16.202.22
nqowdbtr.law.nju.com.    IN    A    150.253.254.202
sxaloiwv.law.nju.com.    IN    A    165.137.149.244
gmkxinao.law.nju.com.    IN    A    72.12.211.33
dcaxprmh.law.nju.com.    IN    A    83.45.229.139
oifjutvx.law.nju.com.    IN    A    93.138.250.79
nwalbvpm.law.nju.com.    IN    A    39.236.48.199
ofwqpmjv.law.nju.com.    IN    A    25.162.102.243
xtfayrhn.law.nju.com.    IN    A    158.28.64.32
duqewfoy.law.nju.com.    IN    A    184.16.54.84
ibuhngex.law.nju.com.    IN    A    154.232.163.247
vwaxoriq.law.nju.com.    IN    A    128.212.97.2
wxlkambt.law.nju.com.    IN    A    26.143.109.161
opctvmds.law.nju.com.    IN    A    115.5.77.223
bxipauhn.law.nju.com.    IN    A    59.167.103.213
pgkbsilt.law.nju.com.    IN    A    144.107.133.21
womgeihd.law.nju.com.    IN    A    186.17.159.131
qdhlwieb.law.nju.com.    IN    A    157.61.178.41
rsiqabuo.law.nju.com.    IN    A    140.88.223.20
wyqhureb.law.nju.com.    IN    A    9.110.31.232
wkrbvyni.law.nju.com.    IN    A    96.50.53.164
bthnpdfj.law.nju.com.    IN    A    238.255.16.91
wctlepuk.law.nju.com.    IN    A    222.63.181.42
mxnfbtgc.law.nju.com.    IN    A    147.9.176.188
hxyioqba.law.nju.com.    IN    A    154.223.28.30
edypbhkr.law.nju.com.    IN    A    221.40.100.31
bdgfjnxk.law.nju.com.    IN    A    92.201.235.48
xgkstdnb.law.nju.com.    IN    A    79.112.163.245
reahwjmd.law.nju.com.    IN    A    69.34.224.28
qsiochut.law.nju.com.    IN    A    181.78.95.185
bmkvdptr.law.nju.com.    IN    A    238.241.216.68
afwtiuvk.law.nju.com.    IN    A    229.90.169.252
jsutbmyw.law.nju.com.    IN    A    58.215.244.74
tbvhrjnf.law.nju.com.    IN    A    211.158.214.150
ivwsyxpg.law.nju.com.    IN    A    189.23.151.216
fdyierwm.law.nju.com.    IN    A    215.21.74.18
gbromtue.law.nju.com.    IN    A    67.235.77.247
rhydklbe.law.nju.com.    IN    A    129.231.128.249
mdgpasek.law.nju.com.    IN    A    224.141.36.80
ktsjyucl.law.nju.com.    IN    A    232.13.1.197
qkhjbnae.law.nju.com.    IN    A    152.149.123.3
mpvayolh.law.nju.com.    IN    A    183.72.187.212
diupkayt.law.nju.com.    IN    A    250.231.43.144
hcopsmfu.law.nju.com.    IN    A    31.65.155.125
rbxodkvw.law.nju.com.    IN    A    236.132.95.83
tpfvrmhk.law.nju.com.    IN    A    73.112.21.168
ngmscotd.law.nju.com.    IN    A    164.1.249.100
wrnahebm.law.nju.com.    IN    A    106.149.49.162
aerqxhcp.law.nju.com.    IN    A    48.53.132.160
wvqidysb.law.nju.com.    IN    A    193.107.218.201
awvpbkej.law.nju.com.    IN    A    229.4.156.130
vjadpiyt.law.nju.com.    IN    A    92.168.163.184
bltsxvqy.law.nju.com.    IN    A    217.124.216.55
pdfujcag.law.nju.com.    IN    A    147.193.198.22
ijcbfalt.law.nju.com.    IN    A    236.167.118.139
kqicxhbe.law.nju.com.    IN    A    94.254.155.144
oemshnya.law.nju.com.    IN    A    206.241.172.123
nwhqemja.law.nju.com.    IN    A    112.201.200.193
qricbhsu.law.nju.com.    IN    A    94.83.251.11
qajwtxuv.law.nju.com.    IN    A    165.97.98.24
iaxvospj.law.nju.com.    IN    A    254.134.116.39
disjuvnl.law.nju.com.    IN    A    86.115.119.39
esigbnxl.law.nju.com.    IN    A    55.240.28.109
aucqbhve.law.nju.com.    IN    A    127.25.157.165
xjrelfvs.law.nju.com.    IN    A    21.186.93.64
irkopsnh.law.nju.com.    IN    A    206.114.49.220
fbdrvwgq.law.nju.com.    IN    A    251.145.158.157
cekfshdu.law.nju.com.    IN    A    106.186.25.63
hmltnvbs.law.nju.com.    IN    A    107.225.211.99
dioknsmh.law.nju.com.    IN    A    3.191.92.230
qmlukrxd.law.nju.com.    IN    A    206.92.123.3
bjuhcsdx.law.nju.com.    IN    A    75.221.163.149
mvykidpr.law.nju.com.    IN    A    98.137.37.124
tduayxck.law.nju.com.    IN    A    71.70.25.207
cqaesndj.law.nju.com.    IN    A    135.53.187.177
qvrsmwyk.law.nju.com.    IN    A    243.19.95.218
iobkgmud.law.nju.com.    IN    A    210.158.14.17
