; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR lzu.com. @ns2.lzu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
lzu.com.			      14400 IN NS	ns1.lzu.com.
ns1.lzu.com.			      14400 IN A	10.166.21.12

www.lzu.com.		      14400 IN NS	ns1.www.lzu.com.
ns1.www.lzu.com.		      14400 IN A		10.166.21.13

xw.lzu.com.		      14400 IN NS	ns1.xw.lzu.com.
ns1.xw.lzu.com.		      14400 IN A		10.166.21.14

zheshexi.lzu.com.		      14400 IN NS	ns1.zheshexi.lzu.com.
ns1.zheshexi.lzu.com.		      14400 IN A		10.166.21.15

lzu.com.			      14400 IN MX	10 zheshexitp.lzu.edu.
lzu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
hbrqfejl.lzu.com.        IN    A    244.220.1.147
mtpjqaow.lzu.com.        IN    A    89.56.191.227
wamogjrt.lzu.com.        IN    A    93.178.247.140
wqtiaygc.lzu.com.        IN    A    97.252.66.51
fnothqws.lzu.com.        IN    A    160.170.4.193
ykjowhvl.lzu.com.        IN    A    99.219.160.182
bjrmqagp.lzu.com.        IN    A    184.77.189.234
vmioxwgb.lzu.com.        IN    A    67.53.192.212
fyblmtqo.lzu.com.        IN    A    191.178.157.123
drxnhjak.lzu.com.        IN    A    26.225.115.131
skvanxod.lzu.com.        IN    A    133.245.39.184
tjpnavqs.lzu.com.        IN    A    168.212.109.53
youjldfn.lzu.com.        IN    A    246.122.3.244
bsxnhiqm.lzu.com.        IN    A    140.62.91.0
eunwyjao.lzu.com.        IN    A    14.166.107.26
nkhtqreb.lzu.com.        IN    A    29.117.233.186
jytvquih.lzu.com.        IN    A    91.79.114.128
skjxcwvm.lzu.com.        IN    A    163.215.233.104
uegowjrc.lzu.com.        IN    A    199.106.213.226
phvfokyc.lzu.com.        IN    A    205.17.0.178
nqikefov.lzu.com.        IN    A    8.171.98.95
jgluhnya.lzu.com.        IN    A    101.42.0.86
ohqvfcwb.lzu.com.        IN    A    167.250.193.20
amsdkrit.lzu.com.        IN    A    246.64.34.193
nvjefhts.lzu.com.        IN    A    251.88.23.78
ltnmaiex.lzu.com.        IN    A    73.229.178.246
