; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR pku.com. @ns2.pku.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
pku.com.			      14400 IN NS	ns1.pku.com.
ns1.pku.com.			      14400 IN A	10.166.21.14

www.pku.com.		      14400 IN NS	ns1.www.pku.com.
ns1.www.pku.com.		      14400 IN A		10.166.21.15

math.pku.com.		      14400 IN NS	ns1.math.pku.com.
ns1.math.pku.com.		      14400 IN A		10.166.21.12

hist.pku.com.		      14400 IN NS	ns1.hist.pku.com.
ns1.hist.pku.com.		      14400 IN A		10.166.21.13

pku.com.			      14400 IN MX	10 histtp.pku.edu.
pku.com.			      14400 IN TXT	"v=spf1 a mx ~all"
temqhiro.pku.com.        IN    A    241.131.42.63
dpubgqte.pku.com.        IN    A    13.233.236.245
qnwvcauk.pku.com.        IN    A    160.79.115.7
kntcrqvs.pku.com.        IN    A    100.165.243.251
lxegbsto.pku.com.        IN    A    249.5.158.131
puncedtj.pku.com.        IN    A    61.74.157.167
fuerjvpc.pku.com.        IN    A    157.139.121.17
vlmhurwt.pku.com.        IN    A    129.215.76.59
ncpgvjth.pku.com.        IN    A    226.229.58.163
orgpxewi.pku.com.        IN    A    161.253.230.234
yqlkaheb.pku.com.        IN    A    160.138.22.203
setbcyav.pku.com.        IN    A    176.194.122.30
ilauhtfm.pku.com.        IN    A    123.55.31.99
hfxevqwn.pku.com.        IN    A    205.226.193.60
vudlqecj.pku.com.        IN    A    92.140.178.124
tmpriwqk.pku.com.        IN    A    191.220.225.233
kngquwbv.pku.com.        IN    A    239.58.80.42
jvytrkwi.pku.com.        IN    A    116.22.132.65
wmyqnpbc.pku.com.        IN    A    250.22.16.182
ehirvdbk.pku.com.        IN    A    76.139.220.83
vjgwlrok.pku.com.        IN    A    247.189.131.8
wqngfdjs.pku.com.        IN    A    67.109.75.166
boqmcjlk.pku.com.        IN    A    68.223.194.198
rvyfmckt.pku.com.        IN    A    167.92.244.183
uiaynsgw.pku.com.        IN    A    113.97.31.151
icobfwtq.pku.com.        IN    A    251.238.191.0
gdvbonyx.pku.com.        IN    A    220.1.133.127
jalxbmir.pku.com.        IN    A    212.120.220.231
olwgphai.pku.com.        IN    A    44.78.220.177
pdoghjvs.pku.com.        IN    A    153.248.166.215
qwsvgkej.pku.com.        IN    A    7.10.7.10
cuwhyfgk.pku.com.        IN    A    84.51.2.22
iwxrbnth.pku.com.        IN    A    80.145.143.174
vgmirlkc.pku.com.        IN    A    143.114.149.57
oiqugapv.pku.com.        IN    A    1.84.183.251
qakcvpns.pku.com.        IN    A    14.153.8.150
uwbdmirx.pku.com.        IN    A    23.158.210.18
oiwrvcke.pku.com.        IN    A    175.241.22.47
yowgkali.pku.com.        IN    A    60.210.177.236
ylbmnjtd.pku.com.        IN    A    73.46.237.178
