sci.cqu.com.	14400	IN	SOA	ns1.sci.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
sci.cqu.com.		    IN	NS ns1.sci.cqu.com.
ns1.sci.cqu.com.	    IN	A	10.166.21.13

sci.cqu.com.		    IN	A	6.6.6.6

flnytghr.sci.cqu.com.    IN    A    72.196.12.24
qvhgdkrl.sci.cqu.com.    IN    A    47.182.170.117
nmwuxqgb.sci.cqu.com.    IN    A    200.210.199.42
voymkgbf.sci.cqu.com.    IN    A    97.96.4.18
daveibyj.sci.cqu.com.    IN    A    66.37.74.215
dpenibju.sci.cqu.com.    IN    A    49.227.68.45
lpiqnoyc.sci.cqu.com.    IN    A    71.47.6.190
eaoriugh.sci.cqu.com.    IN    A    200.157.19.224
enopctym.sci.cqu.com.    IN    A    43.229.80.14
jipatdew.sci.cqu.com.    IN    A    99.13.192.212
euqvrkch.sci.cqu.com.    IN    A    151.228.152.14
ixspylfc.sci.cqu.com.    IN    A    197.8.19.15
snrvyfui.sci.cqu.com.    IN    A    106.192.220.181
hkfxcano.sci.cqu.com.    IN    A    115.41.232.201
mglnyctw.sci.cqu.com.    IN    A    91.136.218.20
vslhjaxy.sci.cqu.com.    IN    A    55.200.74.132
fsavixbn.sci.cqu.com.    IN    A    22.60.164.24
ythqvgwj.sci.cqu.com.    IN    A    90.101.156.244
boarmlxf.sci.cqu.com.    IN    A    171.112.148.170
gsyqeuhi.sci.cqu.com.    IN    A    218.231.216.228
acolnfme.sci.cqu.com.    IN    A    76.229.73.204
cxolkvya.sci.cqu.com.    IN    A    158.41.196.204
obneujxs.sci.cqu.com.    IN    A    106.206.200.150
okcwfyju.sci.cqu.com.    IN    A    29.32.176.17
uegsrolp.sci.cqu.com.    IN    A    216.167.25.67
oxhpqnur.sci.cqu.com.    IN    A    101.142.77.2
hncoivdu.sci.cqu.com.    IN    A    24.43.170.216
uhfbemra.sci.cqu.com.    IN    A    46.56.53.250
bupodmin.sci.cqu.com.    IN    A    61.82.37.18
pxdoqicj.sci.cqu.com.    IN    A    147.39.101.120
bvdpqwlk.sci.cqu.com.    IN    A    191.25.8.210
xbylvudr.sci.cqu.com.    IN    A    34.80.230.100
dxtsbqay.sci.cqu.com.    IN    A    193.176.48.254
pfuscmxo.sci.cqu.com.    IN    A    146.167.147.115
kfqwvgaj.sci.cqu.com.    IN    A    0.42.37.219
