; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR shu.com. @ns2.shu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
shu.com.			      14400 IN NS	ns1.shu.com.
ns1.shu.com.			      14400 IN A	10.166.21.15

www.shu.com.		      14400 IN NS	ns1.www.shu.com.
ns1.www.shu.com.		      14400 IN A		10.166.21.12

ai.shu.com.		      14400 IN NS	ns1.ai.shu.com.
ns1.ai.shu.com.		      14400 IN A		10.166.21.13

sociology.shu.com.		      14400 IN NS	ns1.sociology.shu.com.
ns1.sociology.shu.com.		      14400 IN A		10.166.21.14

shu.com.			      14400 IN MX	10 sociologytp.shu.edu.
shu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
jwgrytfi.shu.com.        IN    A    123.246.185.85
jrilhfvw.shu.com.        IN    A    8.33.78.139
benshwgr.shu.com.        IN    A    185.121.243.171
cqpawnbf.shu.com.        IN    A    43.123.59.219
lhgjtncv.shu.com.        IN    A    153.166.242.137
iypkwnfj.shu.com.        IN    A    117.21.39.14
sfmlnhit.shu.com.        IN    A    135.163.32.116
ypqtukxi.shu.com.        IN    A    87.106.208.218
wagdploj.shu.com.        IN    A    111.86.114.111
rkshoeqd.shu.com.        IN    A    219.158.16.100
meosanft.shu.com.        IN    A    174.0.45.15
gdckhyav.shu.com.        IN    A    51.41.173.127
jiakbodu.shu.com.        IN    A    43.10.201.235
yrplmdce.shu.com.        IN    A    251.252.72.83
myjkesan.shu.com.        IN    A    22.129.152.222
hjislcvd.shu.com.        IN    A    27.128.138.148
qoulxcvy.shu.com.        IN    A    250.204.36.120
oxidamcj.shu.com.        IN    A    153.5.132.111
aplhwrqb.shu.com.        IN    A    208.67.82.229
echfovyu.shu.com.        IN    A    36.31.139.203
qthdafrw.shu.com.        IN    A    128.211.10.37
xdcjhfkt.shu.com.        IN    A    203.41.71.26
frqxcokb.shu.com.        IN    A    44.211.229.28
qljensiv.shu.com.        IN    A    3.187.86.139
usotvbpl.shu.com.        IN    A    165.68.119.200
hkpruylw.shu.com.        IN    A    57.65.59.145
btluykfp.shu.com.        IN    A    192.148.31.45
igyukoap.shu.com.        IN    A    46.179.218.153
baxhkfqv.shu.com.        IN    A    221.204.146.65
dthpkyso.shu.com.        IN    A    80.168.253.121
kcrywjgl.shu.com.        IN    A    107.75.7.187
hudbepva.shu.com.        IN    A    210.27.113.101
yohikbms.shu.com.        IN    A    75.40.95.106
wgirfbvj.shu.com.        IN    A    69.228.148.138
bfjlvsye.shu.com.        IN    A    81.111.96.175
biahtkec.shu.com.        IN    A    170.127.216.255
juqdcxma.shu.com.        IN    A    174.28.145.209
nyeawvfp.shu.com.        IN    A    131.182.112.140
msrphbog.shu.com.        IN    A    167.83.58.73
stoivhxf.shu.com.        IN    A    27.125.82.238
qcroibmj.shu.com.        IN    A    177.19.126.182
bqcfywdh.shu.com.        IN    A    27.127.183.228
dvupqxok.shu.com.        IN    A    6.214.78.34
heryvisw.shu.com.        IN    A    82.209.77.137
ngsfubyt.shu.com.        IN    A    240.95.0.181
ikegqbxo.shu.com.        IN    A    76.224.248.94
nfxkltrs.shu.com.        IN    A    101.32.65.0
cjxdypta.shu.com.        IN    A    111.45.52.224
xsgloytd.shu.com.        IN    A    92.123.92.197
ensfgpvc.shu.com.        IN    A    58.254.233.144
unpohrgi.shu.com.        IN    A    89.138.176.51
ylpxqrhu.shu.com.        IN    A    15.253.167.136
