; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR tju.com. @ns2.tju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
tju.com.			      14400 IN NS	ns1.tju.com.
ns1.tju.com.			      14400 IN A	10.166.21.13

www.tju.com.		      14400 IN NS	ns1.www.tju.com.
ns1.www.tju.com.		      14400 IN A		10.166.21.14

science.tju.com.		      14400 IN NS	ns1.science.tju.com.
ns1.science.tju.com.		      14400 IN A		10.166.21.15

arch.tju.com.		      14400 IN NS	ns1.arch.tju.com.
ns1.arch.tju.com.		      14400 IN A		10.166.21.12

tju.com.			      14400 IN MX	10 archtp.tju.edu.
tju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
rvomdgel.tju.com.        IN    A    253.10.41.61
thpiuovm.tju.com.        IN    A    71.125.245.99
kvnasedx.tju.com.        IN    A    22.197.26.207
agvhpjcm.tju.com.        IN    A    105.194.244.239
xshlenpf.tju.com.        IN    A    24.152.218.194
kvlyfbnj.tju.com.        IN    A    67.137.68.233
uaryqmop.tju.com.        IN    A    240.177.196.51
kdxcgufw.tju.com.        IN    A    216.248.195.153
watlbhyg.tju.com.        IN    A    27.142.4.179
btixrdlg.tju.com.        IN    A    19.79.110.15
fmrnecyq.tju.com.        IN    A    144.144.52.95
pnshgeql.tju.com.        IN    A    142.32.8.132
qswdfjcl.tju.com.        IN    A    14.227.32.5
wefvdcqm.tju.com.        IN    A    85.252.3.84
vksxwbil.tju.com.        IN    A    81.98.109.138
wqojtchy.tju.com.        IN    A    131.249.159.169
mcfxilja.tju.com.        IN    A    60.231.246.164
wlnifmkb.tju.com.        IN    A    148.88.108.103
hgkwajty.tju.com.        IN    A    156.183.74.89
yogbrnfh.tju.com.        IN    A    220.191.66.135
besiroyq.tju.com.        IN    A    214.5.38.180
mivjslku.tju.com.        IN    A    158.214.3.38
csljoykr.tju.com.        IN    A    80.165.150.38
giofcnse.tju.com.        IN    A    120.44.16.17
hawguktq.tju.com.        IN    A    239.44.123.195
natqfcpj.tju.com.        IN    A    137.163.23.198
ytqawvhi.tju.com.        IN    A    49.125.105.94
wbylcmrv.tju.com.        IN    A    12.208.215.205
oyjkfxsu.tju.com.        IN    A    20.88.12.131
niuhljew.tju.com.        IN    A    230.174.1.218
shfwdirg.tju.com.        IN    A    21.157.250.20
rifdagvk.tju.com.        IN    A    239.0.198.107
wnurxvjb.tju.com.        IN    A    253.237.205.229
ylpcevwh.tju.com.        IN    A    80.35.150.179
mskfuylc.tju.com.        IN    A    254.93.72.229
vpgsuajd.tju.com.        IN    A    70.190.208.221
nxrduvqk.tju.com.        IN    A    214.173.215.21
othgexay.tju.com.        IN    A    126.43.125.47
ypwjvlxc.tju.com.        IN    A    68.125.242.254
ynegtmqo.tju.com.        IN    A    15.254.133.163
eijtdwmh.tju.com.        IN    A    7.20.121.216
gykucmdi.tju.com.        IN    A    227.166.192.186
pklqxyhc.tju.com.        IN    A    12.13.170.244
oeflvsaq.tju.com.        IN    A    192.35.127.214
augxlpqk.tju.com.        IN    A    77.250.188.146
cspgfwuj.tju.com.        IN    A    22.57.91.43
urcysepw.tju.com.        IN    A    76.21.192.155
fjeboxwl.tju.com.        IN    A    185.218.152.35
hjisnlbt.tju.com.        IN    A    162.106.41.227
nyxmjdko.tju.com.        IN    A    156.60.155.185
iohwlkcf.tju.com.        IN    A    192.171.202.230
gtoabpyk.tju.com.        IN    A    11.218.252.209
driajwmy.tju.com.        IN    A    212.42.226.110
tvhjismd.tju.com.        IN    A    19.35.132.106
hliqowsf.tju.com.        IN    A    23.173.63.138
vptelqxr.tju.com.        IN    A    95.151.6.96
unetcayk.tju.com.        IN    A    68.134.110.212
xbgjdmoa.tju.com.        IN    A    47.84.212.204
jpcqdgma.tju.com.        IN    A    254.21.175.199
ufpdkjtv.tju.com.        IN    A    184.83.145.38
uemxqtgc.tju.com.        IN    A    243.211.255.202
hupnqvdj.tju.com.        IN    A    169.247.131.145
xjuqygbr.tju.com.        IN    A    246.159.36.72
csqrpjfy.tju.com.        IN    A    214.179.77.1
vuknhcbi.tju.com.        IN    A    90.24.148.206
ndksvqla.tju.com.        IN    A    210.170.131.255
eabwgqrx.tju.com.        IN    A    109.135.42.9
nyvstrjl.tju.com.        IN    A    55.37.142.96
cquojinh.tju.com.        IN    A    69.200.17.54
tsmvhlfk.tju.com.        IN    A    179.206.10.207
kpiclgnf.tju.com.        IN    A    199.16.79.77
rofjshiu.tju.com.        IN    A    7.46.1.168
hdpobqlw.tju.com.        IN    A    17.147.155.193
bpigkyve.tju.com.        IN    A    46.165.8.91
obnckdrw.tju.com.        IN    A    38.53.152.171
omyuxepk.tju.com.        IN    A    28.164.184.163
wbalymqg.tju.com.        IN    A    225.34.93.154
xanqlhbd.tju.com.        IN    A    202.22.63.101
jvhqbyem.tju.com.        IN    A    183.228.39.36
rabohyes.tju.com.        IN    A    172.194.227.181
wudelapr.tju.com.        IN    A    178.160.164.26
oemxqrvj.tju.com.        IN    A    75.77.84.245
wmrexhql.tju.com.        IN    A    228.79.62.223
ejcwbvgt.tju.com.        IN    A    248.73.0.160
usmgvfht.tju.com.        IN    A    30.54.74.97
qgwxlfnv.tju.com.        IN    A    122.176.152.208
upeqgloa.tju.com.        IN    A    132.227.142.41
hwigvqyx.tju.com.        IN    A    194.38.249.7
xnvbelua.tju.com.        IN    A    29.201.250.0
pylhdefr.tju.com.        IN    A    97.198.249.69
xyknejdv.tju.com.        IN    A    115.233.125.57
qalgjrox.tju.com.        IN    A    80.156.7.231
mrlhnbci.tju.com.        IN    A    28.187.211.152
cpkmfhes.tju.com.        IN    A    112.15.106.22
pugirakv.tju.com.        IN    A    185.75.32.210
emwsnaop.tju.com.        IN    A    2.214.37.151
ifomgaqs.tju.com.        IN    A    245.140.249.135
hdabtyrl.tju.com.        IN    A    24.30.175.89
jskpgero.tju.com.        IN    A    141.229.158.17
vrxbafqk.tju.com.        IN    A    153.11.199.76
naqwrvgt.tju.com.        IN    A    38.56.63.118
ywndhrsc.tju.com.        IN    A    32.55.24.193
sxvwudyq.tju.com.        IN    A    204.122.252.58
grmvyafq.tju.com.        IN    A    86.14.158.226
fskmjqxg.tju.com.        IN    A    119.9.146.23
oqbndviu.tju.com.        IN    A    83.80.85.99
otjfkhbr.tju.com.        IN    A    252.143.172.107
qgfojpct.tju.com.        IN    A    119.103.180.16
kfbanxut.tju.com.        IN    A    78.126.42.150
jdiycbfo.tju.com.        IN    A    219.179.71.244
ertjkfyv.tju.com.        IN    A    115.192.206.132
swxjvuyq.tju.com.        IN    A    248.166.251.8
hxtipfvn.tju.com.        IN    A    155.98.99.45
tgyhbwom.tju.com.        IN    A    60.61.252.74
kmqfwrla.tju.com.        IN    A    11.46.255.23
kibsvpya.tju.com.        IN    A    104.74.43.94
ecqodjkf.tju.com.        IN    A    154.100.122.14
wvejyhox.tju.com.        IN    A    34.159.98.108
kihqmfwj.tju.com.        IN    A    174.48.105.0
jwlbfcnk.tju.com.        IN    A    221.145.173.218
upymekvw.tju.com.        IN    A    136.149.46.238
teviojgf.tju.com.        IN    A    42.67.65.62
uwyptbjl.tju.com.        IN    A    182.105.122.178
fmrlueky.tju.com.        IN    A    133.98.54.49
ftypmore.tju.com.        IN    A    136.98.235.80
benpkyax.tju.com.        IN    A    36.11.0.75
nviqmdsk.tju.com.        IN    A    199.200.13.54
gmwxijtq.tju.com.        IN    A    154.61.182.181
dpuifjsn.tju.com.        IN    A    41.158.89.15
ksylwtmu.tju.com.        IN    A    20.149.158.153
cuekvnmr.tju.com.        IN    A    114.244.19.169
qevshxrg.tju.com.        IN    A    17.157.71.168
cilmxahs.tju.com.        IN    A    188.69.71.0
evrcpwsi.tju.com.        IN    A    195.120.51.132
jrysabom.tju.com.        IN    A    254.55.163.161
fbdcxwjo.tju.com.        IN    A    59.186.97.49
holifdjg.tju.com.        IN    A    42.237.133.238
andilwmp.tju.com.        IN    A    55.232.210.168
navpumbw.tju.com.        IN    A    87.10.130.101
ligbsvyw.tju.com.        IN    A    164.220.109.56
infphcax.tju.com.        IN    A    160.32.188.130
wyalgxhq.tju.com.        IN    A    158.72.70.99
wdercqki.tju.com.        IN    A    215.152.39.207
upjcnvoq.tju.com.        IN    A    29.253.79.130
rxdshpka.tju.com.        IN    A    208.34.69.66
ulojqyeb.tju.com.        IN    A    0.234.77.29
kvumlwds.tju.com.        IN    A    157.134.254.16
gdyosxla.tju.com.        IN    A    78.239.186.38
kvunfblg.tju.com.        IN    A    140.98.123.100
drbpkjoq.tju.com.        IN    A    210.47.145.113
hcseliyk.tju.com.        IN    A    17.121.168.122
utfrcbgi.tju.com.        IN    A    161.122.14.120
klqdfwxr.tju.com.        IN    A    135.242.140.175
rswbdxya.tju.com.        IN    A    223.33.96.115
alvxyiof.tju.com.        IN    A    100.82.229.41
tkbfdjrh.tju.com.        IN    A    70.88.141.19
senxfjig.tju.com.        IN    A    144.159.132.214
atnjfykx.tju.com.        IN    A    249.158.49.226
rbxhtspy.tju.com.        IN    A    129.171.78.233
qomwnfug.tju.com.        IN    A    101.146.194.112
gexshnmj.tju.com.        IN    A    219.158.74.175
tvirpokx.tju.com.        IN    A    62.24.208.138
gpbwnyvu.tju.com.        IN    A    229.91.16.183
wodhibns.tju.com.        IN    A    221.69.59.127
bysndolc.tju.com.        IN    A    61.165.123.11
rxbpsmno.tju.com.        IN    A    45.56.64.31
mojbdafr.tju.com.        IN    A    232.86.83.96
hkplxacf.tju.com.        IN    A    115.127.93.253
wxtvldny.tju.com.        IN    A    143.134.246.82
eyrjaxoh.tju.com.        IN    A    221.180.250.116
fmyaibcv.tju.com.        IN    A    40.93.154.248
kbsjyhoq.tju.com.        IN    A    15.169.135.166
emwlcqui.tju.com.        IN    A    169.167.124.102
gnfabtcr.tju.com.        IN    A    136.150.171.63
ceyqgmho.tju.com.        IN    A    237.188.147.145
duirglso.tju.com.        IN    A    33.148.158.164
ldubnwhv.tju.com.        IN    A    209.126.187.125
jfstinca.tju.com.        IN    A    97.247.181.87
dakmwigj.tju.com.        IN    A    53.6.88.36
bwpfxgcn.tju.com.        IN    A    4.137.239.18
xpwiucks.tju.com.        IN    A    70.248.240.177
tlksaoqp.tju.com.        IN    A    95.33.140.221
tdasgvih.tju.com.        IN    A    89.7.181.198
twkyxhbm.tju.com.        IN    A    181.185.167.107
ytqrabpf.tju.com.        IN    A    180.153.209.29
pjwgrels.tju.com.        IN    A    202.174.29.171
vjkunpdw.tju.com.        IN    A    178.176.89.47
tymhenla.tju.com.        IN    A    4.25.121.57
hcyvaosr.tju.com.        IN    A    170.135.30.221
guxlmfis.tju.com.        IN    A    183.184.194.102
kdjcmwsb.tju.com.        IN    A    61.81.204.109
gyojchba.tju.com.        IN    A    127.163.103.195
fqcvhtbp.tju.com.        IN    A    43.151.169.118
fxicruwl.tju.com.        IN    A    102.133.81.145
mueoxrnl.tju.com.        IN    A    237.148.87.189
dclygqik.tju.com.        IN    A    60.210.9.202
gctoedkw.tju.com.        IN    A    209.16.5.246
mluaetqg.tju.com.        IN    A    195.128.108.94
cafnixow.tju.com.        IN    A    16.66.153.102
gwyshder.tju.com.        IN    A    16.25.253.195
lophbqec.tju.com.        IN    A    132.224.56.61
dceobusx.tju.com.        IN    A    1.168.194.97
itoqvjdk.tju.com.        IN    A    171.19.108.148
uyvfampr.tju.com.        IN    A    186.73.186.30
sfgdxeay.tju.com.        IN    A    179.145.93.148
bcihfvxt.tju.com.        IN    A    123.66.80.133
douskrym.tju.com.        IN    A    239.39.189.22
letyafuj.tju.com.        IN    A    233.154.162.219
atsmohpg.tju.com.        IN    A    111.94.239.167
vhrlukaj.tju.com.        IN    A    121.231.95.129
yvxbuqnr.tju.com.        IN    A    253.209.121.37
uxocvyap.tju.com.        IN    A    64.120.1.243
oqkedyrs.tju.com.        IN    A    174.36.183.170
olpakqej.tju.com.        IN    A    19.103.102.69
fevnqbli.tju.com.        IN    A    105.144.234.193
rtfqmeda.tju.com.        IN    A    163.55.219.35
ovpdfeia.tju.com.        IN    A    145.24.47.154
kmdgfrql.tju.com.        IN    A    24.34.141.67
wsqdeuyc.tju.com.        IN    A    102.169.212.130
jkmhuacg.tju.com.        IN    A    247.227.19.128
ouklqfxy.tju.com.        IN    A    15.152.134.253
cagvfwkq.tju.com.        IN    A    10.208.82.30
warulvfx.tju.com.        IN    A    156.138.160.66
andflpkt.tju.com.        IN    A    35.148.65.125
buwciyjr.tju.com.        IN    A    204.112.110.130
unmrgbxf.tju.com.        IN    A    190.226.140.227
beolphfq.tju.com.        IN    A    198.70.164.97
pbsdjrwn.tju.com.        IN    A    152.209.125.187
vtosaker.tju.com.        IN    A    124.199.152.114
bqtpkdil.tju.com.        IN    A    6.212.31.158
hbtjlfxo.tju.com.        IN    A    173.109.130.250
rvdnqwei.tju.com.        IN    A    91.148.26.68
ofrhuvye.tju.com.        IN    A    24.127.162.115
mspitdyr.tju.com.        IN    A    54.38.123.121
qhjbemyr.tju.com.        IN    A    141.86.140.121
nqielacb.tju.com.        IN    A    105.38.193.100
vwlkctna.tju.com.        IN    A    158.103.235.75
jdipkrca.tju.com.        IN    A    22.75.216.129
kmbdivph.tju.com.        IN    A    136.179.76.175
okcgyqpw.tju.com.        IN    A    215.54.221.23
ucboyehw.tju.com.        IN    A    36.179.13.184
fopnaces.tju.com.        IN    A    200.123.205.106
alnuijky.tju.com.        IN    A    122.237.157.208
spjuqemo.tju.com.        IN    A    242.62.27.122
stxbpigr.tju.com.        IN    A    94.117.134.147
huiwcqeb.tju.com.        IN    A    135.55.230.186
fdajhgyr.tju.com.        IN    A    83.108.155.115
wqlgarvn.tju.com.        IN    A    235.139.192.208
ingukpmj.tju.com.        IN    A    19.118.221.8
povtgaew.tju.com.        IN    A    108.246.25.55
vwheckpo.tju.com.        IN    A    253.135.203.24
vqldjwbc.tju.com.        IN    A    156.229.163.175
beoidhcg.tju.com.        IN    A    213.179.188.161
anmilogr.tju.com.        IN    A    246.104.192.136
lfoequxk.tju.com.        IN    A    27.34.179.198
wjsxgbdo.tju.com.        IN    A    255.14.203.133
dwsenijy.tju.com.        IN    A    138.42.84.129
ftmxsiub.tju.com.        IN    A    220.136.239.146
crgqpkbi.tju.com.        IN    A    247.88.68.245
ajkpbvng.tju.com.        IN    A    66.212.236.211
hyuslbxk.tju.com.        IN    A    181.251.172.135
dgoukcbx.tju.com.        IN    A    172.66.86.96
ochtwduy.tju.com.        IN    A    172.204.219.165
nrylhogj.tju.com.        IN    A    111.227.161.15
rvdkhlex.tju.com.        IN    A    160.173.198.189
oluqhnsd.tju.com.        IN    A    178.13.224.176
wqpmlkea.tju.com.        IN    A    68.41.49.98
mrpsvdex.tju.com.        IN    A    156.194.209.199
dfievqlt.tju.com.        IN    A    136.113.159.91
lkuovihn.tju.com.        IN    A    160.40.145.133
lhnkwdep.tju.com.        IN    A    151.149.31.71
iwrqjmnu.tju.com.        IN    A    81.80.209.155
bytvpmau.tju.com.        IN    A    83.37.77.69
pnctaqhw.tju.com.        IN    A    228.165.234.52
mngboscr.tju.com.        IN    A    83.0.66.143
fkgabxvm.tju.com.        IN    A    108.133.232.219
rmbfsogu.tju.com.        IN    A    1.140.14.74
dxrecvuf.tju.com.        IN    A    225.137.252.19
svpfeqjn.tju.com.        IN    A    206.110.214.105
wmarjhgx.tju.com.        IN    A    139.148.205.183
tourfsvp.tju.com.        IN    A    99.167.188.13
jlunaoix.tju.com.        IN    A    118.106.170.188
fyibgwnh.tju.com.        IN    A    174.203.241.143
abusiwfm.tju.com.        IN    A    224.87.87.248
vnwdlkfc.tju.com.        IN    A    80.123.182.103
cyhwpsqr.tju.com.        IN    A    105.149.192.59
qbcjexrn.tju.com.        IN    A    247.109.124.69
rmwaeqij.tju.com.        IN    A    143.85.67.96
wvfglibe.tju.com.        IN    A    73.221.166.12
pqjwusbn.tju.com.        IN    A    254.213.213.149
aduovpyn.tju.com.        IN    A    122.0.47.5
coxghqnb.tju.com.        IN    A    202.131.151.87
kwbropih.tju.com.        IN    A    3.52.19.13
nuavmplx.tju.com.        IN    A    94.73.124.122
nvweqsxo.tju.com.        IN    A    205.88.134.219
svbqjnue.tju.com.        IN    A    60.73.223.55
cvdsjnib.tju.com.        IN    A    252.12.5.154
