www.lzu.com. 	14400	IN	SOA	ns1.www.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
www.lzu.com.		    IN	NS ns1.www.lzu.com.
ns1.www.lzu.com.	    IN	A	10.166.21.13

www.lzu.com.		    IN	A	6.6.6.6

qtphglfv.www.lzu.com.    IN    A    51.121.87.95
ekutnbvj.www.lzu.com.    IN    A    240.123.29.75
xbqwdmsa.www.lzu.com.    IN    A    184.142.93.252
cjhqidal.www.lzu.com.    IN    A    167.168.14.18
cnbadtkg.www.lzu.com.    IN    A    232.78.15.9
easlcgfn.www.lzu.com.    IN    A    157.227.169.51
pvacqrsl.www.lzu.com.    IN    A    93.22.16.17
nbvqrgws.www.lzu.com.    IN    A    184.28.162.120
lfcbtmaw.www.lzu.com.    IN    A    87.49.82.62
lmdqwyrj.www.lzu.com.    IN    A    222.44.43.242
baepvoxk.www.lzu.com.    IN    A    197.4.180.96
fwvxdbqj.www.lzu.com.    IN    A    93.20.198.201
nbeujxtf.www.lzu.com.    IN    A    242.166.83.76
hgoqymja.www.lzu.com.    IN    A    90.4.105.3
xycmdlpn.www.lzu.com.    IN    A    132.211.100.146
drewtjpi.www.lzu.com.    IN    A    58.233.50.16
pjamewbg.www.lzu.com.    IN    A    71.136.133.211
fgrelbuh.www.lzu.com.    IN    A    252.126.219.210
jnxwklri.www.lzu.com.    IN    A    166.68.205.63
xackwtno.www.lzu.com.    IN    A    87.39.228.82
avrxpwfe.www.lzu.com.    IN    A    116.246.96.49
phbvwacq.www.lzu.com.    IN    A    149.187.209.240
qmahkixt.www.lzu.com.    IN    A    138.221.225.230
hcdsukte.www.lzu.com.    IN    A    128.132.159.60
mnfoahur.www.lzu.com.    IN    A    164.0.140.81
pbwftayg.www.lzu.com.    IN    A    55.1.33.121
ukhlxafb.www.lzu.com.    IN    A    180.57.226.186
wgqfuora.www.lzu.com.    IN    A    101.157.73.252
ahkxqjwd.www.lzu.com.    IN    A    149.104.245.38
ilmwbkcs.www.lzu.com.    IN    A    92.195.101.209
xutwyjvq.www.lzu.com.    IN    A    22.104.146.198
coaxptqs.www.lzu.com.    IN    A    162.147.117.25
bvjagdos.www.lzu.com.    IN    A    81.107.111.43
nrvlgxbj.www.lzu.com.    IN    A    129.93.11.26
bceyqoaf.www.lzu.com.    IN    A    120.173.6.4
hmuadfcx.www.lzu.com.    IN    A    185.148.182.63
vthbikus.www.lzu.com.    IN    A    173.9.84.159
yrancheg.www.lzu.com.    IN    A    7.72.177.253
nsctkqpa.www.lzu.com.    IN    A    78.128.123.25
ripfaxdv.www.lzu.com.    IN    A    88.157.73.43
ihkcgdyb.www.lzu.com.    IN    A    27.113.238.63
nwygxavi.www.lzu.com.    IN    A    72.34.248.12
ovspnmfx.www.lzu.com.    IN    A    83.186.166.148
phnyglwf.www.lzu.com.    IN    A    9.120.38.227
ndqvrutg.www.lzu.com.    IN    A    168.150.142.66
vcxsdtua.www.lzu.com.    IN    A    209.209.242.98
pmayduwk.www.lzu.com.    IN    A    141.68.130.79
tndwukrh.www.lzu.com.    IN    A    70.105.87.239
mkhdivcs.www.lzu.com.    IN    A    10.180.45.22
vgqitbrs.www.lzu.com.    IN    A    55.213.131.202
jxemasyu.www.lzu.com.    IN    A    95.90.114.77
soujrltn.www.lzu.com.    IN    A    91.175.1.189
ceugkfmx.www.lzu.com.    IN    A    113.164.225.38
saedrwtp.www.lzu.com.    IN    A    154.4.188.245
oldtjagy.www.lzu.com.    IN    A    85.171.57.59
vkuygrwt.www.lzu.com.    IN    A    158.55.103.10
hgspklaq.www.lzu.com.    IN    A    53.177.215.214
kxblpvod.www.lzu.com.    IN    A    79.135.224.63
cyosvdnr.www.lzu.com.    IN    A    221.242.223.226
oqtryibn.www.lzu.com.    IN    A    144.20.33.17
pluixasb.www.lzu.com.    IN    A    88.218.87.205
ykqflgdb.www.lzu.com.    IN    A    210.196.232.165
hcqtrvdx.www.lzu.com.    IN    A    68.239.203.166
ctedayiv.www.lzu.com.    IN    A    189.198.156.183
vucrpifh.www.lzu.com.    IN    A    209.199.207.211
tqapyuch.www.lzu.com.    IN    A    163.249.109.220
qcubafow.www.lzu.com.    IN    A    114.18.55.241
jpaiqtvd.www.lzu.com.    IN    A    240.162.35.232
xrbutaej.www.lzu.com.    IN    A    108.235.95.239
ufihajlv.www.lzu.com.    IN    A    157.131.228.37
crpxbvyf.www.lzu.com.    IN    A    54.9.29.153
jwgtfens.www.lzu.com.    IN    A    134.111.21.240
sxqlbaid.www.lzu.com.    IN    A    255.132.159.53
rmalogwb.www.lzu.com.    IN    A    176.189.7.102
