www.nju.com. 	14400	IN	SOA	ns1.www.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
www.nju.com.		    IN	NS ns1.www.nju.com.
ns1.www.nju.com.	    IN	A	10.166.21.15

www.nju.com.		    IN	A	6.6.6.6

lsnhmfqx.www.nju.com.    IN    A    246.55.149.110
omqfdiwu.www.nju.com.    IN    A    182.239.231.79
sgkbjlye.www.nju.com.    IN    A    72.114.36.74
awjdqmcu.www.nju.com.    IN    A    243.211.209.237
ocrefqbp.www.nju.com.    IN    A    222.140.229.10
ltqmsdge.www.nju.com.    IN    A    92.108.77.4
lxbdsera.www.nju.com.    IN    A    177.0.98.104
buqjnpao.www.nju.com.    IN    A    170.41.50.182
rufljyqt.www.nju.com.    IN    A    117.25.33.165
jskbhyco.www.nju.com.    IN    A    0.113.126.227
mjgxplqn.www.nju.com.    IN    A    21.223.175.70
xuibswop.www.nju.com.    IN    A    77.114.25.250
jwibokxp.www.nju.com.    IN    A    252.160.173.158
kmxrewvd.www.nju.com.    IN    A    143.205.251.128
qyutxvoc.www.nju.com.    IN    A    189.236.94.186
skmqxiyb.www.nju.com.    IN    A    18.62.65.138
miewysck.www.nju.com.    IN    A    247.191.161.235
fltxeoyh.www.nju.com.    IN    A    115.34.231.71
nsatcbug.www.nju.com.    IN    A    151.81.13.16
tyxavfol.www.nju.com.    IN    A    199.131.192.165
mrxfjpdq.www.nju.com.    IN    A    82.174.17.252
pmsyorvx.www.nju.com.    IN    A    1.202.56.29
ilybgdjq.www.nju.com.    IN    A    179.30.60.37
rjkmgqav.www.nju.com.    IN    A    99.222.176.87
vruibeno.www.nju.com.    IN    A    2.241.242.193
etoaswrq.www.nju.com.    IN    A    215.242.43.145
hgspjuow.www.nju.com.    IN    A    41.126.199.234
jvswxyao.www.nju.com.    IN    A    136.40.185.85
xdoameqb.www.nju.com.    IN    A    28.86.128.137
tbdfqswo.www.nju.com.    IN    A    230.224.1.228
kgfceiqj.www.nju.com.    IN    A    172.54.157.72
uynkhbvx.www.nju.com.    IN    A    74.139.184.225
xqeypntr.www.nju.com.    IN    A    6.197.160.185
mugceidl.www.nju.com.    IN    A    1.136.101.14
jueigrhw.www.nju.com.    IN    A    96.238.7.91
cbxyeipl.www.nju.com.    IN    A    196.240.187.129
creinvkd.www.nju.com.    IN    A    250.70.79.209
lwmoghcd.www.nju.com.    IN    A    26.16.132.76
kphtbciu.www.nju.com.    IN    A    101.82.50.47
ylptbvsr.www.nju.com.    IN    A    229.233.249.97
kofundbs.www.nju.com.    IN    A    184.133.202.64
chijltxy.www.nju.com.    IN    A    57.46.122.156
