www.pku.com. 	14400	IN	SOA	ns1.www.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
www.pku.com.		    IN	NS ns1.www.pku.com.
ns1.www.pku.com.	    IN	A	10.166.21.15

www.pku.com.		    IN	A	6.6.6.6

tvbdelfq.www.pku.com.    IN    A    45.168.172.14
qpvmhgkj.www.pku.com.    IN    A    34.244.128.55
ynuvaxbi.www.pku.com.    IN    A    222.248.196.72
hdytpuxs.www.pku.com.    IN    A    209.39.151.94
cxbkfjqu.www.pku.com.    IN    A    102.122.231.141
xojlgbrq.www.pku.com.    IN    A    213.151.160.35
nkjxqhcp.www.pku.com.    IN    A    162.116.163.188
ohtqipwd.www.pku.com.    IN    A    50.165.243.57
kyibscgx.www.pku.com.    IN    A    250.21.1.220
yvwmadfi.www.pku.com.    IN    A    85.28.236.116
etxyibqg.www.pku.com.    IN    A    23.97.176.24
gskforvt.www.pku.com.    IN    A    224.130.195.128
ygvqbjih.www.pku.com.    IN    A    2.8.176.97
psomvgfw.www.pku.com.    IN    A    87.122.191.17
eydalumx.www.pku.com.    IN    A    35.130.4.42
iabeoutn.www.pku.com.    IN    A    209.30.247.224
voliqgpb.www.pku.com.    IN    A    173.207.109.172
riebglyn.www.pku.com.    IN    A    220.105.10.45
iomnfqlt.www.pku.com.    IN    A    40.81.238.170
iwjyqnfv.www.pku.com.    IN    A    1.148.130.81
bwlyiupm.www.pku.com.    IN    A    180.64.196.209
dicsrblp.www.pku.com.    IN    A    93.108.112.120
fijymgbx.www.pku.com.    IN    A    214.163.64.215
vrcsbuht.www.pku.com.    IN    A    158.145.9.16
mxskuqbr.www.pku.com.    IN    A    122.240.196.207
pitovubc.www.pku.com.    IN    A    72.216.190.53
hdojliga.www.pku.com.    IN    A    38.187.37.11
qwhardxg.www.pku.com.    IN    A    147.58.44.76
xidsutye.www.pku.com.    IN    A    230.235.139.52
abvlmxuq.www.pku.com.    IN    A    37.42.36.245
fvjsohxc.www.pku.com.    IN    A    89.211.38.147
nimcwdjk.www.pku.com.    IN    A    101.173.247.48
lywcembd.www.pku.com.    IN    A    29.29.81.12
ydifvuen.www.pku.com.    IN    A    166.151.69.198
mexditpl.www.pku.com.    IN    A    19.53.67.54
fkpcruqa.www.pku.com.    IN    A    168.99.254.241
myektplj.www.pku.com.    IN    A    65.123.53.54
crntfwsv.www.pku.com.    IN    A    156.167.68.170
doyieqwf.www.pku.com.    IN    A    242.89.167.72
hftwerqx.www.pku.com.    IN    A    76.170.145.227
fqyghoit.www.pku.com.    IN    A    12.163.237.101
qgfhaxto.www.pku.com.    IN    A    214.18.131.192
rshmoyed.www.pku.com.    IN    A    72.247.79.190
lwgkdqpc.www.pku.com.    IN    A    64.112.123.1
qivsugxy.www.pku.com.    IN    A    178.102.220.73
yvaeqboh.www.pku.com.    IN    A    188.215.236.93
