www.whu.com. 	14400	IN	SOA	ns1.www.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
www.whu.com.		    IN	NS ns1.www.whu.com.
ns1.www.whu.com.	    IN	A	10.166.21.14

www.whu.com.		    IN	A	6.6.6.6

khvdbauy.www.whu.com.    IN    A    108.166.175.245
rwqjhoxp.www.whu.com.    IN    A    39.111.22.147
ymvulbse.www.whu.com.    IN    A    133.54.57.177
vanwsmyb.www.whu.com.    IN    A    215.252.99.136
fxhqvyop.www.whu.com.    IN    A    24.3.177.250
kscoayvn.www.whu.com.    IN    A    113.96.165.251
ktepqwmj.www.whu.com.    IN    A    209.105.219.103
iapeutdn.www.whu.com.    IN    A    130.169.90.151
plqmovbn.www.whu.com.    IN    A    50.184.14.12
nxwqhgis.www.whu.com.    IN    A    228.70.137.203
ynblfsxv.www.whu.com.    IN    A    209.11.69.132
njudcswt.www.whu.com.    IN    A    3.240.65.28
fawosrly.www.whu.com.    IN    A    119.172.248.59
twqpyckd.www.whu.com.    IN    A    52.109.144.140
bchmvorp.www.whu.com.    IN    A    248.94.187.24
tbhkoven.www.whu.com.    IN    A    105.181.57.251
fotijgnw.www.whu.com.    IN    A    195.53.9.59
kmatvesf.www.whu.com.    IN    A    231.217.212.41
vkaejbrg.www.whu.com.    IN    A    55.219.149.122
wjyiseqk.www.whu.com.    IN    A    83.66.11.17
ylscurnb.www.whu.com.    IN    A    219.183.222.228
jglqpfwv.www.whu.com.    IN    A    31.25.207.39
vxewskbq.www.whu.com.    IN    A    228.201.252.239
twjmnsxb.www.whu.com.    IN    A    128.185.66.42
elowcymb.www.whu.com.    IN    A    147.101.18.101
dkbmujse.www.whu.com.    IN    A    192.200.178.69
mnqplykd.www.whu.com.    IN    A    115.79.153.225
qxenbhrp.www.whu.com.    IN    A    15.117.234.121
utfaswoy.www.whu.com.    IN    A    44.64.155.0
pmabwocq.www.whu.com.    IN    A    129.20.76.29
ioptgqra.www.whu.com.    IN    A    147.253.139.116
ctempqsx.www.whu.com.    IN    A    24.237.177.83
fknemyvh.www.whu.com.    IN    A    141.251.74.193
islcvhok.www.whu.com.    IN    A    111.78.117.150
rpiumdtw.www.whu.com.    IN    A    70.90.224.239
gklrmieo.www.whu.com.    IN    A    197.33.217.26
cfqwrkia.www.whu.com.    IN    A    123.109.79.140
fyqjrhws.www.whu.com.    IN    A    76.204.234.11
mkewubvj.www.whu.com.    IN    A    191.245.56.234
dyesjqbp.www.whu.com.    IN    A    102.57.135.164
kbteosqf.www.whu.com.    IN    A    67.75.122.77
fhyruosq.www.whu.com.    IN    A    149.140.239.231
pwkygcxr.www.whu.com.    IN    A    237.47.143.238
