www.xmu.com. 	14400	IN	SOA	ns1.www.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
www.xmu.com.		    IN	NS ns1.www.xmu.com.
ns1.www.xmu.com.	    IN	A	10.166.21.13

www.xmu.com.		    IN	A	6.6.6.6

jtqiahvb.www.xmu.com.    IN    A    227.105.82.171
fbjrvlye.www.xmu.com.    IN    A    121.57.168.52
idhkesfu.www.xmu.com.    IN    A    213.60.227.214
pvuakxdt.www.xmu.com.    IN    A    87.42.76.141
qhbceplr.www.xmu.com.    IN    A    145.168.14.28
lcmsowpj.www.xmu.com.    IN    A    240.232.177.230
amhfsrvd.www.xmu.com.    IN    A    202.146.63.244
yshqmnet.www.xmu.com.    IN    A    46.185.16.122
qaymgrlk.www.xmu.com.    IN    A    22.74.149.191
saxwnlij.www.xmu.com.    IN    A    89.97.86.72
ukdsohyn.www.xmu.com.    IN    A    5.93.19.187
biqtkxyo.www.xmu.com.    IN    A    119.163.4.99
xdipcbjo.www.xmu.com.    IN    A    20.59.212.99
lthicskd.www.xmu.com.    IN    A    56.182.50.29
jdpyrtxq.www.xmu.com.    IN    A    203.127.119.161
rboiygne.www.xmu.com.    IN    A    98.151.219.87
stdfwljv.www.xmu.com.    IN    A    135.220.187.130
hmdgcyrq.www.xmu.com.    IN    A    101.19.44.100
cdkmpwbn.www.xmu.com.    IN    A    200.83.173.7
apmwqnsd.www.xmu.com.    IN    A    52.224.164.88
yijbafln.www.xmu.com.    IN    A    147.173.208.69
rysgnvhw.www.xmu.com.    IN    A    181.187.129.16
aljfstbo.www.xmu.com.    IN    A    147.68.80.182
xbhnldak.www.xmu.com.    IN    A    137.11.13.5
hsuoiefv.www.xmu.com.    IN    A    143.142.225.183
evsuhxkg.www.xmu.com.    IN    A    8.64.108.180
jlmnhepv.www.xmu.com.    IN    A    111.97.79.116
tjgekbqr.www.xmu.com.    IN    A    163.89.205.231
yqacepot.www.xmu.com.    IN    A    12.132.76.102
hbtfnxre.www.xmu.com.    IN    A    154.1.1.127
jagcfudb.www.xmu.com.    IN    A    72.7.192.171
ctyrvpgo.www.xmu.com.    IN    A    114.145.94.224
jwagclqk.www.xmu.com.    IN    A    226.245.91.253
ywvxjhpk.www.xmu.com.    IN    A    142.137.204.239
