; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR xmu.com. @ns2.xmu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
xmu.com.			      14400 IN NS	ns1.xmu.com.
ns1.xmu.com.			      14400 IN A	10.166.21.12

www.xmu.com.		      14400 IN NS	ns1.www.xmu.com.
ns1.www.xmu.com.		      14400 IN A		10.166.21.13

informatics.xmu.com.		      14400 IN NS	ns1.informatics.xmu.com.
ns1.informatics.xmu.com.		      14400 IN A		10.166.21.14

sm.xmu.com.		      14400 IN NS	ns1.sm.xmu.com.
ns1.sm.xmu.com.		      14400 IN A		10.166.21.15

xmu.com.			      14400 IN MX	10 smtp.xmu.edu.
xmu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
lpjfdeht.xmu.com.        IN    A    78.207.233.53
rkfvdtnu.xmu.com.        IN    A    50.140.202.176
vjlrnmiu.xmu.com.        IN    A    91.86.43.218
tcmvgnps.xmu.com.        IN    A    169.182.144.32
gthjrcfk.xmu.com.        IN    A    202.177.107.94
giayehdv.xmu.com.        IN    A    254.216.248.147
pgyskbid.xmu.com.        IN    A    28.21.108.50
dkxeuftj.xmu.com.        IN    A    128.226.68.177
xurmjvfw.xmu.com.        IN    A    204.123.25.64
eishgkjr.xmu.com.        IN    A    40.67.20.130
pflstuwc.xmu.com.        IN    A    101.227.255.213
cyxovmad.xmu.com.        IN    A    177.255.141.54
ikbegdrf.xmu.com.        IN    A    211.195.204.188
yngfobcx.xmu.com.        IN    A    41.192.27.59
umpsxhnf.xmu.com.        IN    A    11.65.163.56
itekgxql.xmu.com.        IN    A    2.106.173.232
duijqrkn.xmu.com.        IN    A    172.175.170.57
ctegnlmj.xmu.com.        IN    A    6.136.198.226
yixbkahr.xmu.com.        IN    A    250.170.55.163
qmjterfs.xmu.com.        IN    A    254.26.210.97
agchubfn.xmu.com.        IN    A    156.255.124.88
bctlqwru.xmu.com.        IN    A    34.102.184.183
imdoqnfc.xmu.com.        IN    A    149.20.169.125
emgtcxvs.xmu.com.        IN    A    32.4.199.93
cemgxtqr.xmu.com.        IN    A    76.161.192.35
bjpaefxr.xmu.com.        IN    A    220.251.13.19
cxerndgi.xmu.com.        IN    A    141.50.88.181
gvfrejxy.xmu.com.        IN    A    114.134.10.23
snxavrwl.xmu.com.        IN    A    63.30.168.176
nmsbcpue.xmu.com.        IN    A    79.152.229.26
tvgcawyn.xmu.com.        IN    A    91.15.22.152
cduewrlb.xmu.com.        IN    A    167.161.73.154
wpfeqyni.xmu.com.        IN    A    204.69.90.163
hvcujksm.xmu.com.        IN    A    176.24.233.98
rosnbtgq.xmu.com.        IN    A    35.80.14.32
yaleitrb.xmu.com.        IN    A    76.137.104.80
bhwejxdi.xmu.com.        IN    A    196.217.163.198
ejcxmghf.xmu.com.        IN    A    183.93.198.15
vnyjtuck.xmu.com.        IN    A    17.231.103.98
nwjvtcme.xmu.com.        IN    A    223.111.195.172
pqvaswxn.xmu.com.        IN    A    226.227.80.161
ifgmjcna.xmu.com.        IN    A    69.154.236.119
obvlfmyk.xmu.com.        IN    A    148.178.239.82
joifxwvu.xmu.com.        IN    A    129.72.128.210
fegpkjqs.xmu.com.        IN    A    113.224.244.16
nopujvfy.xmu.com.        IN    A    2.122.229.115
rckunfpt.xmu.com.        IN    A    191.104.246.46
tlyvkhix.xmu.com.        IN    A    210.21.23.2
lqmhtvia.xmu.com.        IN    A    42.15.163.246
caeyktwp.xmu.com.        IN    A    150.173.29.145
mgiwnoey.xmu.com.        IN    A    62.235.225.215
dnhlxypj.xmu.com.        IN    A    83.230.102.100
hcaekqnr.xmu.com.        IN    A    67.172.65.185
wbcmvkdj.xmu.com.        IN    A    209.190.101.232
pwinhvos.xmu.com.        IN    A    188.193.181.230
grmlxcfs.xmu.com.        IN    A    24.136.14.107
iqbcgkwx.xmu.com.        IN    A    90.190.75.231
lokjmnde.xmu.com.        IN    A    235.112.138.194
lkrgqxsv.xmu.com.        IN    A    217.97.210.142
xrjfpovd.xmu.com.        IN    A    169.63.255.157
nrgqyimt.xmu.com.        IN    A    196.99.186.131
uqrjmtdi.xmu.com.        IN    A    68.56.101.251
fuwdpcex.xmu.com.        IN    A    43.92.217.190
hdvaykui.xmu.com.        IN    A    70.124.79.85
uyotgvab.xmu.com.        IN    A    82.227.247.2
cenhjuas.xmu.com.        IN    A    99.183.190.157
gehxpyac.xmu.com.        IN    A    18.180.118.53
nrxawdkl.xmu.com.        IN    A    209.221.167.103
touqbjwr.xmu.com.        IN    A    187.233.69.110
fnedspbr.xmu.com.        IN    A    16.19.113.54
vjyodnra.xmu.com.        IN    A    153.153.225.221
eqyakjdo.xmu.com.        IN    A    142.217.46.4
wbhlkqso.xmu.com.        IN    A    81.121.112.156
ixdtukem.xmu.com.        IN    A    115.0.140.69
gpcixsql.xmu.com.        IN    A    25.80.9.186
