xw.lzu.com.	14400	IN	SOA	ns1.xw.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
xw.lzu.com.		    IN	NS ns1.xw.lzu.com.
ns1.xw.lzu.com.	    IN	A	10.166.21.14

xw.lzu.com.		    IN	A	6.6.6.6

qsuhaxmf.xw.lzu.com.     IN    A    168.30.229.102
ecbqwuix.xw.lzu.com.     IN    A    5.244.123.18
wdbiprky.xw.lzu.com.     IN    A    199.161.125.50
svtfgqwh.xw.lzu.com.     IN    A    189.195.205.222
itndyfga.xw.lzu.com.     IN    A    92.99.117.241
ojgbhvpn.xw.lzu.com.     IN    A    32.166.49.211
meguixna.xw.lzu.com.     IN    A    64.249.153.81
fyrjbtkn.xw.lzu.com.     IN    A    204.34.7.113
xbcvhkps.xw.lzu.com.     IN    A    227.13.181.138
sxfdhkbc.xw.lzu.com.     IN    A    176.160.137.20
xsnwclmo.xw.lzu.com.     IN    A    196.156.182.5
feswgucq.xw.lzu.com.     IN    A    53.20.114.128
gpxidvme.xw.lzu.com.     IN    A    5.47.31.197
lnbejfra.xw.lzu.com.     IN    A    187.76.43.110
cyxhdnmg.xw.lzu.com.     IN    A    160.6.191.198
cyvowpbr.xw.lzu.com.     IN    A    20.56.119.195
yrhwectm.xw.lzu.com.     IN    A    102.183.95.64
pvwxeudc.xw.lzu.com.     IN    A    172.200.97.31
egvilcdo.xw.lzu.com.     IN    A    72.207.45.25
wxltorvi.xw.lzu.com.     IN    A    71.136.72.185
isjfwtpr.xw.lzu.com.     IN    A    132.220.206.14
gupafnyh.xw.lzu.com.     IN    A    242.210.21.144
vjcyafqi.xw.lzu.com.     IN    A    132.51.243.68
jfegwiyd.xw.lzu.com.     IN    A    25.21.107.28
uepadmls.xw.lzu.com.     IN    A    75.192.59.32
fsaimelb.xw.lzu.com.     IN    A    242.28.68.233
qvrtjgsc.xw.lzu.com.     IN    A    112.193.174.25
nigdjvol.xw.lzu.com.     IN    A    122.187.198.125
qgxmspby.xw.lzu.com.     IN    A    44.33.202.87
clfkxwoi.xw.lzu.com.     IN    A    161.121.212.206
aemrucfh.xw.lzu.com.     IN    A    140.187.183.184
cpdavfti.xw.lzu.com.     IN    A    169.195.89.90
qyhtwugp.xw.lzu.com.     IN    A    169.185.55.237
ryphkubf.xw.lzu.com.     IN    A    120.140.73.27
puhkabnv.xw.lzu.com.     IN    A    183.184.134.21
nludhjrs.xw.lzu.com.     IN    A    86.113.87.100
crbdxspt.xw.lzu.com.     IN    A    20.103.36.16
efahwsjo.xw.lzu.com.     IN    A    14.5.72.191
cbmnayxl.xw.lzu.com.     IN    A    217.118.88.65
awfijkln.xw.lzu.com.     IN    A    194.213.223.215
docfailj.xw.lzu.com.     IN    A    32.241.100.145
okyvqmad.xw.lzu.com.     IN    A    57.183.30.226
yiubmpjf.xw.lzu.com.     IN    A    236.24.173.174
jnlspwke.xw.lzu.com.     IN    A    220.190.61.53
lwocvuja.xw.lzu.com.     IN    A    146.9.2.185
tlgoyfsr.xw.lzu.com.     IN    A    62.158.111.81
aflcpqst.xw.lzu.com.     IN    A    170.111.137.181
kbsrotfi.xw.lzu.com.     IN    A    198.149.105.136
hdsqxgek.xw.lzu.com.     IN    A    225.91.195.144
ciledsvy.xw.lzu.com.     IN    A    20.20.149.7
niocqhpm.xw.lzu.com.     IN    A    148.199.55.90
xihafynu.xw.lzu.com.     IN    A    74.19.94.153
oyafdhwb.xw.lzu.com.     IN    A    87.235.187.169
dtafyqnv.xw.lzu.com.     IN    A    147.17.87.51
pgomfhae.xw.lzu.com.     IN    A    32.208.161.190
ngobsvmc.xw.lzu.com.     IN    A    162.90.186.53
gdylcboq.xw.lzu.com.     IN    A    237.149.237.203
kvdbliwg.xw.lzu.com.     IN    A    187.166.217.220
uaejrnpw.xw.lzu.com.     IN    A    124.67.245.8
vyfaqxwl.xw.lzu.com.     IN    A    17.44.113.189
rekwjsnd.xw.lzu.com.     IN    A    27.96.244.119
xdartmvk.xw.lzu.com.     IN    A    58.77.138.128
