dataset	files	total	A	AAAA	CNAME	MX	NS	SOA	TXT
virginia.edu	126	2079	513	4	317	133	984	126	2
vivilotz.com	494	2965	494	0	0	0	1977	494	0
vn.ua	252	4129	1145	11	127	322	2188	252	84
votesp.com	989	2604	989	0	0	621	5	989	0
voxcdn.com	137	758	458	0	161	0	2	137	0
vrn.ru	193	2878	1358	20	61	346	843	193	57
w3wb.com	148	738	585	0	1	2	2	148	0
wa.gov	135	1689	458	1	182	142	742	135	29
warriorhall.com	211	1264	211	0	0	0	842	211	0
warszawa.pl	275	6087	2310	4	131	278	2975	275	114
washington.edu	391	5875	1814	28	447	486	2351	391	358
waw.pl	2250	40976	14081	44	1194	2609	20028	2250	770
wayport.net	111	922	123	3	10	12	663	111	0
wblogin.com	108	291	109	0	0	72	2	108	0
wcpss.net	101	491	122	0	42	24	202	101	0
webd.pl	287	2451	510	0	168	274	1191	287	21
web.id	2368	40614	9633	55	2556	4214	21014	2368	774
weblog.com	554	3381	615	0	0	2	2210	554	0
webng.com	270	783	507	0	0	1	5	270	0
webself.net	332	999	332	0	0	330	5	332	0
website-start.de	341	2226	548	3	0	2	1332	341	0
web.tr	562	9234	2896	4	465	723	4390	562	194
webwealth.us	159	450	159	0	0	128	4	159	0
wednet.edu	151	2433	544	0	83	292	1286	151	77
wendellbennett.com	108	755	109	0	0	108	430	108	0
wertot.com	220	569	220	0	0	124	5	220	0
wisc.edu	579	8489	2288	140	269	1786	3395	579	32
wopert.com	554	1457	554	0	0	344	5	554	0
wo.tc	256	3415	472	0	1	110	2564	256	12
wp-studio.net	1187	8019	1187	0	0	0	4746	1187	899
wroclaw.pl	509	10160	3501	1	247	608	5120	509	174
wroc.pl	550	6653	1973	7	578	688	2691	550	166
www.de	175	1048	175	0	0	0	698	175	0
x0.com	322	2337	342	0	59	324	1290	322	0
x10.mx	107	853	163	0	20	115	442	107	6
xii.jp	240	1698	247	0	8	239	964	240	0
xitinblog.net	269	1612	269	0	0	0	1074	269	0
xoom.it	281	1732	271	0	0	0	1180	281	0
xsrv.jp	167	2394	369	0	0	339	1515	167	4
x-y.net	102	739	130	0	0	101	406	102	0
yahoo.com	151	25974	2343	10	20529	1671	1195	151	75
yale.edu	201	3357	740	1	506	296	1612	201	1
yorku.ca	108	1414	480	3	146	34	643	108	0
youaremighty.com	3271	21839	3271	0	0	0	13082	3271	2215
yourfreehosting.net	287	1720	287	0	0	0	1146	287	0
yourprospex.com	175	357	175	0	0	2	5	175	0
za.net	372	5051	1070	29	272	672	2515	372	121
zgora.pl	220	3669	1200	21	142	258	1760	220	68
zhp.pl	144	1264	205	0	58	160	681	144	16
zp.ua	644	10552	2983	37	189	1121	5410	644	168
