metric,feature,n,pearson,spearman
initial_total_ms,rr_count,24,-0.04001897700739792,-0.0834057656228299
initial_total_ms,zone_file_count,24,nan,nan
initial_total_ms,CNAME,24,0.12837628646177973,0.26388952453521203
initial_total_ms,DNAME,24,-0.04001897700739792,-0.0834057656228299
initial_total_ms,wildcard,24,0.03292798265048549,0.0601929265428846
initial_total_ms,NS,24,-0.1219124277950311,-0.23631633593135137
initial_total_ms,SOA,24,nan,nan
initial_total_ms,rewrite_density,24,0.13429978768575643,0.2922647422271703
initial_total_ms,delegation_density,24,-0.09402677593357572,-0.09363821838346233
initial_total_ms,avg_rr_per_file,24,-0.04001897700739792,-0.0834057656228299
initial_total_ms,max_rr_per_file,24,-0.04001897700739792,-0.0834057656228299
incremental_ms,rr_count,24,0.1144718296096427,0.18075179032226077
incremental_ms,zone_file_count,24,nan,nan
incremental_ms,CNAME,24,0.6731678074685815,0.6045235692936388
incremental_ms,DNAME,24,0.1144718296096427,0.18075179032226077
incremental_ms,wildcard,24,-0.09856902381700776,-0.01204120324604585
incremental_ms,NS,24,-0.6448361693096328,-0.6951991935471569
incremental_ms,SOA,24,nan,nan
incremental_ms,rewrite_density,24,0.6535824252018275,0.5988472916476891
incremental_ms,delegation_density,24,-0.5914896747210634,-0.5364082375422429
incremental_ms,avg_rr_per_file,24,0.1144718296096427,0.18075179032226077
incremental_ms,max_rr_per_file,24,0.1144718296096427,0.18075179032226077
full_no_io_ms,rr_count,24,-0.07545362150985603,-0.0834057656228299
full_no_io_ms,zone_file_count,24,nan,nan
full_no_io_ms,CNAME,24,0.32807370763112503,0.3405026123034994
full_no_io_ms,DNAME,24,-0.07545362150985603,-0.0834057656228299
full_no_io_ms,wildcard,24,0.03950780266794563,0.04815434123430768
full_no_io_ms,NS,24,-0.2991896907786676,-0.30582114061704296
full_no_io_ms,SOA,24,nan,nan
full_no_io_ms,rewrite_density,24,0.32562822990696716,0.363202786457066
full_no_io_ms,delegation_density,24,-0.23732428841971318,-0.13620104492139976
full_no_io_ms,avg_rr_per_file,24,-0.07545362150985603,-0.0834057656228299
full_no_io_ms,max_rr_per_file,24,-0.07545362150985603,-0.0834057656228299
num_lec,rr_count,24,0.4364357804719848,0.45469886172314156
num_lec,zone_file_count,24,nan,nan
num_lec,CNAME,24,0.45584230583855173,0.3845193540182695
num_lec,DNAME,24,0.4364357804719848,0.45469886172314156
num_lec,wildcard,24,0.37796447300922725,0.28127197523150593
num_lec,NS,24,-0.8728715609439696,-0.7794837629539569
num_lec,SOA,24,nan,nan
num_lec,rewrite_density,24,0.8357108940373448,0.5171122347142245
num_lec,delegation_density,24,-0.8819171036881969,-0.7557794199669434
num_lec,avg_rr_per_file,24,0.4364357804719848,0.45469886172314156
num_lec,max_rr_per_file,24,0.4364357804719848,0.45469886172314156
affected_trace_count,rr_count,24,0.05383819020581655,0.25819888974716115
affected_trace_count,zone_file_count,24,nan,nan
affected_trace_count,CNAME,24,0.7591341021059699,0.6324555320336759
affected_trace_count,DNAME,24,0.05383819020581655,0.25819888974716115
affected_trace_count,wildcard,24,-0.27975144247209416,0.0
affected_trace_count,NS,24,-0.5922200922639821,-0.7745966692414834
affected_trace_count,SOA,24,nan,nan
affected_trace_count,rewrite_density,24,0.6091816868751609,0.6324555320336759
affected_trace_count,delegation_density,24,-0.5284193913361779,-0.6324555320336759
affected_trace_count,avg_rr_per_file,24,0.05383819020581655,0.25819888974716115
affected_trace_count,max_rr_per_file,24,0.05383819020581655,0.25819888974716115
trace_count,rr_count,24,0.8666666666666667,0.7745966692414834
trace_count,zone_file_count,24,nan,nan
trace_count,CNAME,24,-0.03481553119113956,0.10540925533894599
trace_count,DNAME,24,0.8666666666666667,0.7745966692414834
trace_count,wildcard,24,0.5773502691896258,0.4472135954999579
trace_count,NS,24,-0.7333333333333333,-0.7745966692414834
trace_count,SOA,24,nan,nan
trace_count,rewrite_density,24,0.6150743843767988,0.31622776601683794
trace_count,delegation_density,24,-0.8852704127574262,-0.9486832980505139
trace_count,avg_rr_per_file,24,0.8666666666666667,0.7745966692414834
trace_count,max_rr_per_file,24,0.8666666666666667,0.7745966692414834
