scenario,metric,count,mean,median,geomean,p90,p95,p99,min,max,ci95_low,ci95_high
A_ADD,initial_total_ms,12,10.431833333333334,9.491,10.299398648056801,12.824200000000001,12.915700000000001,12.99754,8.765,13.018,9.42225093449486,11.441415732171807
__ALL__,initial_total_ms,24,10.312708333333333,9.596499999999999,10.204911217311748,12.699399999999997,12.8203,12.97522,8.588,13.018,9.68747505103805,10.937941615628617
A_ADD,incremental_ms,12,0.4639166666666667,0.437,0.41671115432802447,0.6888000000000001,0.74295,0.7917900000000001,0.205,0.804,0.34335977719538885,0.5844735561379446
__ALL__,incremental_ms,24,0.4715416666666667,0.4575,0.43480061706312134,0.7042,0.7897499999999998,0.8163199999999999,0.205,0.82,0.39639154066836657,0.5466917926649668
A_ADD,full_no_io_ms,12,9.565166666666666,9.3545,9.537134039510176,10.512599999999999,10.5664,10.60688,8.622,10.617,9.130763473536113,9.99956985979722
__ALL__,full_no_io_ms,24,9.491041666666666,9.463999999999999,9.468787926091217,10.3926,10.506399999999998,10.595839999999999,8.453,10.617,9.225101951197827,9.756981382135505
A_ADD,affected_trace_count,12,13.25,11.0,10.984754208992886,26.0,26.0,26.0,5.0,26.0,8.496977038480955,18.003022961519044
__ALL__,affected_trace_count,24,13.25,11.0,10.984754208992895,26.0,26.0,26.0,5.0,26.0,9.96298007307531,16.537019926924692
A_ADD,trace_count,12,8.75,8.5,8.485281374238566,12.0,12.0,12.0,6.0,12.0,7.470529228725621,10.02947077127438
__ALL__,trace_count,24,8.75,8.5,8.485281374238575,12.0,12.0,12.0,6.0,12.0,7.865163979819596,9.634836020180403
A_ADD,num_lec,12,8.0,8.5,7.896444077714953,9.0,9.0,9.0,6.0,9.0,7.276222033041524,8.723777966958476
__ALL__,num_lec,24,8.5,9.0,8.3875157890407,10.0,10.0,10.0,6.0,10.0,7.959356261319977,9.040643738680023
DNAME_ADD,initial_total_ms,12,10.193583333333333,9.778,10.111290621114403,11.9152,12.2045,12.4641,8.588,12.529,9.41539704315779,10.971769623508875
DNAME_ADD,incremental_ms,12,0.4791666666666667,0.4575,0.45367534474408266,0.6990000000000001,0.7589499999999999,0.80779,0.253,0.82,0.38407503598203374,0.5742582973512996
DNAME_ADD,full_no_io_ms,12,9.416916666666665,9.497499999999999,9.400931602498018,10.076500000000001,10.0938,10.09556,8.453,10.096,9.095652410462927,9.738180922870404
DNAME_ADD,affected_trace_count,12,13.25,11.0,10.984754208992886,26.0,26.0,26.0,5.0,26.0,8.496977038480955,18.003022961519044
DNAME_ADD,trace_count,12,8.75,8.5,8.485281374238566,12.0,12.0,12.0,6.0,12.0,7.470529228725621,10.02947077127438
DNAME_ADD,num_lec,12,9.0,9.5,8.909126743510711,10.0,10.0,10.0,7.0,10.0,8.276222033041524,9.723777966958476
