metric,feature,n,pearson,spearman
initial_total_ms,rr_count,2,nan,nan
initial_total_ms,zone_file_count,2,nan,nan
initial_total_ms,CNAME,2,nan,nan
initial_total_ms,DNAME,2,nan,nan
initial_total_ms,wildcard,2,nan,nan
initial_total_ms,NS,2,nan,nan
initial_total_ms,SOA,2,nan,nan
initial_total_ms,rewrite_density,2,nan,nan
initial_total_ms,delegation_density,2,nan,nan
initial_total_ms,avg_rr_per_file,2,nan,nan
initial_total_ms,max_rr_per_file,2,nan,nan
incremental_ms,rr_count,2,nan,nan
incremental_ms,zone_file_count,2,nan,nan
incremental_ms,CNAME,2,nan,nan
incremental_ms,DNAME,2,nan,nan
incremental_ms,wildcard,2,nan,nan
incremental_ms,NS,2,nan,nan
incremental_ms,SOA,2,nan,nan
incremental_ms,rewrite_density,2,nan,nan
incremental_ms,delegation_density,2,nan,nan
incremental_ms,avg_rr_per_file,2,nan,nan
incremental_ms,max_rr_per_file,2,nan,nan
full_no_io_ms,rr_count,2,nan,nan
full_no_io_ms,zone_file_count,2,nan,nan
full_no_io_ms,CNAME,2,nan,nan
full_no_io_ms,DNAME,2,nan,nan
full_no_io_ms,wildcard,2,nan,nan
full_no_io_ms,NS,2,nan,nan
full_no_io_ms,SOA,2,nan,nan
full_no_io_ms,rewrite_density,2,nan,nan
full_no_io_ms,delegation_density,2,nan,nan
full_no_io_ms,avg_rr_per_file,2,nan,nan
full_no_io_ms,max_rr_per_file,2,nan,nan
num_lec,rr_count,2,nan,nan
num_lec,zone_file_count,2,nan,nan
num_lec,CNAME,2,nan,nan
num_lec,DNAME,2,nan,nan
num_lec,wildcard,2,nan,nan
num_lec,NS,2,nan,nan
num_lec,SOA,2,nan,nan
num_lec,rewrite_density,2,nan,nan
num_lec,delegation_density,2,nan,nan
num_lec,avg_rr_per_file,2,nan,nan
num_lec,max_rr_per_file,2,nan,nan
affected_trace_count,rr_count,2,nan,nan
affected_trace_count,zone_file_count,2,nan,nan
affected_trace_count,CNAME,2,nan,nan
affected_trace_count,DNAME,2,nan,nan
affected_trace_count,wildcard,2,nan,nan
affected_trace_count,NS,2,nan,nan
affected_trace_count,SOA,2,nan,nan
affected_trace_count,rewrite_density,2,nan,nan
affected_trace_count,delegation_density,2,nan,nan
affected_trace_count,avg_rr_per_file,2,nan,nan
affected_trace_count,max_rr_per_file,2,nan,nan
trace_count,rr_count,2,nan,nan
trace_count,zone_file_count,2,nan,nan
trace_count,CNAME,2,nan,nan
trace_count,DNAME,2,nan,nan
trace_count,wildcard,2,nan,nan
trace_count,NS,2,nan,nan
trace_count,SOA,2,nan,nan
trace_count,rewrite_density,2,nan,nan
trace_count,delegation_density,2,nan,nan
trace_count,avg_rr_per_file,2,nan,nan
trace_count,max_rr_per_file,2,nan,nan
