scenario,metric,count,mean,median,geomean,p90,p95,p99,min,max,ci95_low,ci95_high
A_ADD,initial_total_ms,1,202.70399999999998,202.70399999999998,202.70400000000004,202.70399999999998,202.70399999999998,202.70399999999998,202.70399999999998,202.70399999999998,nan,nan
__ALL__,initial_total_ms,2,193.632,193.632,193.4193636635174,200.88959999999997,201.7968,202.52255999999997,184.56,202.70399999999998,175.85088000000002,211.41312
A_ADD,incremental_ms,1,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,nan,nan
__ALL__,incremental_ms,2,0.5825,0.5825,0.5587897636857712,0.7141,0.73055,0.74371,0.418,0.747,0.26008000000000003,0.90492
A_ADD,full_no_io_ms,1,191.64999999999998,191.64999999999998,191.64999999999992,191.64999999999998,191.64999999999998,191.64999999999998,191.64999999999998,191.64999999999998,nan,nan
__ALL__,full_no_io_ms,2,175.896,175.896,175.18908156617513,188.49919999999997,190.07459999999998,191.33491999999995,160.142,191.64999999999998,145.01816000000002,206.77383999999995
A_ADD,affected_trace_count,1,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan
__ALL__,affected_trace_count,2,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_ADD,trace_count,1,807.0,807.0,807.0000000000002,807.0,807.0,807.0,807.0,807.0,nan,nan
__ALL__,trace_count,2,807.0,807.0,807.0000000000002,807.0,807.0,807.0,807.0,807.0,807.0,807.0
A_ADD,num_lec,1,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0,nan,nan
__ALL__,num_lec,2,1478.5,1478.5,1478.499915454851,1478.9,1478.95,1478.99,1478.0,1479.0,1477.52,1479.48
A_UPDATE,initial_total_ms,1,184.56,184.56,184.55999999999995,184.56,184.56,184.56,184.56,184.56,nan,nan
A_UPDATE,incremental_ms,1,0.418,0.418,0.418,0.418,0.418,0.418,0.418,0.418,nan,nan
A_UPDATE,full_no_io_ms,1,160.142,160.142,160.142,160.142,160.142,160.142,160.142,160.142,nan,nan
A_UPDATE,affected_trace_count,1,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan
A_UPDATE,trace_count,1,807.0,807.0,807.0000000000002,807.0,807.0,807.0,807.0,807.0,nan,nan
A_UPDATE,num_lec,1,1478.0,1478.0,1477.9999999999995,1478.0,1478.0,1478.0,1478.0,1478.0,nan,nan
