tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,,abcrc.virginia.edu..txt,,194.57100000000003,0.635,,,,,num_lec=1479; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/A_ADD/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,,abcrc.virginia.edu..txt,,164.10699999999997,0.482,,,,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/A_UPDATE/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,,abcrc.virginia.edu..txt,,179.14799999999997,0.524,,,,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/NS_UPDATE/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,,abcrc.virginia.edu..txt,,205.59500000000003,0.554,,,,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/CNAME_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,177.70000000000002,0.618,,,,,num_lec=2470; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vivilotz.com/A_ADD/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,197.603,0.655,,,,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vivilotz.com/A_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,204.659,0.591,,,,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vivilotz.com/NS_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,,09.vn.ua..txt,,145.859,0.143,,,,,num_lec=1783; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vn.ua/A_ADD/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,,09.vn.ua..txt,,157.843,0.008,,,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vn.ua/A_UPDATE/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,ok,,09.vn.ua..txt,,142.037,0.008,,,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vn.ua/NS_UPDATE/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,ok,,4x4.vn.ua..txt,,151.668,0.084,,,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vn.ua/CNAME_UPDATE/stderr.log
Aether,files-100-500,voxcdn.com,files-100-500/voxcdn.com,A_ADD,error,,,,,,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__voxcdn.com/A_ADD/stderr.log
Aether,files-100-500,voxcdn.com,files-100-500/voxcdn.com,A_UPDATE,error,,,,,,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__voxcdn.com/A_UPDATE/stderr.log
Aether,files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,ok,,voxcdn.com..txt,,20.744,0.761,,,,,num_lec=83; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__voxcdn.com/NS_UPDATE/stderr.log
Aether,files-100-500,voxcdn.com,files-100-500/voxcdn.com,CNAME_UPDATE,error,,,,,,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__voxcdn.com/CNAME_UPDATE/stderr.log
Aether,files-100-500,vrn.ru,files-100-500/vrn.ru,A_ADD,ok,,1c.vrn.ru..txt,,212.254,0.903,,,,,num_lec=2481; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vrn.ru/A_ADD/stderr.log
Aether,files-100-500,vrn.ru,files-100-500/vrn.ru,A_UPDATE,ok,,1c.vrn.ru..txt,,218.982,0.593,,,,,num_lec=2480; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vrn.ru/A_UPDATE/stderr.log
Aether,files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,ok,,1c.vrn.ru..txt,,202.504,0.777,,,,,num_lec=2480; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vrn.ru/NS_UPDATE/stderr.log
Aether,files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,ok,,advecs.vrn.ru..txt,,202.843,0.7999999999999999,,,,,num_lec=2480; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vrn.ru/CNAME_UPDATE/stderr.log
Aether,files-100-500,w3wb.com,files-100-500/w3wb.com,A_ADD,ok,,aboutchristmas.w3wb.com..txt,,57.524,0.592,,,,,num_lec=886; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__w3wb.com/A_ADD/stderr.log
Aether,files-100-500,w3wb.com,files-100-500/w3wb.com,A_UPDATE,ok,,aboutchristmas.w3wb.com..txt,,58.428000000000004,0.45,,,,,num_lec=885; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__w3wb.com/A_UPDATE/stderr.log
Aether,files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,ok,,w3wb.com..txt,,64.927,4.772,,,,,num_lec=885; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__w3wb.com/NS_UPDATE/stderr.log
Aether,files-100-500,w3wb.com,files-100-500/w3wb.com,CNAME_UPDATE,ok,,w3wb.com..txt,,64.39800000000001,7.128000000000001,,,,,num_lec=885; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__w3wb.com/CNAME_UPDATE/stderr.log
Aether,files-100-500,wa.gov,files-100-500/wa.gov,A_ADD,ok,,agencymeddirectors.wa.gov..txt,,124.636,0.753,,,,,num_lec=1304; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wa.gov/A_ADD/stderr.log
Aether,files-100-500,wa.gov,files-100-500/wa.gov,A_UPDATE,ok,,agencymeddirectors.wa.gov..txt,,120.782,0.752,,,,,num_lec=1303; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wa.gov/A_UPDATE/stderr.log
Aether,files-100-500,wa.gov,files-100-500/wa.gov,NS_UPDATE,ok,,agencymeddirectors.wa.gov..txt,,124.401,0.5660000000000001,,,,,num_lec=1303; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wa.gov/NS_UPDATE/stderr.log
Aether,files-100-500,wa.gov,files-100-500/wa.gov,CNAME_UPDATE,ok,,agencymeddirectors.wa.gov..txt,,122.78,0.492,,,,,num_lec=1303; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wa.gov/CNAME_UPDATE/stderr.log
Aether,files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_ADD,ok,,alimonyillinois.warriorhall.com..txt,,56.327000000000005,0.833,,,,,num_lec=1055; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warriorhall.com/A_ADD/stderr.log
Aether,files-100-500,warriorhall.com,files-100-500/warriorhall.com,A_UPDATE,ok,,alimonyillinois.warriorhall.com..txt,,51.964,0.519,,,,,num_lec=1054; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warriorhall.com/A_UPDATE/stderr.log
Aether,files-100-500,warriorhall.com,files-100-500/warriorhall.com,NS_UPDATE,ok,,alimonyillinois.warriorhall.com..txt,,52.506,0.453,,,,,num_lec=1054; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warriorhall.com/NS_UPDATE/stderr.log
Aether,files-100-500,warriorhall.com,files-100-500/warriorhall.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_ADD,ok,,12lo.warszawa.pl..txt,,450.114,1.4969999999999999,,,,,num_lec=3560; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warszawa.pl/A_ADD/stderr.log
Aether,files-100-500,warszawa.pl,files-100-500/warszawa.pl,A_UPDATE,ok,,12lo.warszawa.pl..txt,,399.291,0.772,,,,,num_lec=3559; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warszawa.pl/A_UPDATE/stderr.log
Aether,files-100-500,warszawa.pl,files-100-500/warszawa.pl,NS_UPDATE,ok,,12lo.warszawa.pl..txt,,470.161,0.671,,,,,num_lec=3559; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warszawa.pl/NS_UPDATE/stderr.log
Aether,files-100-500,warszawa.pl,files-100-500/warszawa.pl,CNAME_UPDATE,ok,,12lo.warszawa.pl..txt,,454.34,0.8340000000000001,,,,,num_lec=3559; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__warszawa.pl/CNAME_UPDATE/stderr.log
Aether,files-100-500,washington.edu,files-100-500/washington.edu,A_ADD,ok,,aa.washington.edu..txt,,525.443,1.1219999999999999,,,,,num_lec=4103; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__washington.edu/A_ADD/stderr.log
Aether,files-100-500,washington.edu,files-100-500/washington.edu,A_UPDATE,ok,,aa.washington.edu..txt,,520.152,0.716,,,,,num_lec=4102; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__washington.edu/A_UPDATE/stderr.log
Aether,files-100-500,washington.edu,files-100-500/washington.edu,NS_UPDATE,ok,,aa.washington.edu..txt,,637.088,0.995,,,,,num_lec=4102; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__washington.edu/NS_UPDATE/stderr.log
Aether,files-100-500,washington.edu,files-100-500/washington.edu,CNAME_UPDATE,ok,,aa.washington.edu..txt,,541.179,0.718,,,,,num_lec=4102; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__washington.edu/CNAME_UPDATE/stderr.log
Aether,files-100-500,wayport.net,files-100-500/wayport.net,A_ADD,ok,,anchoak.wayport.net..txt,,47.895,0.11800000000000001,,,,,num_lec=464; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wayport.net/A_ADD/stderr.log
Aether,files-100-500,wayport.net,files-100-500/wayport.net,A_UPDATE,ok,,attrtl128654.wichdal.wayport.net..txt,,41.403,0.008,,,,,num_lec=463; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wayport.net/A_UPDATE/stderr.log
Aether,files-100-500,wayport.net,files-100-500/wayport.net,NS_UPDATE,ok,,anchoak.wayport.net..txt,,41.382999999999996,0.009000000000000001,,,,,num_lec=463; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wayport.net/NS_UPDATE/stderr.log
