tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.184018,0.724772,1,0,0.918492,
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,,abcrc.virginia.edu..txt,,194.57100000000003,0.635,,,,,num_lec=1479; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/A_ADD/stderr.log
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.493395,1.585811,2,6,2.104411,
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,,abcrc.virginia.edu..txt,,164.10699999999997,0.482,,,,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/A_UPDATE/stderr.log
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.591825,1.687753,2,6,2.310592,
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,,abcrc.virginia.edu..txt,,179.14799999999997,0.524,,,,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/NS_UPDATE/stderr.log
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.7449,3.057957,2,2,3.842204,
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,,abcrc.virginia.edu..txt,,205.59500000000003,0.554,,,,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__virginia.edu/CNAME_UPDATE/stderr.log
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,323.7802490000001,0.197341,0.378225,1,0,0.584687,
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,177.70000000000002,0.618,,,,,num_lec=2470; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vivilotz.com/A_ADD/stderr.log
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,323.7802490000001,0.370166,0.524688,2,4,0.915718,
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,197.603,0.655,,,,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vivilotz.com/A_UPDATE/stderr.log
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,323.7802490000001,0.398138,0.485972,2,4,0.904593,
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,204.659,0.591,,,,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__vivilotz.com/NS_UPDATE/stderr.log
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,252,09.vn.ua..txt,3876,237.69232000000008,0.198985,0.333859,1,0,0.541165,
