tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.184018,0.724772,1,0,0.918492,
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.493395,1.585811,2,6,2.104411,
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.591825,1.687753,2,6,2.310592,
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,174.06774199999995,0.7449,3.057957,2,2,3.842204,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,323.7802490000001,0.197341,0.378225,1,0,0.584687,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,323.7802490000001,0.370166,0.524688,2,4,0.915718,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,323.7802490000001,0.398138,0.485972,2,4,0.904593,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,252,09.vn.ua..txt,3876,237.69232000000008,0.198985,0.333859,1,0,0.541165,
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,252,09.vn.ua..txt,3876,237.69232000000008,0.478213,0.462181,2,8,0.979813,
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,ok,252,09.vn.ua..txt,3876,237.69232000000008,0.545501,0.580831,2,7,1.153863,
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,ok,252,4x4.vn.ua..txt,3876,237.69232000000008,0.962667,2.812313,2,7,3.81493,
VeriDNS,files-100-500,voxcdn.com,files-100-500/voxcdn.com,A_ADD,ok,137,1714.voxcdn.com..txt,621,199.59403099999997,0.232355,0.974084,1,0,1.216895,
