tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,,abcrc.virginia.edu..txt,,184.13099999999997,0.653,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1479; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/A_ADD/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,,abcrc.virginia.edu..txt,,169.168,0.477,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/A_UPDATE/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,,abcrc.virginia.edu..txt,,186.122,0.431,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/NS_UPDATE/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,,abcrc.virginia.edu..txt,,172.295,0.436,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/CNAME_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,185.584,0.962,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2470; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vivilotz.com/A_ADD/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,157.818,0.353,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vivilotz.com/A_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,214.44,0.419,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vivilotz.com/NS_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
Aether,files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,,09.vn.ua..txt,,140.111,0.14100000000000001,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=1783; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vn.ua/A_ADD/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,,09.vn.ua..txt,,127.61,0.014,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vn.ua/A_UPDATE/stderr.log
