target_ratio,group,scenario,cases,aether_faster,veridns_faster,aether_win_rate,median_speedup,mean_speedup
single,all,A_ADD,58,15,43,0.25862068965517243,0.5763178635615893,0.8347403371317291
single,all,A_UPDATE,58,28,30,0.4827586206896552,0.9675318778233477,13.935452463075004
single,all,NS_UPDATE,59,32,27,0.5423728813559322,1.0658080808080808,16.936750725010125
single,all,CNAME_UPDATE,32,28,4,0.875,2.2844356091224016,6.850302662722047
single,files-100-500,A_ADD,37,11,26,0.2972972972972973,0.5536013628620102,0.8842766467762344
single,files-100-500,A_UPDATE,37,13,24,0.35135135135135137,0.7518184713375796,9.720493155219007
single,files-100-500,NS_UPDATE,38,17,21,0.4473684210526316,0.8060559460429504,14.83221725121451
single,files-100-500,CNAME_UPDATE,20,18,2,0.9,1.669476249209958,7.1315513155536205
single,files-500-1000,A_ADD,8,3,5,0.375,0.9654369625345739,0.9660073249187127
single,files-500-1000,A_UPDATE,8,5,3,0.625,1.883929347826087,20.606714471961453
single,files-500-1000,NS_UPDATE,8,5,3,0.625,1.3909323353095089,17.787115546167893
single,files-500-1000,CNAME_UPDATE,4,3,1,0.75,6.220696947040498,6.9198032358483665
single,files-1000-plus,A_ADD,4,0,4,0.0,0.5183955496850233,0.4936419721731578
single,files-1000-plus,A_UPDATE,4,2,2,0.5,9.978255135387492,14.068061775270522
single,files-1000-plus,NS_UPDATE,4,2,2,0.5,11.789324009207366,13.740338334803333
single,files-1000-plus,CNAME_UPDATE,2,2,0,1.0,6.485943539219401,6.485943539219401
single,top-10,A_ADD,9,1,8,0.1111111111111111,0.5156807095343681,0.6660085705419196
single,top-10,A_UPDATE,9,8,1,0.8888888888888888,26.396625,25.27467035983038
single,top-10,NS_UPDATE,9,8,1,0.8888888888888888,21.42,26.487306613432157
single,top-10,CNAME_UPDATE,6,5,1,0.8333333333333334,6.0976965833758285,5.987926479033471
