group,dataset,dataset_id,scenario,property,aether_pass,veridns_pass,matches_aether,aether_errors,veridns_errors,oracle
files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,rewrite_blackholing,True,False,False,,lame_delegation|rewrite_blackholing,Aether
files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,rewrites,False,True,False,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,voxcdn.com,files-100-500/voxcdn.com,NS_UPDATE,rewrite_blackholing,True,False,False,lame_delegation|rewrites,lame_delegation|rewrite_blackholing,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
files-100-500,vrn.ru,files-100-500/vrn.ru,CNAME_UPDATE,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
files-100-500,w3wb.com,files-100-500/w3wb.com,NS_UPDATE,rewrites,False,True,False,rewrites,lame_delegation|rewrite_blackholing,Aether
