target_ratio,group,scenario,cases,aether_faster,veridns_faster,aether_win_rate,median_speedup,mean_speedup
single,all,A_ADD,58,18,40,0.3103448275862069,0.5763178635615893,0.8431513878160986
single,all,A_UPDATE,58,29,29,0.5,0.9766072708333333,13.935765407661556
single,all,NS_UPDATE,59,59,0,1.0,1.0658080808080808,17.181440246625606
single,all,CNAME_UPDATE,32,32,0,1.0,2.2844356091224016,6.897616411701575
single,files-100-500,A_ADD,37,13,24,0.35135135135135137,0.5536013628620102,0.8964877536461312
single,files-100-500,A_UPDATE,37,14,23,0.3783783783783784,0.7518184713375796,9.720983717003328
single,files-100-500,NS_UPDATE,38,38,0,1.0,1.000001,15.094593766489503
single,files-100-500,CNAME_UPDATE,20,20,0,1.0,1.669476249209958,7.154589665143649
single,files-500-1000,A_ADD,8,3,5,0.375,0.9654369625345739,0.9660073249187127
single,files-500-1000,A_UPDATE,8,5,3,0.625,1.883929347826087,20.606714471961453
single,files-500-1000,NS_UPDATE,8,8,0,1.0,1.3909323353095089,18.02321336954166
single,files-500-1000,CNAME_UPDATE,4,4,0,1.0,6.220696947040498,7.006782934046566
single,files-1000-plus,A_ADD,4,0,4,0.0,0.5183955496850233,0.4936419721731578
single,files-1000-plus,A_UPDATE,4,2,2,0.5,9.978255135387492,14.068061775270522
single,files-1000-plus,NS_UPDATE,4,4,0,1.0,12.185188,14.166415678571427
single,files-1000-plus,CNAME_UPDATE,2,2,0,1.0,6.485943539219401,6.485943539219401
single,top-10,A_ADD,9,2,7,0.2222222222222222,0.5156807095343681,0.670011902264947
single,top-10,A_UPDATE,9,8,1,0.8888888888888888,26.396625,25.27467035983038
single,top-10,NS_UPDATE,9,9,0,1.0,21.42,26.584337972632305
single,top-10,CNAME_UPDATE,6,6,0,1.0,6.0976965833758285,6.105485509492062
