group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,aether_initial_ms,aether_incremental_ms,veridns_initial_ms,veridns_incremental_ms,veridns_full_update_ms,properties,aether_initial_pass,aether_incremental_pass,aether_errors,veridns_initial_pass,veridns_incremental_pass,veridns_errors,veridns_matches_aether,oracle,detail
files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,126,abcrc.virginia.edu..txt,1953,184.13099999999997,0.653,157.17055299999996,0.721147,0.617254,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1479; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/A_ADD/stderr.log; veridns=
files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,169.168,0.477,157.17055299999996,0.567482,0.70407,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/A_UPDATE/stderr.log; veridns=
files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,186.122,0.431,157.17055299999996,0.745152,0.769052,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation|rewrite_blackholing,False,Aether,aether=num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/NS_UPDATE/stderr.log; veridns=
files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,172.295,0.436,157.17055299999996,0.569231,0.70623,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__virginia.edu/CNAME_UPDATE/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,185.584,0.962,258.26428800000014,0.309213,0.195625,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=2470; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vivilotz.com/A_ADD/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,157.818,0.353,258.26428800000014,0.182697,0.16392,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vivilotz.com/A_UPDATE/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,214.44,0.419,258.26428800000014,0.215232,0.192082,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation,False,Aether,aether=num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vivilotz.com/NS_UPDATE/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,,,,,aether=no CNAME record; veridns=no CNAME record
files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,252,09.vn.ua..txt,3876,140.111,0.14100000000000001,206.84398900000002,0.238084,0.205732,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,False,False,,True,Aether,aether=num_lec=1783; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vn.ua/A_ADD/stderr.log; veridns=
files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,252,09.vn.ua..txt,3876,127.61,0.014,206.84398900000002,0.339245,0.194018,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,False,False,,True,Aether,aether=num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_files_100_500/aether_cases/files-100-500__vn.ua/A_UPDATE/stderr.log; veridns=
