group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup,veridns_matches_aether
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,A_ADD,0.255,0.291343,0.308577,1.142521568627451,1.2101058823529411,True
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,A_UPDATE,0.007,0.180656,0.166701,25.808,23.814428571428568,True
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,NS_UPDATE,0.009000000000000001,0.204172,0.304589,22.685777777777773,33.84322222222222,False
files-1000-plus,waw.pl,files-1000-plus/waw.pl,delegation-heavy,CNAME_UPDATE,0.034,0.574415,0.780696,16.89455882352941,22.961647058823527,False
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,A_ADD,0.317,0.220414,0.327563,0.6953123028391167,1.0333217665615142,True
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,A_UPDATE,0.009000000000000001,0.22924,0.311618,25.471111111111107,34.624222222222215,True
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,NS_UPDATE,0.009000000000000001,0.234514,0.219825,26.05711111111111,24.424999999999997,False
files-1000-plus,web.id,files-1000-plus/web.id,rewrite-heavy,CNAME_UPDATE,0.011,0.532248,0.689729,48.386181818181825,62.70263636363637,False
files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,delegation-heavy,A_ADD,0.918,0.254331,0.186127,0.2770490196078431,0.2027527233115468,True
files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,delegation-heavy,A_UPDATE,0.775,0.17948,0.163647,0.23158709677419353,0.2111574193548387,True
files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,delegation-heavy,NS_UPDATE,0.55,0.248288,0.174707,0.45143272727272726,0.3176490909090909,False
files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,delegation-heavy,A_ADD,1.527,0.250689,0.277556,0.16417092337917485,0.1817655533726261,True
files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,delegation-heavy,A_UPDATE,0.868,0.215358,0.200905,0.24810829493087558,0.2314573732718894,True
files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,delegation-heavy,NS_UPDATE,0.734,0.222128,0.225918,0.3026267029972752,0.30779019073569486,False
