dataset,zone_file,scenario,op,domain,type,rdata
files-1000-plus/waw.pl,147break.waw.pl..txt,A_ADD,ADD,__aether_veridns_inc__.147break.waw.pl.,A,192.0.2.254
files-1000-plus/waw.pl,147break.waw.pl..txt,A_UPDATE,DEL,147break.waw.pl.,A,94.152.8.3
files-1000-plus/waw.pl,147break.waw.pl..txt,A_UPDATE,ADD,147break.waw.pl.,A,192.0.2.253
files-1000-plus/waw.pl,147break.waw.pl..txt,NS_UPDATE,DEL,147break.waw.pl.,NS,ns1.kei.pl.
files-1000-plus/waw.pl,147break.waw.pl..txt,NS_UPDATE,ADD,147break.waw.pl.,NS,ns-inc.147break.waw.pl.
files-1000-plus/waw.pl,26lo.waw.pl..txt,CNAME_UPDATE,DEL,www.26lo.waw.pl.,CNAME,26lo.waw.pl.
files-1000-plus/waw.pl,26lo.waw.pl..txt,CNAME_UPDATE,ADD,www.26lo.waw.pl.,CNAME,cname-inc.26lo.waw.pl.
files-1000-plus/web.id,4share.web.id..txt,A_ADD,ADD,__aether_veridns_inc__.4share.web.id.,A,192.0.2.254
files-1000-plus/web.id,4share.web.id..txt,A_UPDATE,DEL,4share.web.id.,A,103.28.12.33
files-1000-plus/web.id,4share.web.id..txt,A_UPDATE,ADD,4share.web.id.,A,192.0.2.253
files-1000-plus/web.id,4share.web.id..txt,NS_UPDATE,DEL,4share.web.id.,NS,dnsiix1.qwords.net.
files-1000-plus/web.id,4share.web.id..txt,NS_UPDATE,ADD,4share.web.id.,NS,ns-inc.4share.web.id.
files-1000-plus/web.id,a7x.web.id..txt,CNAME_UPDATE,DEL,www.a7x.web.id.,CNAME,a7x.web.id.
files-1000-plus/web.id,a7x.web.id..txt,CNAME_UPDATE,ADD,www.a7x.web.id.,CNAME,cname-inc.a7x.web.id.
files-1000-plus/wp-studio.net,007.wp-studio.net..txt,A_ADD,ADD,__aether_veridns_inc__.007.wp-studio.net.,A,192.0.2.254
files-1000-plus/wp-studio.net,007.wp-studio.net..txt,A_UPDATE,DEL,007.wp-studio.net.,A,69.43.161.178
files-1000-plus/wp-studio.net,007.wp-studio.net..txt,A_UPDATE,ADD,007.wp-studio.net.,A,192.0.2.253
files-1000-plus/wp-studio.net,007.wp-studio.net..txt,NS_UPDATE,DEL,007.wp-studio.net.,NS,ns1.above.com.
files-1000-plus/wp-studio.net,007.wp-studio.net..txt,NS_UPDATE,ADD,007.wp-studio.net.,NS,ns-inc.007.wp-studio.net.
files-1000-plus/youaremighty.com,1337.youaremighty.com..txt,A_ADD,ADD,__aether_veridns_inc__.1337.youaremighty.com.,A,192.0.2.254
files-1000-plus/youaremighty.com,1337.youaremighty.com..txt,A_UPDATE,DEL,1337.youaremighty.com.,A,216.8.179.25
files-1000-plus/youaremighty.com,1337.youaremighty.com..txt,A_UPDATE,ADD,1337.youaremighty.com.,A,192.0.2.253
files-1000-plus/youaremighty.com,1337.youaremighty.com..txt,NS_UPDATE,DEL,1337.youaremighty.com.,NS,ns1.fastpark.net.
files-1000-plus/youaremighty.com,1337.youaremighty.com..txt,NS_UPDATE,ADD,1337.youaremighty.com.,NS,ns-inc.1337.youaremighty.com.
