tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
VeriDNS,files-1000-plus,waw.pl,files-1000-plus/waw.pl,A_ADD,ok,2250,147break.waw.pl..txt,38726,2135.9861529999994,0.291343,0.308577,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,,
VeriDNS,files-1000-plus,waw.pl,files-1000-plus/waw.pl,A_UPDATE,ok,2250,147break.waw.pl..txt,38726,2135.9861529999994,0.180656,0.166701,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,,
VeriDNS,files-1000-plus,waw.pl,files-1000-plus/waw.pl,NS_UPDATE,ok,2250,147break.waw.pl..txt,38726,2135.9861529999994,0.204172,0.304589,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,lame_delegation,
VeriDNS,files-1000-plus,waw.pl,files-1000-plus/waw.pl,CNAME_UPDATE,ok,2250,26lo.waw.pl..txt,38726,2135.9861529999994,0.574415,0.780696,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-1000-plus,web.id,files-1000-plus/web.id,A_ADD,ok,2368,4share.web.id..txt,38232,2956.676493999998,0.220414,0.327563,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,,
VeriDNS,files-1000-plus,web.id,files-1000-plus/web.id,A_UPDATE,ok,2368,4share.web.id..txt,38232,2956.676493999998,0.22924,0.311618,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,,
VeriDNS,files-1000-plus,web.id,files-1000-plus/web.id,NS_UPDATE,ok,2368,4share.web.id..txt,38232,2956.676493999998,0.234514,0.219825,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,lame_delegation,
VeriDNS,files-1000-plus,web.id,files-1000-plus/web.id,CNAME_UPDATE,ok,2368,a7x.web.id..txt,38232,2956.676493999998,0.532248,0.689729,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,A_ADD,ok,1187,007.wp-studio.net..txt,6832,771.5266349999993,0.254331,0.186127,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,A_UPDATE,ok,1187,007.wp-studio.net..txt,6832,771.5266349999993,0.17948,0.163647,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,NS_UPDATE,ok,1187,007.wp-studio.net..txt,6832,771.5266349999993,0.248288,0.174707,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,lame_delegation,
VeriDNS,files-1000-plus,wp-studio.net,files-1000-plus/wp-studio.net,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
VeriDNS,files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,A_ADD,ok,3271,1337.youaremighty.com..txt,18568,1551.7964509999997,0.250689,0.277556,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,A_UPDATE,ok,3271,1337.youaremighty.com..txt,18568,1551.7964509999997,0.215358,0.200905,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,NS_UPDATE,ok,3271,1337.youaremighty.com..txt,18568,1551.7964509999997,0.222128,0.225918,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,lame_delegation,
VeriDNS,files-1000-plus,youaremighty.com,files-1000-plus/youaremighty.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
