group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup,veridns_matches_aether
files-500-1000,votesp.com,files-500-1000/votesp.com,delegation-heavy,A_ADD,0.29300000000000004,0.237138,0.16456,0.8093447098976108,0.5616382252559726,True
files-500-1000,votesp.com,files-500-1000/votesp.com,delegation-heavy,A_UPDATE,0.056999999999999995,0.165021,0.160372,2.895105263157895,2.8135438596491227,True
files-500-1000,votesp.com,files-500-1000/votesp.com,delegation-heavy,NS_UPDATE,0.194,0.285611,0.205891,1.4722216494845362,1.0612938144329895,False
files-500-1000,web.tr,files-500-1000/web.tr,rewrite-heavy,A_ADD,0.165,0.588616,0.572584,3.567369696969697,3.4702060606060603,False
files-500-1000,web.tr,files-500-1000/web.tr,rewrite-heavy,A_UPDATE,0.006,0.68725,0.690816,114.54166666666667,115.136,False
files-500-1000,web.tr,files-500-1000/web.tr,rewrite-heavy,NS_UPDATE,0.007,0.540854,0.714771,77.26485714285714,102.11014285714286,False
files-500-1000,web.tr,files-500-1000/web.tr,rewrite-heavy,CNAME_UPDATE,0.057,0.608196,0.560823,10.670105263157893,9.838999999999999,False
files-500-1000,weblog.com,files-500-1000/weblog.com,delegation-heavy,A_ADD,1.111,0.191659,0.180813,0.1725103510351035,0.16274797479747974,True
files-500-1000,weblog.com,files-500-1000/weblog.com,delegation-heavy,A_UPDATE,0.837,0.192959,0.257878,0.2305364396654719,0.3080979689366786,True
files-500-1000,weblog.com,files-500-1000/weblog.com,delegation-heavy,NS_UPDATE,0.483,0.247664,0.172691,0.5127619047619048,0.3575383022774328,False
files-500-1000,wisc.edu,files-500-1000/wisc.edu,delegation-heavy,A_ADD,1.0539999999999998,0.226018,0.207774,0.214438330170778,0.19712903225806452,True
files-500-1000,wisc.edu,files-500-1000/wisc.edu,delegation-heavy,A_UPDATE,0.535,0.200209,0.185614,0.37422242990654203,0.34694205607476636,True
files-500-1000,wisc.edu,files-500-1000/wisc.edu,delegation-heavy,NS_UPDATE,0.773,0.195632,0.236904,0.25308150064683055,0.3064734799482536,False
files-500-1000,wopert.com,files-500-1000/wopert.com,delegation-heavy,A_ADD,0.296,0.203757,0.179265,0.6883682432432433,0.6056250000000001,True
files-500-1000,wopert.com,files-500-1000/wopert.com,delegation-heavy,A_UPDATE,0.07100000000000001,0.156933,0.146163,2.2103239436619715,2.058633802816901,True
files-500-1000,wopert.com,files-500-1000/wopert.com,delegation-heavy,NS_UPDATE,0.222,0.376453,0.227187,1.695734234234234,1.0233648648648648,False
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,A_ADD,0.9249999999999999,0.252663,0.353021,0.27314918918918923,0.3816443243243243,True
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,A_UPDATE,0.76,0.249562,0.235795,0.32837105263157895,0.3102565789473684,True
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,NS_UPDATE,1.0959999999999999,0.264756,0.368929,0.24156569343065695,0.33661405109489057,False
files-500-1000,wroc.pl,files-500-1000/wroc.pl,rewrite-heavy,CNAME_UPDATE,0.76,0.587428,0.717707,0.7729315789473683,0.9443513157894736,False
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,A_ADD,0.227,0.251684,0.355863,1.108740088105727,1.5676784140969162,True
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,A_UPDATE,0.007,0.29184,0.408491,41.69142857142857,58.35585714285714,True
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,NS_UPDATE,0.011000000000000001,0.269974,0.341724,24.543090909090907,31.06581818181818,False
files-500-1000,wroclaw.pl,files-500-1000/wroclaw.pl,delegation-heavy,CNAME_UPDATE,0.11,0.513667,0.528304,4.6697,4.802763636363636,False
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,A_ADD,0.197,0.267107,0.232133,1.3558730964467003,1.1783401015228425,True
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,A_UPDATE,0.007,0.225078,0.197543,32.153999999999996,28.22042857142857,True
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,NS_UPDATE,0.008,0.313273,0.277005,39.159125,34.625625,False
files-500-1000,zp.ua,files-500-1000/zp.ua,delegation-heavy,CNAME_UPDATE,0.10300000000000001,0.591396,0.711089,5.741708737864077,6.903776699029125,False
