tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,files-500-1000,votesp.com,files-500-1000/votesp.com,A_ADD,ok,,1018e.votesp.com..txt,,200.846,0.29300000000000004,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3590; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__votesp.com/A_ADD/stderr.log
Aether,files-500-1000,votesp.com,files-500-1000/votesp.com,A_UPDATE,ok,,1018e.votesp.com..txt,,160.409,0.056999999999999995,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3589; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__votesp.com/A_UPDATE/stderr.log
Aether,files-500-1000,votesp.com,files-500-1000/votesp.com,NS_UPDATE,ok,,votesp.com..txt,,167.342,0.194,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3589; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__votesp.com/NS_UPDATE/stderr.log
Aether,files-500-1000,votesp.com,files-500-1000/votesp.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
Aether,files-500-1000,web.tr,files-500-1000/web.tr,A_ADD,ok,,2k.web.tr..txt,,317.57300000000004,0.165,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3654; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__web.tr/A_ADD/stderr.log
Aether,files-500-1000,web.tr,files-500-1000/web.tr,A_UPDATE,ok,,2k.web.tr..txt,,383.687,0.006,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3653; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__web.tr/A_UPDATE/stderr.log
Aether,files-500-1000,web.tr,files-500-1000/web.tr,NS_UPDATE,ok,,2k.web.tr..txt,,346.742,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3653; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__web.tr/NS_UPDATE/stderr.log
Aether,files-500-1000,web.tr,files-500-1000/web.tr,CNAME_UPDATE,ok,,2k.web.tr..txt,,349.671,0.057,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=3653; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__web.tr/CNAME_UPDATE/stderr.log
Aether,files-500-1000,weblog.com,files-500-1000/weblog.com,A_ADD,ok,,3cministries.weblog.com..txt,,162.17000000000002,1.111,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2830; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__weblog.com/A_ADD/stderr.log
Aether,files-500-1000,weblog.com,files-500-1000/weblog.com,A_UPDATE,ok,,3cministries.weblog.com..txt,,144.327,0.837,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2829; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_files_500_1000/aether_cases/files-500-1000__weblog.com/A_UPDATE/stderr.log
