dataset,zone_file,scenario,op,domain,type,rdata
files-500-1000/votesp.com,1018e.votesp.com..txt,A_ADD,ADD,__aether_veridns_inc__.1018e.votesp.com.,A,192.0.2.254
files-500-1000/votesp.com,1018e.votesp.com..txt,A_UPDATE,DEL,1018e.votesp.com.,A,64.74.223.41
files-500-1000/votesp.com,1018e.votesp.com..txt,A_UPDATE,ADD,1018e.votesp.com.,A,192.0.2.253
files-500-1000/votesp.com,votesp.com..txt,NS_UPDATE,DEL,votesp.com.,NS,dns1.name-services.com.
files-500-1000/votesp.com,votesp.com..txt,NS_UPDATE,ADD,votesp.com.,NS,ns-inc.votesp.com.
files-500-1000/web.tr,2k.web.tr..txt,A_ADD,ADD,__aether_veridns_inc__.2k.web.tr.,A,192.0.2.254
files-500-1000/web.tr,2k.web.tr..txt,A_UPDATE,DEL,2k.web.tr.,A,5.2.83.50
files-500-1000/web.tr,2k.web.tr..txt,A_UPDATE,ADD,2k.web.tr.,A,192.0.2.253
files-500-1000/web.tr,2k.web.tr..txt,NS_UPDATE,DEL,2k.web.tr.,NS,ns.2k.web.tr.
files-500-1000/web.tr,2k.web.tr..txt,NS_UPDATE,ADD,2k.web.tr.,NS,ns-inc.2k.web.tr.
files-500-1000/web.tr,2k.web.tr..txt,CNAME_UPDATE,DEL,www.2k.web.tr.,CNAME,2k.web.tr.
files-500-1000/web.tr,2k.web.tr..txt,CNAME_UPDATE,ADD,www.2k.web.tr.,CNAME,cname-inc.2k.web.tr.
files-500-1000/weblog.com,3cministries.weblog.com..txt,A_ADD,ADD,__aether_veridns_inc__.3cministries.weblog.com.,A,192.0.2.254
files-500-1000/weblog.com,3cministries.weblog.com..txt,A_UPDATE,DEL,3cministries.weblog.com.,A,66.246.235.44
files-500-1000/weblog.com,3cministries.weblog.com..txt,A_UPDATE,ADD,3cministries.weblog.com.,A,192.0.2.253
files-500-1000/weblog.com,3cministries.weblog.com..txt,NS_UPDATE,DEL,3cministries.weblog.com.,NS,ns1.parkingspa.com.
files-500-1000/weblog.com,3cministries.weblog.com..txt,NS_UPDATE,ADD,3cministries.weblog.com.,NS,ns-inc.3cministries.weblog.com.
files-500-1000/wisc.edu,333ecm.wisc.edu..txt,A_ADD,ADD,__aether_veridns_inc__.333ecm.wisc.edu.,A,192.0.2.254
files-500-1000/wisc.edu,333ecm.wisc.edu..txt,A_UPDATE,DEL,333ecm.wisc.edu.,A,128.104.72.38
files-500-1000/wisc.edu,333ecm.wisc.edu..txt,A_UPDATE,ADD,333ecm.wisc.edu.,A,192.0.2.253
files-500-1000/wisc.edu,333ecm.wisc.edu..txt,NS_UPDATE,DEL,333ecm.wisc.edu.,NS,adns1.doit.wisc.edu.
files-500-1000/wisc.edu,333ecm.wisc.edu..txt,NS_UPDATE,ADD,333ecm.wisc.edu.,NS,ns-inc.333ecm.wisc.edu.
files-500-1000/wisc.edu,aae.wisc.edu..txt,CNAME_UPDATE,DEL,future.aae.wisc.edu.,CNAME,kiva.aae.wisc.edu.
files-500-1000/wisc.edu,aae.wisc.edu..txt,CNAME_UPDATE,ADD,future.aae.wisc.edu.,CNAME,cname-inc.aae.wisc.edu.
files-500-1000/wopert.com,0cob9yz.wopert.com..txt,A_ADD,ADD,__aether_veridns_inc__.0cob9yz.wopert.com.,A,192.0.2.254
files-500-1000/wopert.com,0cob9yz.wopert.com..txt,A_UPDATE,DEL,0cob9yz.wopert.com.,A,8.5.1.49
files-500-1000/wopert.com,0cob9yz.wopert.com..txt,A_UPDATE,ADD,0cob9yz.wopert.com.,A,192.0.2.253
files-500-1000/wopert.com,wopert.com..txt,NS_UPDATE,DEL,wopert.com.,NS,dns1.name-services.com.
files-500-1000/wopert.com,wopert.com..txt,NS_UPDATE,ADD,wopert.com.,NS,ns-inc.wopert.com.
files-500-1000/wroc.pl,2012.wroc.pl..txt,A_ADD,ADD,__aether_veridns_inc__.2012.wroc.pl.,A,192.0.2.254
files-500-1000/wroc.pl,2012.wroc.pl..txt,A_UPDATE,DEL,mail.2012.wroc.pl.,A,193.0.128.55
files-500-1000/wroc.pl,2012.wroc.pl..txt,A_UPDATE,ADD,mail.2012.wroc.pl.,A,192.0.2.253
files-500-1000/wroc.pl,2012.wroc.pl..txt,NS_UPDATE,DEL,2012.wroc.pl.,NS,ns1.2012.wroc.pl.
files-500-1000/wroc.pl,2012.wroc.pl..txt,NS_UPDATE,ADD,2012.wroc.pl.,NS,ns-inc.2012.wroc.pl.
files-500-1000/wroc.pl,accord.wroc.pl..txt,CNAME_UPDATE,DEL,www.accord.wroc.pl.,CNAME,accordab.pl.
files-500-1000/wroc.pl,accord.wroc.pl..txt,CNAME_UPDATE,ADD,www.accord.wroc.pl.,CNAME,cname-inc.accord.wroc.pl.
files-500-1000/wroclaw.pl,2mserwis.wroclaw.pl..txt,A_ADD,ADD,__aether_veridns_inc__.2mserwis.wroclaw.pl.,A,192.0.2.254
files-500-1000/wroclaw.pl,2mserwis.wroclaw.pl..txt,A_UPDATE,DEL,2mserwis.wroclaw.pl.,A,213.133.101.7
files-500-1000/wroclaw.pl,2mserwis.wroclaw.pl..txt,A_UPDATE,ADD,2mserwis.wroclaw.pl.,A,192.0.2.253
files-500-1000/wroclaw.pl,2mserwis.wroclaw.pl..txt,NS_UPDATE,DEL,2mserwis.wroclaw.pl.,NS,dns7.linuxpl.com.
files-500-1000/wroclaw.pl,2mserwis.wroclaw.pl..txt,NS_UPDATE,ADD,2mserwis.wroclaw.pl.,NS,ns-inc.2mserwis.wroclaw.pl.
files-500-1000/wroclaw.pl,accent.wroclaw.pl..txt,CNAME_UPDATE,DEL,www.accent.wroclaw.pl.,CNAME,accent.wroclaw.pl.
files-500-1000/wroclaw.pl,accent.wroclaw.pl..txt,CNAME_UPDATE,ADD,www.accent.wroclaw.pl.,CNAME,cname-inc.accent.wroclaw.pl.
files-500-1000/zp.ua,09.zp.ua..txt,A_ADD,ADD,__aether_veridns_inc__.09.zp.ua.,A,192.0.2.254
files-500-1000/zp.ua,09.zp.ua..txt,A_UPDATE,DEL,09.zp.ua.,A,91.228.152.58
files-500-1000/zp.ua,09.zp.ua..txt,A_UPDATE,ADD,09.zp.ua.,A,192.0.2.253
files-500-1000/zp.ua,09.zp.ua..txt,NS_UPDATE,DEL,09.zp.ua.,NS,ns1.imena.com.ua.
files-500-1000/zp.ua,09.zp.ua..txt,NS_UPDATE,ADD,09.zp.ua.,NS,ns-inc.09.zp.ua.
files-500-1000/zp.ua,afisha.zp.ua..txt,CNAME_UPDATE,DEL,www.afisha.zp.ua.,CNAME,afisha.zp.ua.
files-500-1000/zp.ua,afisha.zp.ua..txt,CNAME_UPDATE,ADD,www.afisha.zp.ua.,CNAME,cname-inc.afisha.zp.ua.
