tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
VeriDNS,files-500-1000,votesp.com,files-500-1000/votesp.com,A_ADD,ok,989,1018e.votesp.com..txt,1615,364.44799800000015,0.237138,0.16456,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-500-1000,votesp.com,files-500-1000/votesp.com,A_UPDATE,ok,989,1018e.votesp.com..txt,1615,364.44799800000015,0.165021,0.160372,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-500-1000,votesp.com,files-500-1000/votesp.com,NS_UPDATE,ok,989,votesp.com..txt,1615,364.44799800000015,0.285611,0.205891,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,lame_delegation,
VeriDNS,files-500-1000,votesp.com,files-500-1000/votesp.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
VeriDNS,files-500-1000,web.tr,files-500-1000/web.tr,A_ADD,ok,562,2k.web.tr..txt,8672,549.2996159999994,0.588616,0.572584,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-500-1000,web.tr,files-500-1000/web.tr,A_UPDATE,ok,562,2k.web.tr..txt,8672,549.2996159999994,0.68725,0.690816,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-500-1000,web.tr,files-500-1000/web.tr,NS_UPDATE,ok,562,2k.web.tr..txt,8672,549.2996159999994,0.540854,0.714771,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,lame_delegation|rewrite_blackholing,
VeriDNS,files-500-1000,web.tr,files-500-1000/web.tr,CNAME_UPDATE,ok,562,2k.web.tr..txt,8672,549.2996159999994,0.608196,0.560823,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-500-1000,weblog.com,files-500-1000/weblog.com,A_ADD,ok,554,3cministries.weblog.com..txt,2827,305.84395000000023,0.191659,0.180813,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-500-1000,weblog.com,files-500-1000/weblog.com,A_UPDATE,ok,554,3cministries.weblog.com..txt,2827,305.84395000000023,0.192959,0.257878,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
