tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,,abcrc.virginia.edu..txt,,184.143,0.695,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1479; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/A_ADD/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,,abcrc.virginia.edu..txt,,160.48600000000002,0.953,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/A_UPDATE/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,,abcrc.virginia.edu..txt,,176.592,0.621,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/NS_UPDATE/stderr.log
Aether,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,,abcrc.virginia.edu..txt,,211.67899999999997,0.689,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrites,,num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/CNAME_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,209.02800000000002,0.596,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2470; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vivilotz.com/A_ADD/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,212.35200000000003,0.509,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vivilotz.com/A_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,,10-greatest-guitar-players.aoo.vivilotz.com..txt,,194.276,0.387,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation,,num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vivilotz.com/NS_UPDATE/stderr.log
Aether,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
Aether,files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,,09.vn.ua..txt,,134.56599999999997,0.132,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=1783; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vn.ua/A_ADD/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,,09.vn.ua..txt,,150.876,0.005,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vn.ua/A_UPDATE/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,ok,,09.vn.ua..txt,,173.32199999999997,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vn.ua/NS_UPDATE/stderr.log
Aether,files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,ok,,4x4.vn.ua..txt,,163.45399999999998,0.012,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vn.ua/CNAME_UPDATE/stderr.log
