group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,aether_initial_ms,aether_incremental_ms,veridns_initial_ms,veridns_incremental_ms,veridns_full_update_ms,properties,aether_initial_pass,aether_incremental_pass,aether_errors,veridns_initial_pass,veridns_incremental_pass,veridns_errors,veridns_matches_aether,oracle,detail
files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,126,abcrc.virginia.edu..txt,1953,184.143,0.695,187.68811500000004,0.632536,0.737008,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1479; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/A_ADD/stderr.log; veridns=
files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,160.48600000000002,0.953,187.68811500000004,0.548665,0.549372,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/A_UPDATE/stderr.log; veridns=
files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,176.592,0.621,187.68811500000004,0.762101,0.963416,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation|rewrite_blackholing,False,Aether,aether=num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/NS_UPDATE/stderr.log; veridns=
files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,211.67899999999997,0.689,187.68811500000004,1.013559,0.739193,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,rewrite_blackholing,False,Aether,aether=num_lec=1478; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__virginia.edu/CNAME_UPDATE/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,209.02800000000002,0.596,287.9184029999998,0.212742,0.187242,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=2470; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vivilotz.com/A_ADD/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,212.35200000000003,0.509,287.9184029999998,0.195584,0.189092,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,,True,Aether,aether=num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vivilotz.com/A_UPDATE/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,194.276,0.387,287.9184029999998,0.225115,0.19578,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,,False,False,lame_delegation,False,Aether,aether=num_lec=2469; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vivilotz.com/NS_UPDATE/stderr.log; veridns=
files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,,,,,aether=no CNAME record; veridns=no CNAME record
files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,252,09.vn.ua..txt,3876,134.56599999999997,0.132,216.31759900000006,0.257436,0.226866,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,False,False,,True,Aether,aether=num_lec=1783; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vn.ua/A_ADD/stderr.log; veridns=
files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,252,09.vn.ua..txt,3876,150.876,0.005,216.31759900000006,0.252427,0.209268,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,False,False,,True,Aether,aether=num_lec=1782; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_smoke/aether_cases/files-100-500__vn.ua/A_UPDATE/stderr.log; veridns=
