tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,A_ADD,ok,126,abcrc.virginia.edu..txt,1953,187.68811500000004,0.632536,0.737008,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,A_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,187.68811500000004,0.548665,0.549372,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,NS_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,187.68811500000004,0.762101,0.963416,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,rewrite_blackholing,lame_delegation|rewrite_blackholing,
VeriDNS,files-100-500,virginia.edu,files-100-500/virginia.edu,CNAME_UPDATE,ok,126,abcrc.virginia.edu..txt,1953,187.68811500000004,1.013559,0.739193,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,rewrite_blackholing,rewrite_blackholing,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_ADD,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,287.9184029999998,0.212742,0.187242,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,A_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,287.9184029999998,0.195584,0.189092,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,NS_UPDATE,ok,494,10-greatest-guitar-players.aoo.vivilotz.com..txt,2471,287.9184029999998,0.225115,0.19578,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,,lame_delegation,
VeriDNS,files-100-500,vivilotz.com,files-100-500/vivilotz.com,CNAME_UPDATE,skipped,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,no CNAME record
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,A_ADD,ok,252,09.vn.ua..txt,3876,216.31759900000006,0.257436,0.226866,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,,
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,A_UPDATE,ok,252,09.vn.ua..txt,3876,216.31759900000006,0.252427,0.209268,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,,
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,NS_UPDATE,ok,252,09.vn.ua..txt,3876,216.31759900000006,0.363895,0.1979,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,lame_delegation,
VeriDNS,files-100-500,vn.ua,files-100-500/vn.ua,CNAME_UPDATE,ok,252,4x4.vn.ua..txt,3876,216.31759900000006,0.547127,0.527308,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,False,False,lame_delegation|rewrite_blackholing,rewrite_blackholing,
