tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,properties,initial_property_pass,incremental_property_pass,initial_errors,incremental_errors,detail
Aether,top-10,co.kr,top-10/co.kr,A_ADD,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,"TimeoutExpired(['/home/rulan_yang/DNS-verification/aether/dnsverify/target/release/dnsv', '--output', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/aether_raw.csv', '--trace', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/traces', '--updates', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/updates.csv', '--jobs', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/properties.txt', 'c', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_ADD/input.csv'], 60.0)"
Aether,top-10,co.kr,top-10/co.kr,A_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,"TimeoutExpired(['/home/rulan_yang/DNS-verification/aether/dnsverify/target/release/dnsv', '--output', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_UPDATE/aether_raw.csv', '--trace', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_UPDATE/traces', '--updates', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_UPDATE/updates.csv', '--jobs', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/properties.txt', 'c', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/A_UPDATE/input.csv'], 60.0)"
Aether,top-10,co.kr,top-10/co.kr,NS_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,"TimeoutExpired(['/home/rulan_yang/DNS-verification/aether/dnsverify/target/release/dnsv', '--output', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/NS_UPDATE/aether_raw.csv', '--trace', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/NS_UPDATE/traces', '--updates', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/NS_UPDATE/updates.csv', '--jobs', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/properties.txt', 'c', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/NS_UPDATE/input.csv'], 60.0)"
Aether,top-10,co.kr,top-10/co.kr,CNAME_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,"TimeoutExpired(['/home/rulan_yang/DNS-verification/aether/dnsverify/target/release/dnsv', '--output', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/CNAME_UPDATE/aether_raw.csv', '--trace', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/CNAME_UPDATE/traces', '--updates', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/CNAME_UPDATE/updates.csv', '--jobs', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/properties.txt', 'c', '/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__co.kr/CNAME_UPDATE/input.csv'], 60.0)"
Aether,top-10,com.cn,top-10/com.cn,A_ADD,ok,,0-100.com.cn..txt,,39221.791999999994,0.621,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=201195; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.cn/A_ADD/stderr.log
Aether,top-10,com.cn,top-10/com.cn,A_UPDATE,ok,,0-100.com.cn..txt,,38894.882,0.007,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=201194; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.cn/A_UPDATE/stderr.log
Aether,top-10,com.cn,top-10/com.cn,NS_UPDATE,ok,,0-100.com.cn..txt,,39058.867,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=201194; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.cn/NS_UPDATE/stderr.log
Aether,top-10,com.cn,top-10/com.cn,CNAME_UPDATE,error,,,,,,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.cn/CNAME_UPDATE/stderr.log
Aether,top-10,com.mx,top-10/com.mx,A_ADD,ok,,01dcpromo.com.mx..txt,,41688.007,0.541,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=209941; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.mx/A_ADD/stderr.log
Aether,top-10,com.mx,top-10/com.mx,A_UPDATE,ok,,01dcpromo.com.mx..txt,,41746.202,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=209940; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.mx/A_UPDATE/stderr.log
Aether,top-10,com.mx,top-10/com.mx,NS_UPDATE,ok,,01dcpromo.com.mx..txt,,42358.428,0.008,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=209940; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.mx/NS_UPDATE/stderr.log
Aether,top-10,com.mx,top-10/com.mx,CNAME_UPDATE,ok,,01dcpromo.com.mx..txt,,41678.873999999996,0.133,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,true,true,,,num_lec=209940; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.mx/CNAME_UPDATE/stderr.log
Aether,top-10,com.np,top-10/com.np,A_ADD,ok,,062civil.com.np..txt,,12846.458,2.6919999999999997,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrite_loop|rewrites,,num_lec=88900; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.np/A_ADD/stderr.log
Aether,top-10,com.np,top-10/com.np,A_UPDATE,ok,,062civil.com.np..txt,,12497.052000000001,1.8459999999999999,,hops|rewrites|lame_delegation|rewrite_blackholing|rewrite_loop|delegation_consistency,false,true,lame_delegation|rewrite_loop|rewrites,,num_lec=88899; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_property_no_wildcard_dname_top_10/aether_cases/top-10__com.np/A_UPDATE/stderr.log
