group,dataset,dataset_id,scenario,property,aether_pass,veridns_pass,matches_aether,aether_errors,veridns_errors,oracle
top-10,com.cn,top-10/com.cn,A_ADD,hops,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_ADD,rewrites,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_ADD,lame_delegation,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_ADD,rewrite_blackholing,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_ADD,rewrite_loop,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_ADD,delegation_consistency,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_UPDATE,hops,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_UPDATE,rewrites,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_UPDATE,lame_delegation,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_UPDATE,rewrite_blackholing,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_UPDATE,rewrite_loop,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,A_UPDATE,delegation_consistency,True,True,True,,,Aether
top-10,com.cn,top-10/com.cn,NS_UPDATE,hops,True,True,True,,lame_delegation,Aether
top-10,com.cn,top-10/com.cn,NS_UPDATE,rewrites,True,True,True,,lame_delegation,Aether
top-10,com.cn,top-10/com.cn,NS_UPDATE,lame_delegation,True,False,False,,lame_delegation,Aether
top-10,com.cn,top-10/com.cn,NS_UPDATE,rewrite_blackholing,True,True,True,,lame_delegation,Aether
top-10,com.cn,top-10/com.cn,NS_UPDATE,rewrite_loop,True,True,True,,lame_delegation,Aether
top-10,com.cn,top-10/com.cn,NS_UPDATE,delegation_consistency,True,True,True,,lame_delegation,Aether
top-10,com.mx,top-10/com.mx,A_ADD,hops,True,True,True,,rewrite_blackholing,Aether
top-10,com.mx,top-10/com.mx,A_ADD,rewrites,True,True,True,,rewrite_blackholing,Aether
top-10,com.mx,top-10/com.mx,A_ADD,lame_delegation,True,True,True,,rewrite_blackholing,Aether
top-10,com.mx,top-10/com.mx,A_ADD,rewrite_blackholing,True,False,False,,rewrite_blackholing,Aether
top-10,com.mx,top-10/com.mx,A_ADD,rewrite_loop,True,True,True,,rewrite_blackholing,Aether
top-10,com.mx,top-10/com.mx,A_ADD,delegation_consistency,True,True,True,,rewrite_blackholing,Aether
top-10,com.mx,top-10/com.mx,A_UPDATE,hops,True,True,True,,rewrite_blackholing,Aether
